country_code,country,income_band,n_sample_clustering,n_valid_income_clustering,sample_prop_clustering
CL,Chile,15000_30000,23,66,0.3484848484848485
CL,Chile,30000_50000,8,66,0.12121212121212122
CL,Chile,50000_100000,8,66,0.12121212121212122
CL,Chile,<15000,26,66,0.3939393939393939
CL,Chile,>100000,1,66,0.015151515151515152
CO,Colombia,15000_30000,1,3,0.3333333333333333
CO,Colombia,<15000,2,3,0.6666666666666666
MX,Mexico,15000_30000,82,347,0.23631123919308358
MX,Mexico,30000_50000,38,347,0.10951008645533142
MX,Mexico,50000_100000,32,347,0.09221902017291066
MX,Mexico,<15000,183,347,0.5273775216138329
MX,Mexico,>100000,12,347,0.0345821325648415
