country_code,country,income_band,target_pct,target_prop,target_type
MX,Mexico,<15000,84.8,0.848,population_income_distribution
MX,Mexico,15000_30000,11.2,0.11199999999999999,population_income_distribution
MX,Mexico,30000_50000,2.8,0.027999999999999997,population_income_distribution
MX,Mexico,50000_100000,0.8,0.008,population_income_distribution
MX,Mexico,>100000,0.4,0.004,population_income_distribution
CL,Chile,<15000,75.4,0.754,population_income_distribution
CL,Chile,15000_30000,16.1,0.161,population_income_distribution
CL,Chile,30000_50000,5.2,0.052000000000000005,population_income_distribution
CL,Chile,50000_100000,2.4,0.024,population_income_distribution
CL,Chile,>100000,0.9,0.009000000000000001,population_income_distribution
CO,Colombia,<15000,88.9,0.889,population_income_distribution
CO,Colombia,15000_30000,8.1,0.081,population_income_distribution
CO,Colombia,30000_50000,1.9,0.019,population_income_distribution
CO,Colombia,50000_100000,0.8,0.008,population_income_distribution
CO,Colombia,>100000,0.3,0.003,population_income_distribution
