country_code,country,income_band,n,n_country,prop_total_country
CL,Chile,15000_30000,23,78,0.2948717948717949
CL,Chile,30000_50000,8,78,0.10256410256410256
CL,Chile,50000_100000,8,78,0.10256410256410256
CL,Chile,<15000,26,78,0.3333333333333333
CL,Chile,>100000,1,78,0.01282051282051282
CL,Chile,MISSING,7,78,0.08974358974358974
CL,Chile,NO_RESPONSE,5,78,0.0641025641025641
CO,Colombia,15000_30000,1,16,0.0625
CO,Colombia,<15000,2,16,0.125
CO,Colombia,MISSING,13,16,0.8125
MX,Mexico,15000_30000,86,544,0.15808823529411764
MX,Mexico,30000_50000,39,544,0.07169117647058823
MX,Mexico,50000_100000,34,544,0.0625
MX,Mexico,<15000,184,544,0.3382352941176471
MX,Mexico,>100000,12,544,0.022058823529411766
MX,Mexico,MISSING,120,544,0.22058823529411764
MX,Mexico,NO_RESPONSE,69,544,0.12683823529411764
