analysis_sample,determinant,sample_mean,sample_sd_original,sample_sd_used,sd_replaced
RENOVISOR,det_01_profits,62.18045977011497,23.784772081889855,23.784772081889855,FALSE
RENOVISOR,det_02_credit_score,65.49596309111878,25.023239449617797,25.023239449617797,FALSE
RENOVISOR,det_03_risk_profile,66.69141531322506,20.669623907224523,20.669623907224523,FALSE
RENOVISOR,det_04_added_value,61.06900584795321,20.648812381286657,20.648812381286657,FALSE
RENOVISOR,det_05_frugality,62.587209302325554,22.411706448116817,22.411706448116817,FALSE
RENOVISOR,det_06_climate_protection,64.09328782707624,23.644923422218426,23.644923422218426,FALSE
RENOVISOR,det_07_legal,74.86505190311422,21.80453824493125,21.80453824493125,FALSE
RENOVISOR,det_08_trust,73.56471935853378,20.020648554125348,20.020648554125348,FALSE
RENOVISOR,det_09_safety,72.93218390804596,20.244677058306888,20.244677058306888,FALSE
RENOVISOR,det_10_cost_efficiency,77.4823663253698,18.471596020436092,18.471596020436092,FALSE
RENOVISOR,det_11_knowledge,79.67082860385923,16.886806990528502,16.886806990528502,FALSE
RENOVISOR,det_12_own_competence,64.82138660399531,22.036356343520072,22.036356343520072,FALSE
RENOVISOR,det_13_technical_fit,75.01365187713311,17.7461804475071,17.7461804475071,FALSE
RENOVISOR,det_14_environmental_concerns,66.63968072976053,22.253831928780023,22.253831928780023,FALSE
RENOVISOR,det_15_self_satisfaction,73.4744608399546,17.767874334701585,17.767874334701585,FALSE
RENOVISOR,det_16_commitment,71.04827586206895,17.46408355784228,17.46408355784228,FALSE
RENOVISOR,det_17_adherence,74.40184757505774,16.90579669522971,16.90579669522971,FALSE
RENOVISOR,det_18_autonomy,63.70023148148149,21.402541514043968,21.402541514043968,FALSE
RENOVISOR,det_19_wellbeing,75.11350737797957,17.648417687964688,17.648417687964688,FALSE
RENOVISOR,det_20_coziness,69.21683967704729,19.144799948251297,19.144799948251297,FALSE
RENOVISOR,det_21_rights_and_duties,67.43613348676641,21.862623698604175,21.862623698604175,FALSE
RENOVISOR,det_22_peer_pressure,34.3885714285714,25.138970397075525,25.138970397075525,FALSE
RENOVISOR,det_23_support,48.59272300469487,24.09269396165074,24.09269396165074,FALSE
RENOVISOR,det_24_socialising,29.399535423925673,25.106391287973857,25.106391287973857,FALSE
RENOVISOR,det_25_agreement,61.193995381062365,26.49823658165861,26.49823658165861,FALSE
RENOVISOR,det_26_novelty,46.622663551401885,25.409422213515214,25.409422213515214,FALSE
RENOVISOR,det_27_fun,41.287558685446015,26.734419738107896,26.734419738107896,FALSE
RENOVISOR,det_28_recognition,24.73804100227791,23.895385580279726,23.895385580279726,FALSE
RENOVISOR,det_29_trends,30.263218390804607,24.121688119435365,24.121688119435365,FALSE
RENOVISOR,det_30_authority,30.943661971830966,24.960210304454414,24.960210304454414,FALSE
RENOVISOR,det_31_approval,26.149372862029665,23.992945884818297,23.992945884818297,FALSE
RENOVISOR,det_32_own_significance,56.01614763552482,24.299036132460714,24.299036132460714,FALSE
