analysis_sample,determinant,n_rows,n_missing,prop_missing,mean_observed,sd_observed,min_observed,max_observed
RENOVISOR,det_12_own_competence,894,43,0.04809843400447427,64.82138660399531,22.036356343520072,0,100
RENOVISOR,det_23_support,894,42,0.04697986577181208,48.59272300469487,24.09269396165074,0,100
RENOVISOR,det_27_fun,894,42,0.04697986577181208,41.287558685446015,26.734419738107896,0,100
RENOVISOR,det_30_authority,894,42,0.04697986577181208,30.943661971830966,24.960210304454414,0,100
RENOVISOR,det_04_added_value,894,39,0.0436241610738255,61.06900584795321,20.648812381286657,0,100
RENOVISOR,det_26_novelty,894,38,0.042505592841163314,46.622663551401885,25.409422213515214,0,100
RENOVISOR,det_05_frugality,894,34,0.03803131991051454,62.587209302325554,22.411706448116817,0,100
RENOVISOR,det_24_socialising,894,33,0.03691275167785235,29.399535423925673,25.106391287973857,0,100
RENOVISOR,det_03_risk_profile,894,32,0.035794183445190156,66.69141531322506,20.669623907224523,0,100
RENOVISOR,det_18_autonomy,894,30,0.03355704697986577,63.70023148148149,21.402541514043968,0,100
RENOVISOR,det_17_adherence,894,28,0.03131991051454139,74.40184757505774,16.90579669522971,0,100
RENOVISOR,det_25_agreement,894,28,0.03131991051454139,61.193995381062365,26.49823658165861,0,100
RENOVISOR,det_02_credit_score,894,27,0.030201342281879196,65.49596309111878,25.023239449617797,0,100
RENOVISOR,det_07_legal,894,27,0.030201342281879196,74.86505190311422,21.80453824493125,0,100
RENOVISOR,det_20_coziness,894,27,0.030201342281879196,69.21683967704729,19.144799948251297,0,100
RENOVISOR,det_32_own_significance,894,27,0.030201342281879196,56.01614763552482,24.299036132460714,0,100
RENOVISOR,det_21_rights_and_duties,894,25,0.02796420581655481,67.43613348676641,21.862623698604175,0,100
RENOVISOR,det_01_profits,894,24,0.026845637583892617,62.18045977011497,23.784772081889855,0,100
RENOVISOR,det_09_safety,894,24,0.026845637583892617,72.93218390804596,20.244677058306888,0,100
RENOVISOR,det_16_commitment,894,24,0.026845637583892617,71.04827586206895,17.46408355784228,0,100
RENOVISOR,det_29_trends,894,24,0.026845637583892617,30.263218390804607,24.121688119435365,0,100
RENOVISOR,det_08_trust,894,21,0.02348993288590604,73.56471935853378,20.020648554125348,0,100
RENOVISOR,det_22_peer_pressure,894,19,0.021252796420581657,34.3885714285714,25.138970397075525,0,100
RENOVISOR,det_14_environmental_concerns,894,17,0.01901565995525727,66.63968072976053,22.253831928780023,0,100
RENOVISOR,det_31_approval,894,17,0.01901565995525727,26.149372862029665,23.992945884818297,0,100
RENOVISOR,det_28_recognition,894,16,0.017897091722595078,24.73804100227791,23.895385580279726,0,100
RENOVISOR,det_06_climate_protection,894,15,0.016778523489932886,64.09328782707624,23.644923422218426,0,100
RENOVISOR,det_10_cost_efficiency,894,15,0.016778523489932886,77.4823663253698,18.471596020436092,0,100
RENOVISOR,det_13_technical_fit,894,15,0.016778523489932886,75.01365187713311,17.7461804475071,0,100
RENOVISOR,det_11_knowledge,894,13,0.0145413870246085,79.67082860385923,16.886806990528502,0,100
RENOVISOR,det_15_self_satisfaction,894,13,0.0145413870246085,73.4744608399546,17.767874334701585,0,100
RENOVISOR,det_19_wellbeing,894,13,0.0145413870246085,75.11350737797957,17.648417687964688,0,100
