analysis_sample,determinant,n_pos_ge_MAX,n_ext_ge_threshold,mean_raw_0_100,sd_raw_0_100,prop_pos_ge_MAX,prop_ext_ge_threshold
RENOVISOR,det_01_profits,644,374,61.85346756152132,23.545524374830396,0.7203579418344519,0.41834451901565994
RENOVISOR,det_02_credit_score,672,446,65.02796420581656,24.78449784822888,0.7516778523489933,0.4988814317673378
RENOVISOR,det_03_risk_profile,717,378,66.0939597315436,20.53168167189653,0.802013422818792,0.4228187919463087
RENOVISOR,det_04_added_value,663,288,60.586129753914996,20.31920158317119,0.7416107382550335,0.3221476510067114
RENOVISOR,det_05_frugality,643,362,62.10850111856821,22.112520848287684,0.7192393736017897,0.40492170022371365
RENOVISOR,det_06_climate_protection,683,414,63.85682326621929,23.515349002752426,0.7639821029082774,0.46308724832214765
RENOVISOR,det_07_legal,763,528,74.11409395973158,21.890452147061932,0.8534675615212528,0.5906040268456376
RENOVISOR,det_08_trust,789,526,73.01118568232661,20.103536265371297,0.8825503355704698,0.5883668903803132
RENOVISOR,det_09_safety,780,467,72.3165548098434,20.31221629971755,0.87248322147651,0.5223713646532439
RENOVISOR,det_10_cost_efficiency,817,578,77.0212527964206,18.65321519070055,0.9138702460850112,0.6465324384787472
RENOVISOR,det_11_knowledge,838,616,79.23937360178972,17.136000820823494,0.9373601789709173,0.6890380313199105
RENOVISOR,det_12_own_competence,696,382,64.10850111856821,21.73216985221311,0.7785234899328859,0.4272930648769575
RENOVISOR,det_13_technical_fit,814,490,74.59395973154362,17.887717713483106,0.9105145413870246,0.5480984340044742
RENOVISOR,det_14_environmental_concerns,719,421,66.32326621923934,22.157978450858547,0.8042505592841164,0.470917225950783
RENOVISOR,det_15_self_satisfaction,817,473,73.13310961968679,17.860764206668218,0.9138702460850112,0.529082774049217
RENOVISOR,det_16_commitment,799,385,70.48322147651008,17.560876305598946,0.8937360178970917,0.4306487695749441
RENOVISOR,det_17_adherence,812,477,73.63758389261743,17.173528980012605,0.9082774049217002,0.5335570469798657
RENOVISOR,det_18_autonomy,685,338,63.24049217002238,21.184289594540516,0.7662192393736018,0.378076062639821
RENOVISOR,det_19_wellbeing,822,508,74.748322147651,17.775833604631732,0.9194630872483222,0.5682326621923938
RENOVISOR,det_20_coziness,757,405,68.6364653243848,19.138174161200467,0.8467561521252797,0.45302013422818793
RENOVISOR,det_21_rights_and_duties,708,400,66.94854586129753,21.745489888018117,0.7919463087248322,0.44742729306487694
RENOVISOR,det_22_peer_pressure,274,439,34.720357941834465,24.971923528422078,0.30648769574944074,0.49105145413870244
RENOVISOR,det_23_support,459,291,48.65883668903804,23.521188303423404,0.5134228187919463,0.32550335570469796
RENOVISOR,det_24_socialising,199,500,30.159955257270717,24.942759249284393,0.2225950782997763,0.5592841163310962
RENOVISOR,det_25_agreement,631,438,60.8434004474273,26.152367651452735,0.7058165548098434,0.4899328859060403
RENOVISOR,det_26_novelty,442,336,46.76621923937359,24.872263585773865,0.49440715883668906,0.37583892617449666
RENOVISOR,det_27_fun,367,375,41.69686800894856,26.1632580311923,0.4105145413870246,0.41946308724832215
RENOVISOR,det_28_recognition,159,578,25.190156599552584,23.9162797281199,0.17785234899328858,0.6465324384787472
RENOVISOR,det_29_trends,199,494,30.7930648769575,24.008460551522578,0.2225950782997763,0.5525727069351231
RENOVISOR,det_30_authority,208,458,31.838926174496624,24.69792428563942,0.232662192393736,0.5123042505592841
RENOVISOR,det_31_approval,156,552,26.60290827740491,23.98595222596813,0.174496644295302,0.6174496644295302
RENOVISOR,det_32_own_significance,582,340,55.83445190156601,23.95103952608534,0.6510067114093959,0.38031319910514544
