bootstrap_id,target_sample_type,row_quality_final,n,prop_within_type
1,abstention,no_determinants,25,0.04940711462450593
1,abstention,suspicious_determinants,3,0.005928853754940711
1,abstention,too_many_missing_determinants,5,0.009881422924901186
1,abstention,usable_complete,387,0.7648221343873518
1,abstention,usable_complete_limited_metadata,24,0.04743083003952569
1,abstention,usable_partial,57,0.11264822134387352
1,abstention,usable_partial_limited_metadata,5,0.009881422924901186
1,voter,no_determinants,49,0.09919028340080972
1,voter,suspicious_determinants,3,0.006072874493927126
1,voter,too_many_missing_determinants,14,0.02834008097165992
1,voter,usable_complete,303,0.6133603238866396
1,voter,usable_complete_limited_metadata,10,0.020242914979757085
1,voter,usable_partial,115,0.23279352226720648
2,abstention,no_determinants,30,0.05928853754940711
2,abstention,suspicious_determinants,2,0.003952569169960474
2,abstention,too_many_missing_determinants,1,0.001976284584980237
2,abstention,usable_complete,397,0.7845849802371542
2,abstention,usable_complete_limited_metadata,20,0.039525691699604744
2,abstention,usable_partial,54,0.1067193675889328
2,abstention,usable_partial_limited_metadata,2,0.003952569169960474
2,voter,no_determinants,70,0.1417004048582996
2,voter,suspicious_determinants,4,0.008097165991902834
2,voter,too_many_missing_determinants,14,0.02834008097165992
2,voter,usable_complete,295,0.597165991902834
2,voter,usable_complete_limited_metadata,11,0.022267206477732792
2,voter,usable_partial,100,0.20242914979757085
3,abstention,no_determinants,34,0.06719367588932806
3,abstention,suspicious_determinants,1,0.001976284584980237
3,abstention,too_many_missing_determinants,4,0.007905138339920948
3,abstention,usable_complete,401,0.7924901185770751
3,abstention,usable_complete_limited_metadata,12,0.023715415019762844
3,abstention,usable_partial,51,0.1007905138339921
3,abstention,usable_partial_limited_metadata,3,0.005928853754940711
3,voter,no_determinants,69,0.1396761133603239
3,voter,suspicious_determinants,5,0.010121457489878543
3,voter,too_many_missing_determinants,19,0.038461538461538464
3,voter,usable_complete,286,0.5789473684210527
3,voter,usable_complete_limited_metadata,3,0.006072874493927126
3,voter,usable_partial,111,0.22469635627530365
3,voter,usable_partial_limited_metadata,1,0.0020242914979757085
4,abstention,no_determinants,42,0.08300395256916997
4,abstention,too_many_missing_determinants,4,0.007905138339920948
4,abstention,usable_complete,381,0.7529644268774703
4,abstention,usable_complete_limited_metadata,21,0.041501976284584984
4,abstention,usable_partial,57,0.11264822134387352
4,abstention,usable_partial_limited_metadata,1,0.001976284584980237
4,voter,no_determinants,66,0.13360323886639677
4,voter,suspicious_determinants,1,0.0020242914979757085
4,voter,too_many_missing_determinants,24,0.048582995951417005
4,voter,usable_complete,264,0.5344129554655871
4,voter,usable_complete_limited_metadata,16,0.032388663967611336
4,voter,usable_partial,122,0.24696356275303644
4,voter,usable_partial_limited_metadata,1,0.0020242914979757085
5,abstention,no_determinants,32,0.06324110671936758
5,abstention,too_many_missing_determinants,5,0.009881422924901186
5,abstention,usable_complete,413,0.8162055335968379
5,abstention,usable_complete_limited_metadata,19,0.037549407114624504
5,abstention,usable_partial,35,0.0691699604743083
5,abstention,usable_partial_limited_metadata,2,0.003952569169960474
5,voter,no_determinants,76,0.15384615384615385
5,voter,too_many_missing_determinants,15,0.030364372469635626
5,voter,usable_complete,297,0.6012145748987854
5,voter,usable_complete_limited_metadata,8,0.016194331983805668
5,voter,usable_partial,97,0.19635627530364372
5,voter,usable_partial_limited_metadata,1,0.0020242914979757085
6,abstention,no_determinants,27,0.0533596837944664
6,abstention,suspicious_determinants,2,0.003952569169960474
6,abstention,too_many_missing_determinants,6,0.011857707509881422
6,abstention,usable_complete,401,0.7924901185770751
6,abstention,usable_complete_limited_metadata,17,0.03359683794466403
6,abstention,usable_partial,51,0.1007905138339921
6,abstention,usable_partial_limited_metadata,2,0.003952569169960474
6,voter,no_determinants,77,0.15587044534412955
6,voter,suspicious_determinants,1,0.0020242914979757085
6,voter,too_many_missing_determinants,15,0.030364372469635626
6,voter,usable_complete,274,0.5546558704453441
6,voter,usable_complete_limited_metadata,11,0.022267206477732792
6,voter,usable_partial,115,0.23279352226720648
6,voter,usable_partial_limited_metadata,1,0.0020242914979757085
7,abstention,no_determinants,29,0.05731225296442688
7,abstention,suspicious_determinants,1,0.001976284584980237
7,abstention,too_many_missing_determinants,2,0.003952569169960474
7,abstention,usable_complete,409,0.808300395256917
7,abstention,usable_complete_limited_metadata,18,0.03557312252964427
7,abstention,usable_partial,45,0.08893280632411067
7,abstention,usable_partial_limited_metadata,2,0.003952569169960474
7,voter,no_determinants,70,0.1417004048582996
7,voter,suspicious_determinants,1,0.0020242914979757085
7,voter,too_many_missing_determinants,20,0.04048582995951417
7,voter,usable_complete,267,0.5404858299595142
7,voter,usable_complete_limited_metadata,11,0.022267206477732792
7,voter,usable_partial,124,0.25101214574898784
7,voter,usable_partial_limited_metadata,1,0.0020242914979757085
