bootstrap_id,target_sample_type,dataset_source,n,prop_within_type
1,abstention,diego,239,0.4723320158102767
1,abstention,rv,132,0.2608695652173913
1,abstention,why,135,0.26679841897233203
1,voter,rv,494,1
2,abstention,diego,223,0.4407114624505929
2,abstention,rv,142,0.28063241106719367
2,abstention,why,141,0.27865612648221344
2,voter,rv,494,1
3,abstention,diego,215,0.424901185770751
3,abstention,rv,164,0.3241106719367589
3,abstention,why,127,0.2509881422924901
3,voter,rv,494,1
4,abstention,diego,215,0.424901185770751
4,abstention,rv,135,0.26679841897233203
4,abstention,why,156,0.308300395256917
4,voter,rv,494,1
5,abstention,diego,243,0.48023715415019763
5,abstention,rv,133,0.2628458498023715
5,abstention,why,130,0.25691699604743085
5,voter,rv,494,1
6,abstention,diego,213,0.4209486166007905
6,abstention,rv,139,0.274703557312253
6,abstention,why,154,0.30434782608695654
6,voter,rv,494,1
7,abstention,diego,235,0.4644268774703557
7,abstention,rv,127,0.2509881422924901
7,abstention,why,144,0.2845849802371542
7,voter,rv,494,1
8,abstention,diego,212,0.4189723320158103
8,abstention,rv,150,0.2964426877470356
8,abstention,why,144,0.2845849802371542
8,voter,rv,494,1
9,abstention,diego,223,0.4407114624505929
9,abstention,rv,151,0.2984189723320158
9,abstention,why,132,0.2608695652173913
9,voter,rv,494,1
10,abstention,diego,236,0.466403162055336
10,abstention,rv,149,0.29446640316205536
10,abstention,why,121,0.2391304347826087
10,voter,rv,494,1
11,abstention,diego,225,0.44466403162055335
11,abstention,rv,138,0.2727272727272727
11,abstention,why,143,0.2826086956521739
11,voter,rv,494,1
12,abstention,diego,258,0.5098814229249012
12,abstention,rv,120,0.23715415019762845
12,abstention,why,128,0.25296442687747034
12,voter,rv,494,1
13,abstention,diego,206,0.40711462450592883
13,abstention,rv,156,0.308300395256917
13,abstention,why,144,0.2845849802371542
13,voter,rv,494,1
14,abstention,diego,236,0.466403162055336
14,abstention,rv,148,0.2924901185770751
14,abstention,why,122,0.24110671936758893
14,voter,rv,494,1
15,abstention,diego,245,0.4841897233201581
15,abstention,rv,123,0.24308300395256918
15,abstention,why,138,0.2727272727272727
15,voter,rv,494,1
16,abstention,diego,247,0.4881422924901186
16,abstention,rv,140,0.2766798418972332
16,abstention,why,119,0.23517786561264822
16,voter,rv,494,1
17,abstention,diego,230,0.45454545454545453
17,abstention,rv,136,0.26877470355731226
17,abstention,why,140,0.2766798418972332
17,voter,rv,494,1
18,abstention,diego,226,0.44664031620553357
18,abstention,rv,142,0.28063241106719367
18,abstention,why,138,0.2727272727272727
18,voter,rv,494,1
19,abstention,diego,233,0.46047430830039526
19,abstention,rv,136,0.26877470355731226
19,abstention,why,137,0.2707509881422925
19,voter,rv,494,1
20,abstention,diego,255,0.5039525691699605
20,abstention,rv,129,0.2549407114624506
20,abstention,why,122,0.24110671936758893
20,voter,rv,494,1
21,abstention,diego,221,0.4367588932806324
21,abstention,rv,134,0.2648221343873518
21,abstention,why,151,0.2984189723320158
21,voter,rv,494,1
22,abstention,diego,233,0.46047430830039526
22,abstention,rv,139,0.274703557312253
22,abstention,why,134,0.2648221343873518
22,voter,rv,494,1
23,abstention,diego,229,0.4525691699604743
23,abstention,rv,153,0.30237154150197626
23,abstention,why,124,0.2450592885375494
23,voter,rv,494,1
24,abstention,diego,230,0.45454545454545453
24,abstention,rv,146,0.2885375494071146
24,abstention,why,130,0.25691699604743085
24,voter,rv,494,1
25,abstention,diego,236,0.466403162055336
25,abstention,rv,132,0.2608695652173913
25,abstention,why,138,0.2727272727272727
25,voter,rv,494,1
26,abstention,diego,236,0.466403162055336
26,abstention,rv,126,0.2490118577075099
26,abstention,why,144,0.2845849802371542
26,voter,rv,494,1
27,abstention,diego,236,0.466403162055336
27,abstention,rv,128,0.25296442687747034
27,abstention,why,142,0.28063241106719367
27,voter,rv,494,1
28,abstention,diego,226,0.44664031620553357
28,abstention,rv,149,0.29446640316205536
28,abstention,why,131,0.25889328063241107
28,voter,rv,494,1
29,abstention,diego,209,0.41304347826086957
29,abstention,rv,157,0.3102766798418972
29,abstention,why,140,0.2766798418972332
29,voter,rv,494,1
30,abstention,diego,228,0.4505928853754941
30,abstention,rv,122,0.24110671936758893
30,abstention,why,156,0.308300395256917
30,voter,rv,494,1
31,abstention,diego,222,0.43873517786561267
31,abstention,rv,135,0.26679841897233203
31,abstention,why,149,0.29446640316205536
31,voter,rv,494,1
32,abstention,diego,218,0.4308300395256917
32,abstention,rv,144,0.2845849802371542
32,abstention,why,144,0.2845849802371542
32,voter,rv,494,1
33,abstention,diego,223,0.4407114624505929
33,abstention,rv,139,0.274703557312253
33,abstention,why,144,0.2845849802371542
33,voter,rv,494,1
34,abstention,diego,234,0.4624505928853755
34,abstention,rv,138,0.2727272727272727
34,abstention,why,134,0.2648221343873518
34,voter,rv,494,1
35,abstention,diego,214,0.42292490118577075
35,abstention,rv,140,0.2766798418972332
35,abstention,why,152,0.30039525691699603
35,voter,rv,494,1
36,abstention,diego,201,0.39723320158102765
36,abstention,rv,159,0.3142292490118577
36,abstention,why,146,0.2885375494071146
36,voter,rv,494,1
37,abstention,diego,247,0.4881422924901186
37,abstention,rv,136,0.26877470355731226
37,abstention,why,123,0.24308300395256918
37,voter,rv,494,1
38,abstention,diego,228,0.4505928853754941
38,abstention,rv,124,0.2450592885375494
38,abstention,why,154,0.30434782608695654
38,voter,rv,494,1
39,abstention,diego,233,0.46047430830039526
39,abstention,rv,128,0.25296442687747034
39,abstention,why,145,0.2865612648221344
39,voter,rv,494,1
40,abstention,diego,232,0.45849802371541504
40,abstention,rv,143,0.2826086956521739
40,abstention,why,131,0.25889328063241107
40,voter,rv,494,1
41,abstention,diego,251,0.49604743083003955
41,abstention,rv,131,0.25889328063241107
41,abstention,why,124,0.2450592885375494
41,voter,rv,494,1
42,abstention,diego,214,0.42292490118577075
42,abstention,rv,143,0.2826086956521739
42,abstention,why,149,0.29446640316205536
42,voter,rv,494,1
43,abstention,diego,236,0.466403162055336
43,abstention,rv,148,0.2924901185770751
43,abstention,why,122,0.24110671936758893
43,voter,rv,494,1
44,abstention,diego,248,0.4901185770750988
44,abstention,rv,132,0.2608695652173913
44,abstention,why,126,0.2490118577075099
44,voter,rv,494,1
45,abstention,diego,256,0.5059288537549407
45,abstention,rv,121,0.2391304347826087
45,abstention,why,129,0.2549407114624506
45,voter,rv,494,1
46,abstention,diego,211,0.41699604743083
46,abstention,rv,135,0.26679841897233203
46,abstention,why,160,0.31620553359683795
46,voter,rv,494,1
47,abstention,diego,247,0.4881422924901186
47,abstention,rv,126,0.2490118577075099
47,abstention,why,133,0.2628458498023715
47,voter,rv,494,1
48,abstention,diego,211,0.41699604743083
48,abstention,rv,155,0.30632411067193677
48,abstention,why,140,0.2766798418972332
48,voter,rv,494,1
49,abstention,diego,218,0.4308300395256917
49,abstention,rv,141,0.27865612648221344
49,abstention,why,147,0.29051383399209485
49,voter,rv,494,1
50,abstention,diego,233,0.46047430830039526
50,abstention,rv,132,0.2608695652173913
50,abstention,why,141,0.27865612648221344
50,voter,rv,494,1
51,abstention,diego,229,0.4525691699604743
51,abstention,rv,147,0.29051383399209485
51,abstention,why,130,0.25691699604743085
51,voter,rv,494,1
52,abstention,diego,233,0.46047430830039526
52,abstention,rv,134,0.2648221343873518
52,abstention,why,139,0.274703557312253
52,voter,rv,494,1
53,abstention,diego,256,0.5059288537549407
53,abstention,rv,126,0.2490118577075099
53,abstention,why,124,0.2450592885375494
53,voter,rv,494,1
54,abstention,diego,237,0.4683794466403162
54,abstention,rv,141,0.27865612648221344
54,abstention,why,128,0.25296442687747034
54,voter,rv,494,1
55,abstention,diego,213,0.4209486166007905
55,abstention,rv,147,0.29051383399209485
55,abstention,why,146,0.2885375494071146
55,voter,rv,494,1
56,abstention,diego,237,0.4683794466403162
56,abstention,rv,130,0.25691699604743085
56,abstention,why,139,0.274703557312253
56,voter,rv,494,1
57,abstention,diego,240,0.4743083003952569
57,abstention,rv,137,0.2707509881422925
57,abstention,why,129,0.2549407114624506
57,voter,rv,494,1
58,abstention,diego,229,0.4525691699604743
58,abstention,rv,141,0.27865612648221344
58,abstention,why,136,0.26877470355731226
58,voter,rv,494,1
59,abstention,diego,234,0.4624505928853755
59,abstention,rv,127,0.2509881422924901
59,abstention,why,145,0.2865612648221344
59,voter,rv,494,1
60,abstention,diego,228,0.4505928853754941
60,abstention,rv,143,0.2826086956521739
60,abstention,why,135,0.26679841897233203
60,voter,rv,494,1
61,abstention,diego,229,0.4525691699604743
61,abstention,rv,142,0.28063241106719367
61,abstention,why,135,0.26679841897233203
61,voter,rv,494,1
62,abstention,diego,230,0.45454545454545453
62,abstention,rv,144,0.2845849802371542
62,abstention,why,132,0.2608695652173913
62,voter,rv,494,1
63,abstention,diego,221,0.4367588932806324
63,abstention,rv,158,0.31225296442687744
63,abstention,why,127,0.2509881422924901
63,voter,rv,494,1
64,abstention,diego,242,0.4782608695652174
64,abstention,rv,141,0.27865612648221344
64,abstention,why,123,0.24308300395256918
64,voter,rv,494,1
65,abstention,diego,219,0.43280632411067194
65,abstention,rv,158,0.31225296442687744
65,abstention,why,129,0.2549407114624506
65,voter,rv,494,1
66,abstention,diego,229,0.4525691699604743
66,abstention,rv,141,0.27865612648221344
66,abstention,why,136,0.26877470355731226
66,voter,rv,494,1
67,abstention,diego,218,0.4308300395256917
67,abstention,rv,139,0.274703557312253
67,abstention,why,149,0.29446640316205536
67,voter,rv,494,1
68,abstention,diego,222,0.43873517786561267
68,abstention,rv,143,0.2826086956521739
68,abstention,why,141,0.27865612648221344
68,voter,rv,494,1
69,abstention,diego,233,0.46047430830039526
69,abstention,rv,143,0.2826086956521739
69,abstention,why,130,0.25691699604743085
69,voter,rv,494,1
70,abstention,diego,255,0.5039525691699605
70,abstention,rv,112,0.22134387351778656
70,abstention,why,139,0.274703557312253
70,voter,rv,494,1
71,abstention,diego,207,0.4090909090909091
71,abstention,rv,147,0.29051383399209485
71,abstention,why,152,0.30039525691699603
71,voter,rv,494,1
72,abstention,diego,238,0.47035573122529645
72,abstention,rv,144,0.2845849802371542
72,abstention,why,124,0.2450592885375494
72,voter,rv,494,1
73,abstention,diego,242,0.4782608695652174
73,abstention,rv,132,0.2608695652173913
73,abstention,why,132,0.2608695652173913
73,voter,rv,494,1
74,abstention,diego,229,0.4525691699604743
74,abstention,rv,151,0.2984189723320158
74,abstention,why,126,0.2490118577075099
74,voter,rv,494,1
75,abstention,diego,239,0.4723320158102767
75,abstention,rv,147,0.29051383399209485
75,abstention,why,120,0.23715415019762845
75,voter,rv,494,1
76,abstention,diego,246,0.48616600790513836
76,abstention,rv,131,0.25889328063241107
76,abstention,why,129,0.2549407114624506
76,voter,rv,494,1
77,abstention,diego,246,0.48616600790513836
77,abstention,rv,121,0.2391304347826087
77,abstention,why,139,0.274703557312253
77,voter,rv,494,1
78,abstention,diego,220,0.43478260869565216
78,abstention,rv,148,0.2924901185770751
78,abstention,why,138,0.2727272727272727
78,voter,rv,494,1
79,abstention,diego,236,0.466403162055336
79,abstention,rv,146,0.2885375494071146
79,abstention,why,124,0.2450592885375494
79,voter,rv,494,1
80,abstention,diego,211,0.41699604743083
80,abstention,rv,149,0.29446640316205536
80,abstention,why,146,0.2885375494071146
80,voter,rv,494,1
81,abstention,diego,235,0.4644268774703557
81,abstention,rv,140,0.2766798418972332
81,abstention,why,131,0.25889328063241107
81,voter,rv,494,1
82,abstention,diego,232,0.45849802371541504
82,abstention,rv,143,0.2826086956521739
82,abstention,why,131,0.25889328063241107
82,voter,rv,494,1
83,abstention,diego,223,0.4407114624505929
83,abstention,rv,155,0.30632411067193677
83,abstention,why,128,0.25296442687747034
83,voter,rv,494,1
84,abstention,diego,234,0.4624505928853755
84,abstention,rv,143,0.2826086956521739
84,abstention,why,129,0.2549407114624506
84,voter,rv,494,1
85,abstention,diego,245,0.4841897233201581
85,abstention,rv,136,0.26877470355731226
85,abstention,why,125,0.24703557312252963
85,voter,rv,494,1
86,abstention,diego,240,0.4743083003952569
86,abstention,rv,121,0.2391304347826087
86,abstention,why,145,0.2865612648221344
86,voter,rv,494,1
87,abstention,diego,236,0.466403162055336
87,abstention,rv,136,0.26877470355731226
87,abstention,why,134,0.2648221343873518
87,voter,rv,494,1
88,abstention,diego,238,0.47035573122529645
88,abstention,rv,137,0.2707509881422925
88,abstention,why,131,0.25889328063241107
88,voter,rv,494,1
89,abstention,diego,214,0.42292490118577075
89,abstention,rv,129,0.2549407114624506
89,abstention,why,163,0.3221343873517787
89,voter,rv,494,1
90,abstention,diego,222,0.43873517786561267
90,abstention,rv,151,0.2984189723320158
90,abstention,why,133,0.2628458498023715
90,voter,rv,494,1
91,abstention,diego,235,0.4644268774703557
91,abstention,rv,132,0.2608695652173913
91,abstention,why,139,0.274703557312253
91,voter,rv,494,1
92,abstention,diego,217,0.4288537549407115
92,abstention,rv,149,0.29446640316205536
92,abstention,why,140,0.2766798418972332
92,voter,rv,494,1
93,abstention,diego,245,0.4841897233201581
93,abstention,rv,130,0.25691699604743085
93,abstention,why,131,0.25889328063241107
93,voter,rv,494,1
94,abstention,diego,237,0.4683794466403162
94,abstention,rv,133,0.2628458498023715
94,abstention,why,136,0.26877470355731226
94,voter,rv,494,1
95,abstention,diego,244,0.48221343873517786
95,abstention,rv,128,0.25296442687747034
95,abstention,why,134,0.2648221343873518
95,voter,rv,494,1
96,abstention,diego,211,0.41699604743083
96,abstention,rv,157,0.3102766798418972
96,abstention,why,138,0.2727272727272727
96,voter,rv,494,1
97,abstention,diego,243,0.48023715415019763
97,abstention,rv,128,0.25296442687747034
97,abstention,why,135,0.26679841897233203
97,voter,rv,494,1
98,abstention,diego,225,0.44466403162055335
98,abstention,rv,140,0.2766798418972332
98,abstention,why,141,0.27865612648221344
98,voter,rv,494,1
99,abstention,diego,210,0.4150197628458498
99,abstention,rv,158,0.31225296442687744
99,abstention,why,138,0.2727272727272727
99,voter,rv,494,1
100,abstention,diego,226,0.44664031620553357
100,abstention,rv,138,0.2727272727272727
100,abstention,why,142,0.28063241106719367
100,voter,rv,494,1
101,abstention,diego,249,0.49209486166007904
101,abstention,rv,126,0.2490118577075099
101,abstention,why,131,0.25889328063241107
101,voter,rv,494,1
102,abstention,diego,229,0.4525691699604743
102,abstention,rv,144,0.2845849802371542
102,abstention,why,133,0.2628458498023715
102,voter,rv,494,1
103,abstention,diego,229,0.4525691699604743
103,abstention,rv,148,0.2924901185770751
103,abstention,why,129,0.2549407114624506
103,voter,rv,494,1
104,abstention,diego,231,0.45652173913043476
104,abstention,rv,139,0.274703557312253
104,abstention,why,136,0.26877470355731226
104,voter,rv,494,1
105,abstention,diego,229,0.4525691699604743
105,abstention,rv,144,0.2845849802371542
105,abstention,why,133,0.2628458498023715
105,voter,rv,494,1
106,abstention,diego,221,0.4367588932806324
