dataset_source,vote_approach_41_model,electoral_group_model,electoral_group_quality,n,prop_source
diego,NA,NA,not_available_outside_rv,1899,1
rv,switch,LEFT,classified_tfg_block,219,0.17819365337672904
rv,abstention,ABSTENTION,classified_abstention,142,0.11554109031733116
rv,regionalist,LEFT,classified_tfg_block,124,0.10089503661513426
rv,NA,NA,missing_vote_approach_41,111,0.09031733116354759
rv,switch,MODERATE,classified_tfg_block,110,0.08950366151342555
rv,national,LEFT,classified_tfg_block,95,0.07729861676159479
rv,switch,NA,missing_left_right_position,69,0.05614320585842148
rv,other,LEFT,classified_tfg_block,68,0.05532953620829943
rv,switch,CONSERVATIVE,classified_tfg_block,64,0.05207485760781123
rv,national,NA,missing_left_right_position,47,0.03824247355573637
rv,national,CONSERVATIVE,classified_tfg_block,38,0.030919446704637917
rv,national,MODERATE,classified_tfg_block,37,0.030105777054515868
rv,national,AUTHORITARIAN,classified_tfg_block,17,0.013832384052074858
rv,other,MODERATE,classified_tfg_block,15,0.012205044751830757
rv,regionalist,NA,missing_left_right_position,15,0.012205044751830757
rv,switch,AUTHORITARIAN,classified_tfg_block,13,0.010577705451586655
rv,regionalist,MODERATE,classified_tfg_block,10,0.008136696501220505
rv,NA,LEFT,classified_tfg_block,10,0.008136696501220505
rv,other,NA,missing_left_right_position,7,0.005695687550854353
rv,other,CONSERVATIVE,classified_tfg_block,6,0.004882017900732303
rv,other,AUTHORITARIAN,classified_tfg_block,5,0.0040683482506102524
rv,regionalist,CONSERVATIVE,classified_tfg_block,4,0.0032546786004882017
rv,regionalist,AUTHORITARIAN,classified_tfg_block,2,0.0016273393002441008
rv,NA,MODERATE,classified_tfg_block,1,8.136696501220504e-4
why,NA,NA,not_available_outside_rv,990,1
