"K","archetypes_used"
1,"Stubborn"
2,"Stubborn | Activist"
3,"Stubborn | Activist | Homo.Economicus"
4,"Stubborn | Activist | Homo.Economicus | Early.Adopter"
5,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful"
6,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer"
7,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer | Uninterested"
8,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Influencer | Uninterested | Careful"
