"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Homo.Economicus",4443088,55.5386
2,"Uninterested",2778,0.034725
3,"Influencer",12,0.00015
4,"Careful",0,0
5,"Early.Adopter",0,0
6,"Fearful",0,0
7,"Stubborn",0,0
