macro_archetype_5,adoption_stage,n_filas
G1_Activist_Stubborn_Sentient,Considering,94
G1_Activist_Stubborn_Sentient,Done,96
G1_Activist_Stubborn_Sentient,Knowledge,67
G2_EarlyAdopter_Influencer,Considering,29
G2_EarlyAdopter_Influencer,Done,30
G2_EarlyAdopter_Influencer,Knowledge,23
G3_Fearful_Careful,Considering,118
G3_Fearful_Careful,Done,118
G3_Fearful_Careful,Knowledge,94
G4_HomoEconomicus,Considering,47
G4_HomoEconomicus,Done,46
G4_HomoEconomicus,Knowledge,42
