political_profile_4blocks,mean_n,min_n,max_n,mean_prop,min_prop,max_prop
Authoritarian,80.6,77,85,0.24215875617362873,0.2319277108433735,0.2522255192878338
Conservative,94,90,97,0.28246910080702226,0.2702702702702703,0.2921686746987952
Left,45.2,42,47,0.13580175405530237,0.12727272727272726,0.14156626506024098
Moderate,113,111,114,0.3395703889640467,0.3323442136498516,0.34545454545454546
