macro_archetype_5,self_profile,mean_n,min_n,max_n
G1_Activist_Stubborn_Sentient,Activista,45,38,50
G1_Activist_Stubborn_Sentient,Sensible,13.4,9,16
G2_EarlyAdopter_Influencer,Influyente,14.6,9,19
G2_EarlyAdopter_Influencer,Pionero,1,1,1
G3_Fearful_Careful,Cuidadoso/a,111.8,106,123
G3_Fearful_Careful,Temeroso/a,75.8,63,84
G4_HomoEconomicus,Homo economicus,71.8,66,82
