"cluster","Early.Adopter","Fearful","Careful","Stubborn","Influencer","Uninterested","Homo.Economicus","X8"
"cluster_1",0,0,0,0,0,0,0,0
"cluster_2",28.5714285714286,11.1111111111111,0,12.5,28.5714285714286,25,25,28.5714285714286
"cluster_3",14.2857142857143,0,0,0,14.2857142857143,12.5,12.5,14.2857142857143
"cluster_4",25,37.5,60,42.8571428571429,11.1111111111111,37.5,22.2222222222222,25
"cluster_5",37.5,50,80,57.1428571428571,22.2222222222222,50,33.3333333333333,37.5
"cluster_6",37.5,33.3333333333333,50,37.5,22.2222222222222,50,33.3333333333333,37.5
"cluster_7",77.7777777777778,88.8888888888889,55.5555555555556,77.7777777777778,77.7777777777778,88.8888888888889,88.8888888888889,77.7777777777778
"cluster_8",66.6666666666667,77.7777777777778,62.5,66.6666666666667,66.6666666666667,77.7777777777778,77.7777777777778,66.6666666666667
