"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Homo.Economicus",3880549,48.5068625
2,"Uninterested",2211023,27.6377875
3,"Influencer",780512,9.7564
4,"Careful",0,0
5,"Early.Adopter",0,0
6,"Fearful",0,0
7,"Stubborn",0,0
