consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_15_self_satisfaction,87,0.87,0.3498724612452585
1,det_16_commitment,80,0.8,0.35376533787110165
1,det_11_knowledge,78,0.78,0.31675859667543493
1,det_18_autonomy,66,0.66,0.25557854425192955
1,det_12_own_competence,60,0.6,0.24910019876660228
1,det_13_technical_fit,56,0.56,0.23847571841658904
1,det_21_rights_and_duties,44,0.44,0.19329018544680193
1,det_17_adherence,44,0.44,0.19205690550193125
2,det_07_legal,88,0.88,0.4534548086553465
2,det_09_safety,88,0.88,0.4002782609914871
2,det_08_trust,67,0.67,0.21937681054629352
2,det_13_technical_fit,58,0.58,0.19398884326351432
2,det_20_coziness,42,0.42,0.18307982627572128
2,det_21_rights_and_duties,42,0.42,0.15646740174322168
2,det_02_credit_score,41,0.41,0.15161768089121178
2,det_17_adherence,39,0.39,0.14836297983689015
3,det_32_own_significance,92,0.92,0.3869417486890731
3,det_20_coziness,72,0.72,0.34719429099718
3,det_26_novelty,72,0.72,0.2725026152570092
3,det_25_agreement,69,0.69,0.25511685948039003
3,det_19_wellbeing,65,0.65,0.32641212073481257
3,det_18_autonomy,60,0.6,0.22278587833389935
3,det_27_fun,55,0.55,0.21782257962005894
3,det_02_credit_score,45,0.45,0.20782051938481594
4,det_31_approval,99,0.99,0.5658392668766945
4,det_22_peer_pressure,99,0.99,0.44217116980087434
4,det_28_recognition,98,0.98,0.5812301654808566
4,det_24_socialising,98,0.98,0.5555051798934891
4,det_30_authority,98,0.98,0.477962979343498
4,det_29_trends,90,0.9,0.3177592009810821
4,det_27_fun,81,0.81,0.2731716498873438
4,det_23_support,51,0.51,0.22475266862400428
5,det_10_cost_efficiency,100,1,0.7295021238675696
5,det_05_frugality,100,1,0.44732710277567517
5,det_03_risk_profile,98,0.98,0.3625786617264234
5,det_01_profits,96,0.96,0.3567107906414416
5,det_27_fun,69,0.69,0.18079227456490066
5,det_21_rights_and_duties,52,0.52,0.1480904366565605
5,det_17_adherence,41,0.41,0.13716605330194306
5,det_02_credit_score,39,0.39,0.14594251070219572
6,det_06_climate_protection,99,0.99,0.8403255202069275
6,det_14_environmental_concerns,99,0.99,0.7281383592518362
6,det_23_support,99,0.99,0.3782937080241297
6,det_04_added_value,95,0.95,0.2302342363660014
6,det_17_adherence,89,0.89,0.1889487693068444
6,det_32_own_significance,83,0.83,0.15217284674962342
6,det_08_trust,50,0.5,0.10935267560493078
6,det_07_legal,33,0.33,0.09985151683358523
