"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Homo.Economicus",4440572,55.50715
2,"Uninterested",2695,0.0336875
3,"Influencer",5,6.25e-05
4,"Careful",0,0
5,"Early.Adopter",0,0
6,"Fearful",0,0
7,"Stubborn",0,0
