"determinante","n_clusters"
"PROFITS",3
"CREDIT.SCORE",4
"RISK.PROFILE",6
"ADDED.VALUE",2
"FRUGALITY",2
"CLIMATE.PROTECTION",2
"LEGAL",4
"TRUST",3
"SAFETY",4
"COST.EFFICIENCY",5
"KNOWLEDGE",5
"OWN.COMPETENCE",5
"TECHNICAL.FIT",3
"ENVIRONMENTAL.CONCERNS",2
"SELF.SATISFACTION",4
"COMMITMENT",5
"ADHERENCE",6
"AUTARKY",5
"WELLBEING",5
"COZINESS",5
"RIGHTS.AND.DUTIES",3
"PEER.PRESSURE",2
"SUPPORT",1
"SOCIALISING",3
"AGREEMENT",3
"NOVELTY",2
"FUN",1
"RECOGNITION",3
"TRENDS",2
"AUTHORITY",2
"OWN.SIGNIFICANCE",2
"APPROVAL",3
