"cluster","best_match","pct_match"
"1","Careful",76.4705882352941
"2","Uninterested",27.2727272727273
"3","Stubborn",52.6315789473684
"4","Early.Adopter",26.0869565217391
"5","Fearful",45
"6","8",45
"7","Influencer",35.7142857142857
"8","Homo.Economicus",38.8888888888889
