"cluster","n_archetypes","total_frequency","freq_pct_total","freq_pct_rest"
1,16898,796388,99.5485,99.5485
2,585,1016,0.127,28.1284606866002
3,251,451,0.056375,17.3728813559322
4,70,190,0.02375,8.85780885780886
5,86,229,0.028625,11.7135549872123
6,61,136,0.017,7.87949015063731
7,111,224,0.028,14.0880503144654
8,91,205,0.025625,15.0073206442167
