"archetype_id","frequency"
20,1
30,1
59,1
105,2
106,1
138,1
156,1
194,6
196,1
256,1
311,1
320,1
324,1
337,1
340,1
383,3
392,1
452,1
471,1
677,1
704,1
732,1
776,1
816,1
831,2
855,1
905,1
940,1
944,1
1003,1
1014,1
1016,1
1060,1
1088,1
1129,1
1136,1
1153,3
1177,1
1194,2
1239,2
1249,1
1265,1
1271,1
1278,1
1298,1
1306,1
1396,1
1408,1
1427,1
1443,1
1460,2
1504,1
1516,1
1526,2
1532,1
1533,1
1542,1
1546,1
1581,1
1582,1
1583,1
1588,1
1622,1
1653,1
1671,1
1701,1
1720,1
1723,1
1737,1
1761,1
1796,1
1801,1
1812,2
1834,1
1855,1
1873,1
1891,1
2017,1
2026,18
2056,1
2069,1
2079,1
2116,1
2147,2
2174,1
2188,1
2191,1
2197,10
2199,1
2217,1
2225,1
2283,1
2324,2
2347,1
2356,1
2368,1
2414,1
2416,1
2443,1
2481,1
2492,4
2502,2
2572,1
2595,1
2600,1
2615,1
2624,1
2680,1
2727,26
2732,1
2751,1
2786,1
2790,3
2804,1
2812,2
2816,1
2819,1
2891,1
2915,13
2925,1
2951,14
2971,1
3030,1
3079,1
3119,1
3121,1
3140,8
3163,1
3173,1
3235,1
3236,1
3325,1
3340,1
3343,1
3360,1
3446,1
3460,1
3475,2
3531,1
3559,1
3565,1
3674,7
3694,2
3715,1
3765,1
3771,1
3847,1
3854,1
3877,1
3909,1
3910,1
3925,5
3935,1
3945,1
3946,1
3960,1
3976,1
4044,7
4051,5
4078,1
4105,1
4150,1
4167,1
4169,1
4202,2
4217,1
4218,1
4238,1
4241,1
4253,1
4312,1
4344,1
4348,1
4379,1
4413,1
4436,5
4462,1
4471,1
4481,1
4621,1
4660,1
4683,1
4686,1
4728,1
4792,1
4833,1
4839,1
4846,1
4850,1
4875,1
4885,1
4905,1
4915,1
4946,1
4950,1
5065,1
5070,1
5114,1
5132,1
5152,1
5170,7
5197,1
5219,3
5221,1
5235,1
5429,2
5459,1
5518,5
5539,1
5540,1
5550,1
5553,20
5574,2
5609,1
5633,1
5640,1
5707,1
5721,1
5806,3
5819,1
5840,1
5850,1
5918,1
5925,1
5932,3
6039,1
6106,21
6175,3
6199,24
6221,7
6235,1
6236,1
6296,1
6319,1
6434,1
6459,11
6488,1
6556,1
6599,14
6625,1
6670,1
6719,1
6814,1
6817,1
6832,32
6837,1
6861,1
6972,1
6974,1
6976,1
7073,1
7083,1
7124,1
7140,3
7142,1
7143,5
7171,1
7201,1
7216,1
7246,1
7296,1
7333,1
7415,1
7425,1
7458,1
7479,4
7481,2
7498,1
7530,1
7568,1
7569,1
7599,1
7617,1
7624,1
7699,1
7757,1
7769,8
7843,1
7887,1
7918,1
7935,1
7963,1
7988,2
7990,1
8012,3
8119,2
8205,4
8216,1
8231,1
8285,1
8306,1
8312,1
8349,3
8370,1
8509,1
8596,1
8598,2
8607,1
8672,1
8697,1
8728,1
8774,1
8869,1
8877,1
8880,1
8901,1
8913,1
8924,1
9011,1
9020,1
9050,1
9063,1
9113,1
9115,1
9118,1
9135,1
9217,1
9253,1
9257,11
9345,1
9350,1
9360,1
9362,1
9383,1
9424,3
9438,1
9498,1
9520,1
9639,2
9697,1
9711,1
9779,1
9792,1
9815,6
9842,1
9852,1
9875,11
9937,1
9976,17
10032,1
10065,1
10089,1
10160,1
10176,16
10215,1
10280,1
10286,1
10325,1
10348,1
10352,1
10384,1
10442,6
10458,1
10589,1
10600,1
10616,1
10632,1
10901,1
10907,1
10998,1
10999,1
11045,1
11059,1
11062,1
11126,1
11188,9
11221,1
11297,1
11310,9
11370,1
11393,1
11427,2
11455,1
11485,1
11536,20
11552,1
11579,1
11609,1
11623,1
11626,1
11740,1
11744,1
11745,1
11754,1
11824,1
11825,1
11871,1
11906,1
11910,1
11911,1
11912,1
11940,4
11992,1
12058,1
12060,1
12075,2
12142,1
12171,1
12175,1
12232,1
12278,1
12347,1
12364,1
12372,1
12412,2
12437,2
12479,1
12532,1
12562,1
12610,1
12625,1
12664,1
12684,1
12702,1
12710,1
12722,1
12811,1
12880,2
12913,1
12914,1
12934,1
12986,1
13190,1
13267,1
13282,1
13301,1
13404,1
13423,1
13473,1
13510,1
13518,1
13596,21
13610,1
13624,1
13659,1
13660,2
13669,1
13670,1
13735,1
13780,1
13786,1
13826,1
13884,1
13909,1
13926,1
14030,1
14038,1
14086,1
14087,1
14106,1
14114,1
14135,1
14175,1
14196,1
14257,1
14258,1
14273,1
14361,1
14394,3
14413,1
14414,1
14439,1
14465,1
14506,1
14541,1
14614,1
14622,1
14684,1
14706,1
14888,1
14894,1
14937,1
15003,1
15081,1
15184,1
15283,1
15303,2
15332,1
15333,1
15334,1
15338,1
15360,1
15361,1
15374,1
15392,1
15404,1
15406,4
15438,1
15448,2
15460,1
15474,1
15551,1
15585,5
15588,1
15601,1
15634,1
15700,1
15799,8
15816,1
15889,1
15910,1
15927,1
15932,1
15945,1
15979,7
16016,1
16022,1
16030,1
16074,1
16079,11
16096,1
16100,1
16101,2
16151,1
16167,1
16202,1
16216,3
16277,1
