"cluster","expert_row","vol_cluster","vol_expert","vol_common","pct_cluster_covered","pct_expert_covered"
1,"Early Adopter",15,6,4,26.6666666666667,66.6666666666667
1,"Uninterested",15,5,3,20,60
1,"Homo Economicus",15,9,7,46.6666666666667,77.7777777777778
1,"Fearful",15,9,9,60,100
1,"Stubborn",15,3,3,20,100
1,"Influencer",15,3,1,6.66666666666667,33.3333333333333
1,"Careful",15,12,11,73.3333333333333,91.6666666666667
1,"Activist",15,6,6,40,100
2,"Early Adopter",15,6,2,13.3333333333333,33.3333333333333
2,"Uninterested",15,5,3,20,60
2,"Homo Economicus",15,9,6,40,66.6666666666667
2,"Fearful",15,9,7,46.6666666666667,77.7777777777778
2,"Stubborn",15,3,2,13.3333333333333,66.6666666666667
2,"Influencer",15,3,1,6.66666666666667,33.3333333333333
2,"Careful",15,12,7,46.6666666666667,58.3333333333333
2,"Activist",15,6,1,6.66666666666667,16.6666666666667
3,"Early Adopter",15,6,4,26.6666666666667,66.6666666666667
3,"Uninterested",15,5,2,13.3333333333333,40
3,"Homo Economicus",15,9,3,20,33.3333333333333
3,"Fearful",15,9,4,26.6666666666667,44.4444444444444
3,"Stubborn",15,3,2,13.3333333333333,66.6666666666667
3,"Influencer",15,3,0,0,0
3,"Careful",15,12,8,53.3333333333333,66.6666666666667
3,"Activist",15,6,5,33.3333333333333,83.3333333333333
4,"Early Adopter",15,6,3,20,50
4,"Uninterested",15,5,1,6.66666666666667,20
4,"Homo Economicus",15,9,3,20,33.3333333333333
4,"Fearful",15,9,3,20,33.3333333333333
4,"Stubborn",15,3,2,13.3333333333333,66.6666666666667
4,"Influencer",15,3,2,13.3333333333333,66.6666666666667
4,"Careful",15,12,7,46.6666666666667,58.3333333333333
4,"Activist",15,6,3,20,50
5,"Early Adopter",15,6,3,20,50
5,"Uninterested",15,5,2,13.3333333333333,40
5,"Homo Economicus",15,9,6,40,66.6666666666667
5,"Fearful",15,9,6,40,66.6666666666667
5,"Stubborn",15,3,3,20,100
5,"Influencer",15,3,1,6.66666666666667,33.3333333333333
5,"Careful",15,12,7,46.6666666666667,58.3333333333333
5,"Activist",15,6,4,26.6666666666667,66.6666666666667
6,"Early Adopter",15,6,2,13.3333333333333,33.3333333333333
6,"Uninterested",15,5,3,20,60
6,"Homo Economicus",15,9,4,26.6666666666667,44.4444444444444
6,"Fearful",15,9,5,33.3333333333333,55.5555555555556
6,"Stubborn",15,3,1,6.66666666666667,33.3333333333333
6,"Influencer",15,3,1,6.66666666666667,33.3333333333333
6,"Careful",15,12,7,46.6666666666667,58.3333333333333
6,"Activist",15,6,3,20,50
7,"Early Adopter",6,6,1,16.6666666666667,16.6666666666667
7,"Uninterested",6,5,1,16.6666666666667,20
7,"Homo Economicus",6,9,0,0,0
7,"Fearful",6,9,0,0,0
7,"Stubborn",6,3,0,0,0
7,"Influencer",6,3,2,33.3333333333333,66.6666666666667
7,"Careful",6,12,0,0,0
7,"Activist",6,6,0,0,0
8,"Early Adopter",11,6,2,18.1818181818182,33.3333333333333
8,"Uninterested",11,5,1,9.09090909090909,20
8,"Homo Economicus",11,9,4,36.3636363636364,44.4444444444444
8,"Fearful",11,9,5,45.4545454545455,55.5555555555556
8,"Stubborn",11,3,2,18.1818181818182,66.6666666666667
8,"Influencer",11,3,2,18.1818181818182,66.6666666666667
8,"Careful",11,12,5,45.4545454545455,41.6666666666667
8,"Activist",11,6,1,9.09090909090909,16.6666666666667
