"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Stubborn",1661894,20.773675
2,"Activist",1463241,18.2905125
3,"Homo.Economicus",1460542,18.256775
4,"Early.Adopter",72537,0.9067125
5,"Fearful",4653,0.0581625
6,"Influencer",4203,0.0525375
7,"Uninterested",11,0.0001375
8,"Careful",0,0
