"cluster","best_match","pct_match","active_determinants","n_active_dets"
"cluster_1","Uninterested",60,"COMPETENCE; AUTONOMY; PHYSICALNESS",3
"cluster_2","Stubborn",60,"SECURITY; COMPETENCE; AUTONOMY",3
"cluster_3","Homo.Economicus",50,"FINANCIAL; COMPETENCE; AUTONOMY",3
