"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Stubborn",7998946,99.986825
2,"Activist",7921485,99.0185625
3,"Homo.Economicus",3377029,42.2128625
4,"Early.Adopter",67175,0.8396875
5,"Fearful",23222,0.290275
6,"Uninterested",9829,0.1228625
7,"Influencer",3752,0.0469
8,"Careful",0,0
