"cluster","n_active_dets","active_determinants"
"cluster_1",3,"COMPETENCE; AUTONOMY; PHYSICALNESS"
"cluster_2",3,"FINANCIAL; SECURITY; COMPETENCE"
"cluster_3",3,"FINANCIAL; AUTONOMY; STIMULATION"
"cluster_4",3,"SECURITY; AUTONOMY; POPULARITY"
"cluster_5",0,""
"cluster_6",3,"SECURITY; PHYSICALNESS; MEANING"
"cluster_7",3,"PHYSICALNESS; STIMULATION; POPULARITY"
"cluster_8",3,"FINANCIAL; POPULARITY; MEANING"
