analysis_sample,weighting,method,matrix_name,d_det,d_hamming,n_prototypes_used,n_bootstraps,n_unique_patterns,final_covered_pct,first_prototype_covered_pct,last_prototype_increment_pct,max_possible_hamming,effective_hamming_radius,min_common_determinants,min_common_pct,radius_can_cover_any_pattern
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,0,12,100,1428,26.44999999999947,11.585476190475969,0.6838095238095095,16,0,8,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,2,12,100,1428,52.73238095237986,17.486904761904412,1.1345238095237862,16,2,7,87.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,4,12,100,1428,76.18071428571271,17.719047619047263,0.5295238095237985,16,4,6,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,6,12,100,1428,89.94833333333145,18.07976190476154,0.22214285714285253,16,6,5,62.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,8,12,100,1428,99.61071428571219,19.48214285714245,0.3107142857142792,16,8,4,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,10,8,100,1428,99.99999999999774,23.504523809523302,0.02499999999999948,16,10,3,37.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,0,12,100,1618,23.74023809523757,9.140238095237896,0.5999999999999864,18,0,9,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,2,12,100,1618,46.45166666666563,16.192857142856784,0.7928571428571248,18,2,8,88.88888888888889,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,4,12,100,1618,71.80690476190317,17.665476190475793,1.4052380952380639,18,4,7,77.77777777777777,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,6,12,100,1618,88.54833333333139,18.402380952380533,0.5702380952380823,18,6,6,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,8,12,100,1618,97.48499999999783,20.127380952380477,0.43809523809522816,18,8,5,55.55555555555556,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,10,12,100,1618,99.99999999999778,22.33119047618995,0.024999999999999436,18,10,4,44.44444444444444,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,0,12,100,1779,20.1397619047614,5.51047619047605,0.7669047619047427,20,0,10,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,2,12,100,1779,43.790238095237,15.562619047618655,1.6326190476190077,20,2,9,90,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,4,12,100,1779,63.33166666666511,17.479761904761457,1.8733333333332882,20,4,8,80,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,6,12,100,1779,83.1904761904741,18.03333333333287,1.5799999999999614,20,6,7,70,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,8,12,100,1779,95.82285714285477,19.783333333332813,0.20547619047618534,20,8,6,60,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,10,12,100,1779,99.89999999999758,22.358333333332748,0.024999999999999377,20,10,5,50,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,0,12,100,1894,16.594285714285338,4.009285714285621,0.6283333333333192,22,0,11,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,2,12,100,1894,38.891666666665785,12.89380952380923,0.8907142857142657,22,2,10,90.9090909090909,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,4,12,100,1894,58.664047619046315,17.014285714285325,1.1564285714285456,22,4,9,81.81818181818181,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,6,12,100,1894,76.09785714285543,17.611904761904356,0.659999999999985,22,6,8,72.72727272727273,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,8,12,100,1894,91.80571428571227,18.6630952380948,0.953571428571407,22,8,7,63.63636363636363,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,11,10,12,100,1894,99.3952380952359,21.2242857142852,0.09523809523809308,22,10,6,54.54545454545455,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,0,12,100,2033,14.131666666666302,3.1661904761903923,0.5504761904761762,24,0,12,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,2,12,100,2033,35.841428571427635,12.257142857142544,1.0183333333333071,24,2,11,91.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,4,12,100,2033,53.958095238093875,16.780714285713852,0.12690476190475863,24,4,10,83.33333333333333,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,6,12,100,2033,72.09190476190294,17.586904761904304,0.3421428571428483,24,6,9,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,8,12,100,2033,88.61047619047399,18.37738095238047,0.20380952380951856,24,8,8,66.66666666666667,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,12,10,12,100,2033,98.33928571428318,20.094761904761366,1.117857142857114,24,10,7,58.333333333333336,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,0,12,100,2120,12.299047619047279,2.801428571428492,0.4766666666666535,26,0,13,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,2,12,100,2120,33.26214285714194,11.80071428571396,0.4952380952380815,26,2,12,92.3076923076923,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,4,12,100,2120,52.75880952380806,16.62023809523762,0.5257142857142711,26,4,11,84.61538461538461,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,6,12,100,2120,68.92166666666472,17.586904761904258,0.1488095238095197,26,6,10,76.92307692307692,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,8,12,100,2120,85.61452380952142,17.99166666666615,0.8976190476190227,26,8,9,69.23076923076923,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,13,10,12,100,2120,96.10190476190208,20.04714285714228,1.3697619047618668,26,10,8,61.53846153846154,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,0,12,100,2206,11.37166666666633,1.5714285714285252,0.45738095238093873,28,0,14,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,2,12,100,2206,29.12071428571343,10.328809523809223,0.7154761904761691,28,2,13,92.85714285714286,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,14,4,12,100,2206,46.95119047618907,16.23785714285665,0.1269047619047581,28,4,12,85.71428571428571,FALSE
