analysis_sample,weighting,method,matrix_name,d_det,d_hamming,coverage_threshold,first_prototype_reaching_threshold,max_coverage_available,max_possible_hamming,effective_hamming_radius,min_common_determinants,min_common_pct,radius_can_cover_any_pattern
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,0,80,NA,26.44999999999947,16,0,8,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,0,85,NA,26.44999999999947,16,0,8,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,0,90,NA,26.44999999999947,16,0,8,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,0,95,NA,26.44999999999947,16,0,8,100,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,2,80,NA,52.73238095237986,16,2,7,87.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,2,85,NA,52.73238095237986,16,2,7,87.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,2,90,NA,52.73238095237986,16,2,7,87.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,2,95,NA,52.73238095237986,16,2,7,87.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,4,80,NA,76.18071428571271,16,4,6,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,4,85,NA,76.18071428571271,16,4,6,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,4,90,NA,76.18071428571271,16,4,6,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,4,95,NA,76.18071428571271,16,4,6,75,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,6,80,6,89.94833333333145,16,6,5,62.5,FALSE
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,6,85,7,89.94833333333145,16,6,5,62.5,FALSE
