analysis_sample,method,matrix_name,score_rank,mean_score,median_score,q25_score,q75_score
COMPLETE,EFA,matrix_32_ext_0_1,1,0.5854838014896687,0.6185968265928382,0.49090357161319653,0.6870894090011201
COMPLETE,EFA,matrix_32_ext_0_1,2,0.4744704727579094,0.4893394683786287,0.3805020233927614,0.5619235874093467
COMPLETE,EFA,matrix_32_ext_0_1,3,0.3920217929564513,0.3806418141437401,0.2748943996943415,0.4757174097798858
COMPLETE,EFA,matrix_32_ext_0_1,4,0.3192571787918315,0.27743185208478965,0.20846284125730957,0.40222315973059103
COMPLETE,EFA,matrix_32_ext_0_1,5,0.28214522801547337,0.2363646918179233,0.1801442706667706,0.3642253668739348
COMPLETE,EFA,matrix_32_ext_0_1,6,0.24792552201744986,0.1978063227128586,0.1594131248679046,0.3316094148485666
COMPLETE,EFA,matrix_32_ext_0_1,7,0.2118722736659379,0.1760197893518739,0.14305962136891423,0.280898769455907
COMPLETE,EFA,matrix_32_ext_0_1,8,0.18210183361395726,0.15787739786926386,0.13037627841218066,0.21365394132245147
COMPLETE,EFA,matrix_32_ext_0_1,9,0.16499163512428583,0.14360405260252346,0.11949830130087843,0.18398120232576437
COMPLETE,EFA,matrix_32_ext_0_1,10,0.14890582236653518,0.13092235689846415,0.10955875080182312,0.16076702833861042
COMPLETE,EFA,matrix_32_ext_0_1,11,0.13620070258048766,0.11956746769200416,0.1008987276133735,0.14429424258473617
COMPLETE,EFA,matrix_32_ext_0_1,12,0.12425972692855373,0.10923446655903205,0.09263937333753433,0.13098368165673804
COMPLETE,EFA,matrix_32_ext_0_1,13,0.11318344774897446,0.09976859243921687,0.08434025193264061,0.11974044903528135
COMPLETE,EFA,matrix_32_ext_0_1,14,0.10306814907935499,0.09204584581075806,0.07718251797164619,0.11024684731384869
COMPLETE,EFA,matrix_32_ext_0_1,15,0.09377576638299996,0.083905003631367,0.07046535521160864,0.10077106615275949
COMPLETE,EFA,matrix_32_ext_0_1,16,0.0852987463985428,0.07718611539434694,0.06423865844753858,0.09202408893121514
COMPLETE,EFA,matrix_32_ext_0_1,17,0.0772890718331971,0.07002855569824185,0.0587152471131715,0.08493338464167052
COMPLETE,EFA,matrix_32_ext_0_1,18,0.07046030504010718,0.06408615896697967,0.05304538360089717,0.07799213902102463
COMPLETE,EFA,matrix_32_ext_0_1,19,0.06384417561285655,0.05839539216242173,0.04789708939539909,0.0716077621687202
COMPLETE,EFA,matrix_32_ext_0_1,20,0.05785934480177325,0.0529194553444206,0.043157295825942646,0.0654681435232101
COMPLETE,EFA,matrix_32_ext_0_1,21,0.052198611214400684,0.04787556232726179,0.038531093886564394,0.059620395142041885
COMPLETE,EFA,matrix_32_ext_0_1,22,0.046843431416841344,0.04286071600219965,0.03471184942122014,0.05395719665210197
COMPLETE,EFA,matrix_32_ext_0_1,23,0.0415903187880127,0.03803913892427705,0.03024298846118168,0.04834999750226719
COMPLETE,EFA,matrix_32_ext_0_1,24,0.03656801332351615,0.034101882266913894,0.026342994340838175,0.042914710114702055
COMPLETE,EFA,matrix_32_ext_0_1,25,0.03193852847052159,0.02947877417752809,0.02246123817860176,0.038525893361414584
COMPLETE,EFA,matrix_32_ext_0_1,26,0.02744574859550885,0.025266339351994398,0.018732243026711178,0.03348072738877696
COMPLETE,EFA,matrix_32_ext_0_1,27,0.023213317479140964,0.021229419513924534,0.015370569913110352,0.028726882796405215
COMPLETE,EFA,matrix_32_ext_0_1,28,0.019088441227101374,0.017296476162175355,0.011916793903129455,0.023782997027616257
COMPLETE,EFA,matrix_32_ext_0_1,29,0.015093820505435155,0.013337617115862135,0.009011215149330969,0.01900319543607181
COMPLETE,EFA,matrix_32_ext_0_1,30,0.011243185777237394,0.009788504227971034,0.006128258838831463,0.014710219804682756
COMPLETE,EFA,matrix_32_ext_0_1,31,0.0075153924163996735,0.00624845155566698,0.0034713080254505477,0.010186186471627548
COMPLETE,EFA,matrix_32_ext_0_1,32,0.0037260052746313816,0.00249677051726339,0.0010712230859652974,0.005059382006478593
COMPLETE,EFA,matrix_32_pos_0_1,1,0.6367848288549233,0.6470019979921042,0.5873047957386455,0.7233040094939569
COMPLETE,EFA,matrix_32_pos_0_1,2,0.5595304810119766,0.5886727198296511,0.508160072208296,0.6392739112244872
COMPLETE,EFA,matrix_32_pos_0_1,3,0.42425470992077224,0.423883903422536,0.3407386864547105,0.5237105431493221
COMPLETE,EFA,matrix_32_pos_0_1,4,0.35093459215770545,0.32711104680387104,0.2535691433600123,0.46592160346128836
COMPLETE,EFA,matrix_32_pos_0_1,5,0.29862421231609426,0.2740598517815192,0.20099973231302343,0.40225868657265074
COMPLETE,EFA,matrix_32_pos_0_1,6,0.261633212110732,0.23895482622643602,0.17466042658294312,0.3458962785681266
COMPLETE,EFA,matrix_32_pos_0_1,7,0.2336131561733879,0.21166946815244053,0.1548803404412004,0.2912511998450923
COMPLETE,EFA,matrix_32_pos_0_1,8,0.21195863926009936,0.19058540484475847,0.1378344854292889,0.2632684213542277
COMPLETE,EFA,matrix_32_pos_0_1,9,0.1838200656283275,0.1740206964093589,0.12509537748173688,0.22293698762086017
COMPLETE,EFA,matrix_32_pos_0_1,10,0.16416721708471974,0.15680081254855244,0.11384746322532914,0.1903172921586383
COMPLETE,EFA,matrix_32_pos_0_1,11,0.14854601351899738,0.1403017155936207,0.10416121140720233,0.1720631399832008
COMPLETE,EFA,matrix_32_pos_0_1,12,0.1327774616394856,0.12724406727076554,0.0952605140240298,0.15526159798166364
COMPLETE,EFA,matrix_32_pos_0_1,13,0.1205877518718479,0.1161545718230943,0.08819152962240119,0.14045192729860528
COMPLETE,EFA,matrix_32_pos_0_1,14,0.10985518482831673,0.10497530557507243,0.08075464614812695,0.12880849415748863
