left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
KM1,EFA6,77.77777777777777,9,8,7,77.77777777777777,87.5,70,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
KM2,EFA3,42.857142857142854,14,8,6,42.857142857142854,75,37.5,det_03_risk_profile; det_08_trust; det_11_knowledge; det_15_self_satisfaction; det_16_commitment; det_17_adherence
KM3,EFA4,62.5,8,8,5,62.5,62.5,45.45454545454545,det_08_trust; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment
KM4,EFA5,13.333333333333334,15,8,2,13.333333333333334,25,9.523809523809524,det_14_environmental_concerns; det_22_peer_pressure
KM5,EFA1,12.5,8,8,1,12.5,12.5,6.666666666666667,det_02_credit_score
KM6,EFA2,53.333333333333336,15,8,8,53.333333333333336,100,53.333333333333336,det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_19_wellbeing; det_20_coziness
