"cluster","best_match","pct_match"
"1","Fearful",60
"2","Careful",35
"3","Influencer",28.5714285714286
"4","Uninterested",17.6470588235294
"5","Activist",16.6666666666667
"6","Homo Economicus",20
"7","Early Adopter",23.5294117647059
