method,matrix_name,d_det,d_hamming,n_prototypes_used,n_bootstraps,n_unique_patterns,final_covered_pct,first_prototype_covered_pct,last_prototype_increment_pct,pool_weighting,max_possible_hamming,effective_hamming_radius,min_common_determinants,min_common_pct,odd_radius_redundant,radius_can_cover_any_pattern
EFA,matrix_32_ext_0_1,8,0,12,100,1866,19.742857142856714,9.490476190475992,0.3466666666666591,equal_candidate,16,0,8,100,FALSE,FALSE
EFA,matrix_32_ext_0_1,8,1,12,100,1866,19.742857142856714,9.490476190475992,0.3466666666666591,equal_candidate,16,0,8,100,TRUE,FALSE
EFA,matrix_32_ext_0_1,8,2,12,100,1866,38.919047619046765,17.433333333332953,1.2007142857142596,equal_candidate,16,2,7,87.5,FALSE,FALSE
EFA,matrix_32_ext_0_1,8,3,12,100,1866,38.919047619046765,17.433333333332953,1.2007142857142596,equal_candidate,16,2,7,87.5,TRUE,FALSE
EFA,matrix_32_ext_0_1,8,4,12,100,1866,60.867142857141516,17.78095238095199,1.56880952380949,equal_candidate,16,4,6,75,FALSE,FALSE
EFA,matrix_32_ext_0_1,8,5,12,100,1866,60.867142857141516,17.78095238095199,1.56880952380949,equal_candidate,16,4,6,75,TRUE,FALSE
EFA,matrix_32_ext_0_1,8,6,12,100,1866,81.80666666666492,18.04285714285675,0.8854761904761709,equal_candidate,16,6,5,62.5,FALSE,FALSE
EFA,matrix_32_ext_0_1,8,7,12,100,1866,81.80666666666492,18.04285714285675,0.8854761904761709,equal_candidate,16,6,5,62.5,TRUE,FALSE
EFA,matrix_32_ext_0_1,8,8,12,100,1866,99.06976190475982,19.162142857142435,0.894761904761885,equal_candidate,16,8,4,50,FALSE,FALSE
EFA,matrix_32_ext_0_1,8,9,12,100,1866,99.06976190475982,19.162142857142435,0.894761904761885,equal_candidate,16,8,4,50,TRUE,FALSE
EFA,matrix_32_ext_0_1,8,10,8,100,1866,99.99999999999778,23.37190476190424,0.13214285714285423,equal_candidate,16,10,3,37.5,FALSE,FALSE
EFA,matrix_32_ext_0_1,9,0,12,100,1995,16.893809523809146,10.331904761904536,0.33857142857142064,equal_candidate,18,0,9,100,FALSE,FALSE
EFA,matrix_32_ext_0_1,9,1,12,100,1995,16.893809523809146,10.331904761904536,0.33857142857142064,equal_candidate,18,0,9,100,TRUE,FALSE
EFA,matrix_32_ext_0_1,9,2,12,100,1995,34.299523809523016,16.429285714285342,0.9573809523809301,equal_candidate,18,2,8,88.88888888888889,FALSE,FALSE
EFA,matrix_32_ext_0_1,9,3,12,100,1995,34.299523809523016,16.429285714285342,0.9573809523809301,equal_candidate,18,2,8,88.88888888888889,TRUE,FALSE
EFA,matrix_32_ext_0_1,9,4,12,100,1995,57.84619047618912,17.61547619047579,0.580714285714272,equal_candidate,18,4,7,77.77777777777777,FALSE,FALSE
EFA,matrix_32_ext_0_1,9,5,12,100,1995,57.84619047618912,17.61547619047579,0.580714285714272,equal_candidate,18,4,7,77.77777777777777,TRUE,FALSE
EFA,matrix_32_ext_0_1,9,6,12,100,1995,78.29142857142676,17.9095238095234,1.1580952380952116,equal_candidate,18,6,6,66.66666666666667,FALSE,FALSE
EFA,matrix_32_ext_0_1,9,7,12,100,1995,78.29142857142676,17.9095238095234,1.1580952380952116,equal_candidate,18,6,6,66.66666666666667,TRUE,FALSE
EFA,matrix_32_ext_0_1,9,8,12,100,1995,95.89523809523601,18.707142857142426,1.4371428571428242,equal_candidate,18,8,5,55.55555555555556,FALSE,FALSE
EFA,matrix_32_ext_0_1,9,9,12,100,1995,95.89523809523601,18.707142857142426,1.4371428571428242,equal_candidate,18,8,5,55.55555555555556,TRUE,FALSE
EFA,matrix_32_ext_0_1,9,10,12,100,1995,99.99999999999775,21.47738095238045,0.028571428571427904,equal_candidate,18,10,4,44.44444444444444,FALSE,FALSE
EFA,matrix_32_ext_0_1,10,0,12,100,2103,14.350952380952007,3.050714285714203,0.3733333333333236,equal_candidate,20,0,10,100,FALSE,FALSE
EFA,matrix_32_ext_0_1,10,1,12,100,2103,14.350952380952007,3.050714285714203,0.3733333333333236,equal_candidate,20,0,10,100,TRUE,FALSE
EFA,matrix_32_ext_0_1,10,2,12,100,2103,31.847619047618224,14.62666666666629,0.34904761904760995,equal_candidate,20,2,9,90,FALSE,FALSE
EFA,matrix_32_ext_0_1,10,3,12,100,2103,31.847619047618224,14.62666666666629,0.34904761904760995,equal_candidate,20,2,9,90,TRUE,FALSE
EFA,matrix_32_ext_0_1,10,4,12,100,2103,50.18452380952251,17.18619047619003,1.0507142857142586,equal_candidate,20,4,8,80,FALSE,FALSE
EFA,matrix_32_ext_0_1,10,5,12,100,2103,50.18452380952251,17.18619047619003,1.0507142857142586,equal_candidate,20,4,8,80,TRUE,FALSE
EFA,matrix_32_ext_0_1,10,6,12,100,2103,69.33571428571248,17.71547619047573,1.3857142857142504,equal_candidate,20,6,7,70,FALSE,FALSE
EFA,matrix_32_ext_0_1,10,7,12,100,2103,69.33571428571248,17.71547619047573,1.3857142857142504,equal_candidate,20,6,7,70,TRUE,FALSE
EFA,matrix_32_ext_0_1,10,8,12,100,2103,90.54452380952154,18.40190476190428,2.4671428571427945,equal_candidate,20,8,6,60,FALSE,FALSE
EFA,matrix_32_ext_0_1,10,9,12,100,2103,90.54452380952154,18.40190476190428,2.4671428571427945,equal_candidate,20,8,6,60,TRUE,FALSE
EFA,matrix_32_ext_0_1,10,10,12,100,2103,99.64761904761654,19.950476190475666,0.2352380952380891,equal_candidate,20,10,5,50,FALSE,FALSE
EFA,matrix_32_ext_0_1,11,0,12,100,2196,8.634999999999765,0.9723809523809263,0.5278571428571286,equal_candidate,22,0,11,100,FALSE,FALSE
EFA,matrix_32_ext_0_1,11,1,12,100,2196,8.634999999999765,0.9723809523809263,0.5278571428571286,equal_candidate,22,0,11,100,TRUE,FALSE
EFA,matrix_32_ext_0_1,11,2,12,100,2196,28.65809523809446,8.675476190475957,0.3585714285714189,equal_candidate,22,2,10,90.9090909090909,FALSE,FALSE
EFA,matrix_32_ext_0_1,11,3,12,100,2196,28.65809523809446,8.675476190475957,0.3585714285714189,equal_candidate,22,2,10,90.9090909090909,TRUE,FALSE
EFA,matrix_32_ext_0_1,11,4,12,100,2196,45.06547619047498,16.067857142856713,0.10190476190475913,equal_candidate,22,4,9,81.81818181818181,FALSE,FALSE
EFA,matrix_32_ext_0_1,11,5,12,100,2196,45.06547619047498,16.067857142856713,0.10190476190475913,equal_candidate,22,4,9,81.81818181818181,TRUE,FALSE
EFA,matrix_32_ext_0_1,11,6,12,100,2196,64.52714285714114,17.698809523809054,0.9538095238094975,equal_candidate,22,6,8,72.72727272727273,FALSE,FALSE
EFA,matrix_32_ext_0_1,11,7,12,100,2196,64.52714285714114,17.698809523809054,0.9538095238094975,equal_candidate,22,6,8,72.72727272727273,TRUE,FALSE
EFA,matrix_32_ext_0_1,11,8,12,100,2196,85.78428571428344,18.258333333332843,1.1661904761904442,equal_candidate,22,8,7,63.63636363636363,FALSE,FALSE
EFA,matrix_32_ext_0_1,11,9,12,100,2196,85.78428571428344,18.258333333332843,1.1661904761904442,equal_candidate,22,8,7,63.63636363636363,TRUE,FALSE
EFA,matrix_32_ext_0_1,11,10,12,100,2196,98.28666666666412,19.1590476190471,0.33571428571427653,equal_candidate,22,10,6,54.54545454545455,FALSE,FALSE
EFA,matrix_32_ext_0_1,12,0,12,100,2296,7.615714285714063,1.693333333333284,0.4004761904761787,equal_candidate,24,0,12,100,FALSE,FALSE
EFA,matrix_32_ext_0_1,12,1,12,100,2296,7.615714285714063,1.693333333333284,0.4004761904761787,equal_candidate,24,0,12,100,TRUE,FALSE
EFA,matrix_32_ext_0_1,12,2,12,100,2296,26.174285714284938,6.4628571428569535,0.33047619047618076,equal_candidate,24,2,11,91.66666666666667,FALSE,FALSE
EFA,matrix_32_ext_0_1,12,3,12,100,2296,26.174285714284938,6.4628571428569535,0.33047619047618076,equal_candidate,24,2,11,91.66666666666667,TRUE,FALSE
EFA,matrix_32_ext_0_1,12,4,12,100,2296,43.29380952380828,10.378571428571133,0.9985714285713998,equal_candidate,24,4,10,83.33333333333333,FALSE,FALSE
EFA,matrix_32_ext_0_1,12,5,12,100,2296,43.29380952380828,10.378571428571133,0.9985714285713998,equal_candidate,24,4,10,83.33333333333333,TRUE,FALSE
