method,matrix_name,d_det,d_hamming,coverage_threshold,first_prototype_reaching_threshold,max_coverage_available
EFA,matrix_32_ext_0_1,8,0,80,NA,19.742857142856714
EFA,matrix_32_ext_0_1,8,0,85,NA,19.742857142856714
EFA,matrix_32_ext_0_1,8,0,90,NA,19.742857142856714
EFA,matrix_32_ext_0_1,8,0,95,NA,19.742857142856714
EFA,matrix_32_ext_0_1,8,1,80,NA,19.742857142856714
EFA,matrix_32_ext_0_1,8,1,85,NA,19.742857142856714
EFA,matrix_32_ext_0_1,8,1,90,NA,19.742857142856714
EFA,matrix_32_ext_0_1,8,1,95,NA,19.742857142856714
EFA,matrix_32_ext_0_1,8,2,80,NA,38.919047619046765
EFA,matrix_32_ext_0_1,8,2,85,NA,38.919047619046765
EFA,matrix_32_ext_0_1,8,2,90,NA,38.919047619046765
EFA,matrix_32_ext_0_1,8,2,95,NA,38.919047619046765
EFA,matrix_32_ext_0_1,8,3,80,NA,38.919047619046765
EFA,matrix_32_ext_0_1,8,3,85,NA,38.919047619046765
EFA,matrix_32_ext_0_1,8,3,90,NA,38.919047619046765
EFA,matrix_32_ext_0_1,8,3,95,NA,38.919047619046765
EFA,matrix_32_ext_0_1,8,4,80,NA,60.867142857141516
EFA,matrix_32_ext_0_1,8,4,85,NA,60.867142857141516
EFA,matrix_32_ext_0_1,8,4,90,NA,60.867142857141516
EFA,matrix_32_ext_0_1,8,4,95,NA,60.867142857141516
EFA,matrix_32_ext_0_1,8,5,80,NA,60.867142857141516
EFA,matrix_32_ext_0_1,8,5,85,NA,60.867142857141516
EFA,matrix_32_ext_0_1,8,5,90,NA,60.867142857141516
EFA,matrix_32_ext_0_1,8,5,95,NA,60.867142857141516
EFA,matrix_32_ext_0_1,8,6,80,10,81.80666666666492
EFA,matrix_32_ext_0_1,8,6,85,NA,81.80666666666492
EFA,matrix_32_ext_0_1,8,6,90,NA,81.80666666666492
EFA,matrix_32_ext_0_1,8,6,95,NA,81.80666666666492
EFA,matrix_32_ext_0_1,8,7,80,10,81.80666666666492
EFA,matrix_32_ext_0_1,8,7,85,NA,81.80666666666492
EFA,matrix_32_ext_0_1,8,7,90,NA,81.80666666666492
EFA,matrix_32_ext_0_1,8,7,95,NA,81.80666666666492
EFA,matrix_32_ext_0_1,8,8,80,5,99.06976190475982
EFA,matrix_32_ext_0_1,8,8,85,5,99.06976190475982
EFA,matrix_32_ext_0_1,8,8,90,6,99.06976190475982
EFA,matrix_32_ext_0_1,8,8,95,7,99.06976190475982
EFA,matrix_32_ext_0_1,8,9,80,5,99.06976190475982
EFA,matrix_32_ext_0_1,8,9,85,5,99.06976190475982
EFA,matrix_32_ext_0_1,8,9,90,6,99.06976190475982
EFA,matrix_32_ext_0_1,8,9,95,7,99.06976190475982
EFA,matrix_32_ext_0_1,8,10,80,3,99.99999999999778
EFA,matrix_32_ext_0_1,8,10,85,3,99.99999999999778
EFA,matrix_32_ext_0_1,8,10,90,4,99.99999999999778
EFA,matrix_32_ext_0_1,8,10,95,4,99.99999999999778
EFA,matrix_32_ext_0_1,9,0,80,NA,16.893809523809146
EFA,matrix_32_ext_0_1,9,0,85,NA,16.893809523809146
EFA,matrix_32_ext_0_1,9,0,90,NA,16.893809523809146
EFA,matrix_32_ext_0_1,9,0,95,NA,16.893809523809146
EFA,matrix_32_ext_0_1,9,1,80,NA,16.893809523809146
EFA,matrix_32_ext_0_1,9,1,85,NA,16.893809523809146
EFA,matrix_32_ext_0_1,9,1,90,NA,16.893809523809146
EFA,matrix_32_ext_0_1,9,1,95,NA,16.893809523809146
EFA,matrix_32_ext_0_1,9,2,80,NA,34.299523809523016
EFA,matrix_32_ext_0_1,9,2,85,NA,34.299523809523016
EFA,matrix_32_ext_0_1,9,2,90,NA,34.299523809523016
EFA,matrix_32_ext_0_1,9,2,95,NA,34.299523809523016
EFA,matrix_32_ext_0_1,9,3,80,NA,34.299523809523016
EFA,matrix_32_ext_0_1,9,3,85,NA,34.299523809523016
EFA,matrix_32_ext_0_1,9,3,90,NA,34.299523809523016
EFA,matrix_32_ext_0_1,9,3,95,NA,34.299523809523016
EFA,matrix_32_ext_0_1,9,4,80,NA,57.84619047618912
EFA,matrix_32_ext_0_1,9,4,85,NA,57.84619047618912
EFA,matrix_32_ext_0_1,9,4,90,NA,57.84619047618912
EFA,matrix_32_ext_0_1,9,4,95,NA,57.84619047618912
EFA,matrix_32_ext_0_1,9,5,80,NA,57.84619047618912
EFA,matrix_32_ext_0_1,9,5,85,NA,57.84619047618912
EFA,matrix_32_ext_0_1,9,5,90,NA,57.84619047618912
EFA,matrix_32_ext_0_1,9,5,95,NA,57.84619047618912
EFA,matrix_32_ext_0_1,9,6,80,NA,78.29142857142676
EFA,matrix_32_ext_0_1,9,6,85,NA,78.29142857142676
EFA,matrix_32_ext_0_1,9,6,90,NA,78.29142857142676
EFA,matrix_32_ext_0_1,9,6,95,NA,78.29142857142676
EFA,matrix_32_ext_0_1,9,7,80,NA,78.29142857142676
EFA,matrix_32_ext_0_1,9,7,85,NA,78.29142857142676
EFA,matrix_32_ext_0_1,9,7,90,NA,78.29142857142676
EFA,matrix_32_ext_0_1,9,7,95,NA,78.29142857142676
EFA,matrix_32_ext_0_1,9,8,80,5,95.89523809523601
EFA,matrix_32_ext_0_1,9,8,85,6,95.89523809523601
EFA,matrix_32_ext_0_1,9,8,90,9,95.89523809523601
EFA,matrix_32_ext_0_1,9,8,95,12,95.89523809523601
EFA,matrix_32_ext_0_1,9,9,80,5,95.89523809523601
EFA,matrix_32_ext_0_1,9,9,85,6,95.89523809523601
EFA,matrix_32_ext_0_1,9,9,90,9,95.89523809523601
EFA,matrix_32_ext_0_1,9,9,95,12,95.89523809523601
EFA,matrix_32_ext_0_1,9,10,80,4,99.99999999999775
EFA,matrix_32_ext_0_1,9,10,85,4,99.99999999999775
EFA,matrix_32_ext_0_1,9,10,90,4,99.99999999999775
EFA,matrix_32_ext_0_1,9,10,95,5,99.99999999999775
EFA,matrix_32_ext_0_1,10,0,80,NA,14.350952380952007
EFA,matrix_32_ext_0_1,10,0,85,NA,14.350952380952007
EFA,matrix_32_ext_0_1,10,0,90,NA,14.350952380952007
EFA,matrix_32_ext_0_1,10,0,95,NA,14.350952380952007
EFA,matrix_32_ext_0_1,10,1,80,NA,14.350952380952007
EFA,matrix_32_ext_0_1,10,1,85,NA,14.350952380952007
EFA,matrix_32_ext_0_1,10,1,90,NA,14.350952380952007
EFA,matrix_32_ext_0_1,10,1,95,NA,14.350952380952007
EFA,matrix_32_ext_0_1,10,2,80,NA,31.847619047618224
EFA,matrix_32_ext_0_1,10,2,85,NA,31.847619047618224
EFA,matrix_32_ext_0_1,10,2,90,NA,31.847619047618224
EFA,matrix_32_ext_0_1,10,2,95,NA,31.847619047618224
EFA,matrix_32_ext_0_1,10,3,80,NA,31.847619047618224
EFA,matrix_32_ext_0_1,10,3,85,NA,31.847619047618224
EFA,matrix_32_ext_0_1,10,3,90,NA,31.847619047618224
EFA,matrix_32_ext_0_1,10,3,95,NA,31.847619047618224
EFA,matrix_32_ext_0_1,10,4,80,NA,50.18452380952251
EFA,matrix_32_ext_0_1,10,4,85,NA,50.18452380952251
EFA,matrix_32_ext_0_1,10,4,90,NA,50.18452380952251
EFA,matrix_32_ext_0_1,10,4,95,NA,50.18452380952251
EFA,matrix_32_ext_0_1,10,5,80,NA,50.18452380952251
EFA,matrix_32_ext_0_1,10,5,85,NA,50.18452380952251
EFA,matrix_32_ext_0_1,10,5,90,NA,50.18452380952251
EFA,matrix_32_ext_0_1,10,5,95,NA,50.18452380952251
EFA,matrix_32_ext_0_1,10,6,80,NA,69.33571428571248
EFA,matrix_32_ext_0_1,10,6,85,NA,69.33571428571248
EFA,matrix_32_ext_0_1,10,6,90,NA,69.33571428571248
EFA,matrix_32_ext_0_1,10,6,95,NA,69.33571428571248
EFA,matrix_32_ext_0_1,10,7,80,NA,69.33571428571248
EFA,matrix_32_ext_0_1,10,7,85,NA,69.33571428571248
EFA,matrix_32_ext_0_1,10,7,90,NA,69.33571428571248
EFA,matrix_32_ext_0_1,10,7,95,NA,69.33571428571248
EFA,matrix_32_ext_0_1,10,8,80,7,90.54452380952154
EFA,matrix_32_ext_0_1,10,8,85,9,90.54452380952154
EFA,matrix_32_ext_0_1,10,8,90,12,90.54452380952154
EFA,matrix_32_ext_0_1,10,8,95,NA,90.54452380952154
EFA,matrix_32_ext_0_1,10,9,80,7,90.54452380952154
EFA,matrix_32_ext_0_1,10,9,85,9,90.54452380952154
EFA,matrix_32_ext_0_1,10,9,90,12,90.54452380952154
EFA,matrix_32_ext_0_1,10,9,95,NA,90.54452380952154
EFA,matrix_32_ext_0_1,10,10,80,4,99.64761904761654
EFA,matrix_32_ext_0_1,10,10,85,5,99.64761904761654
EFA,matrix_32_ext_0_1,10,10,90,5,99.64761904761654
EFA,matrix_32_ext_0_1,10,10,95,7,99.64761904761654
EFA,matrix_32_ext_0_1,11,0,80,NA,8.634999999999765
EFA,matrix_32_ext_0_1,11,0,85,NA,8.634999999999765
EFA,matrix_32_ext_0_1,11,0,90,NA,8.634999999999765
EFA,matrix_32_ext_0_1,11,0,95,NA,8.634999999999765
EFA,matrix_32_ext_0_1,11,1,80,NA,8.634999999999765
