d_det,d_hamming,prototype,EFA_EXT,EFA_POS,EFA_RAW,EFA_Z_ABS,KMEANS_EXT,KMEANS_POS,KMEANS_RAW,KMEANS_Z_ABS
8,0,1,9.490476190475992,8.401904761904632,14.940714285714112,5.501666666666538,5.581428571428452,6.461428571428498,4.001428571428521,7.694761904761684
8,0,2,14.865238095237775,11.539047619047436,19.34404761904738,7.783095238095056,9.587142857142652,10.314285714285596,6.843571428571344,8.449523809523567
8,0,3,15.623809523809188,13.362380952380743,20.794047619047358,8.782142857142652,13.524047619047328,14.06880952380936,9.182619047618935,9.160714285714024
8,0,4,16.341428571428217,14.966904761904527,22.106666666666392,9.728095238095012,16.01619047619013,17.140952380952182,11.288333333333194,9.789523809523528
8,0,5,16.836428571428208,16.368571428571173,23.39285714285685,10.656428571428325,17.940952380951995,19.69190476190453,12.955952380952223,10.396904761904464
8,0,6,17.306666666666292,17.5114285714283,24.392857142856837,11.383571428571164,19.565952380951963,21.869999999999745,14.53023809523792,10.97571428571397
8,0,7,17.75523809523771,18.59142857142828,25.378809523809203,12.048809523809245,21.179999999999545,23.85761904761877,15.916904761904572,11.489761904761576
8,0,8,18.202142857142462,19.580238095237792,26.288809523809192,12.577857142856852,22.39166666666619,25.7602380952378,17.261904761904557,11.94190476190442
8,0,9,18.61571428571388,20.402380952380636,27.105238095237752,13.053809523809221,23.25976190476141,27.63142857142825,18.561904761904543,12.391904761904406
8,0,10,19.029047619047205,21.093571428571103,27.85523809523774,13.498095238094924,24.09285714285663,29.299999999999663,19.787142857142623,12.839285714285344
8,0,11,19.396190476190053,21.765238095237756,28.595952380952014,13.903809523809201,24.864523809523277,30.92333333333298,20.968333333333085,13.249285714285332
8,0,12,19.742857142856714,22.35309523809489,29.2364285714282,14.301190476190145,25.552619047618503,32.495714285713916,22.132142857142597,13.595952380951989
8,1,1,9.490476190475992,8.401904761904632,14.940714285714112,5.501666666666538,5.581428571428452,6.461428571428498,4.001428571428521,7.694761904761684
