"cluster","Early.Adopter","Uninterested","Homo.Economicus","Fearful","Stubborn","Influencer","Careful","Activist"
"cluster_1",28.5714285714286,42.8571428571429,80,80,40,12.5,100,60
"cluster_2",28.5714285714286,25,12.5,12.5,0,50,11.1111111111111,0
