"cluster","best_match","pct_match","active_determinants","n_active_dets"
"cluster_1","Activist",0,"",0
"cluster_2","Influencer",33.3333333333333,"KNOWLEDGE; SOCIALISING; FUN; RECOGNITION; TRENDS; AUTHORITY; OWN SIGNIFICANCE",7
"cluster_3","Fearful",60,"CREDIT SCORE; RISK PROFILE; LEGAL; TRUST; SAFETY; COST EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; SELF SATISFACTION; COMMITMENT; ADHERENCE; WELLBEING; RECOGNITION; OWN SIGNIFICANCE",15
"cluster_4","Homo.Economicus",33.3333333333333,"CREDIT SCORE; RISK PROFILE; LEGAL; TRUST; COST EFFICIENCY; KNOWLEDGE; TECHNICAL FIT; SELF SATISFACTION; ADHERENCE; SOCIALISING; FUN; RECOGNITION; TRENDS; AUTHORITY; OWN SIGNIFICANCE",15
"cluster_5","Careful",50,"PROFITS; RISK PROFILE; LEGAL; TRUST; SAFETY; COST EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; SELF SATISFACTION; COMMITMENT; ADHERENCE; AUTARKY; WELLBEING; COZINESS; RIGHTS AND DUTIES",15
"cluster_6","Early.Adopter",14.2857142857143,"PROFITS; CREDIT SCORE; COST EFFICIENCY; SELF SATISFACTION; SUPPORT; SOCIALISING; RECOGNITION; TRENDS; AUTHORITY; OWN SIGNIFICANCE",10
