etapa,determinant,n,mean,median,sd,min,max
General,Beneficio económico,579,59.687392055267765,64,26.606072165181175,0,100
General,Acceso a financiación,559,66.54025044722718,70,25.130727894849716,0,100
General,Perfil de riesgo,553,66.03435804701631,70,21.699794094941893,0,100
General,Valor añadido,569,61.16168717047453,64,21.196561838377534,0,100
General,Frugalidad,557,59.31597845601436,64,24.32478041157775,0,100
General,Protección climática,222,67.82432432432432,71,21.41109669677364,0,100
General,Cumplimiento legal,220,77.0909090909091,80,20.776939031455335,10,100
General,Confianza,220,74.9590909090909,79,20.302127991820562,0,100
General,Seguridad,218,74.93119266055047,77,20.912586103999203,0,100
General,Eficiencia de costes,207,69.81159420289856,72,20.107919052234816,0,100
General,Conocimiento,208,80.67307692307693,82.5,17.27019845682196,0,100
General,Competencia propia,196,63.54591836734694,70,24.23904317468145,0,100
General,Adecuación técnica,215,77.06511627906977,79,16.134523322994323,22,100
General,Preocupación ambiental,216,72.86111111111113,76,18.344485684770767,5,100
General,Satisfacción personal,302,73.3543046357616,75,17.458549810193144,0,100
General,Compromiso,311,73.31511254019294,74,16.57467159904914,25,100
General,Adherencia,302,74.41721854304636,75,16.526373814011713,0,100
General,Autosuficiencia,304,65.35526315789474,70,23.43431460317579,0,100
General,Bienestar,213,76.46009389671362,77,18.4417633603785,0,100
General,Confort,199,68.47738693467338,70,20.64804246856996,0,100
General,Derechos y deberes,72,70.06944444444443,74,22.13296972805018,15,100
General,Presión social,78,47.65384615384615,54.5,28.641458881020128,0,100
General,Apoyo social,73,62.986301369863014,66,24.698455389561044,0,100
General,Socialización,69,42.10144927536232,47,28.3368108793119,0,95
General,Acuerdo,74,72.12162162162163,77,22.047863688455884,8,100
General,Novedad,105,50.6,55,23.90912281632587,0,95
General,Diversión,99,37.25252525252526,36,26.476922348101887,0,100
General,Reconocimiento,109,21.862385321100906,20,21.183269031246166,0,86
General,Tendencias,33,39.90909090909091,35,24.73277637615169,6,79
General,Autoridad,34,43.705882352941174,35,24.022122899356763,6,100
General,Aprobación,382,20.837696335078533,17,21.656222225572918,0,100
General,Significado personal,373,63.52815013404827,67,22.52256660585187,0,100
Implementada,Beneficio económico,193,61.683937823834206,66,26.262667598946994,0,100
Implementada,Acceso a financiación,185,66.78378378378378,71,25.524641903478734,0,100
Implementada,Perfil de riesgo,183,67.15300546448086,70,21.369295504721293,0,100
Implementada,Valor añadido,190,60.59473684210527,62.5,21.596809819388287,0,100
Implementada,Frugalidad,186,60.75806451612904,66,24.53041277329526,0,100
Implementada,Protección climática,58,65.06896551724138,67.5,23.134892057021098,0,100
Implementada,Cumplimiento legal,58,77.94827586206897,80,19.776312619769286,10,100
Implementada,Confianza,61,74.14754098360656,79,23.169546151197245,0,100
Implementada,Seguridad,60,75.55,80,21.563799702907627,5,100
Implementada,Eficiencia de costes,68,72.10294117647058,74,16.495263640319674,27,100
Implementada,Conocimiento,68,81.61764705882354,83.5,19.567738764384234,0,100
Implementada,Competencia propia,62,65.87096774193549,70,23.850960643929767,0,100
Implementada,Adecuación técnica,68,76.91176470588235,77,17.207890670182234,22,100
Implementada,Preocupación ambiental,69,70.07246376811594,75,21.194005007368105,5,100
Implementada,Satisfacción personal,113,72.19469026548673,74,17.816955411248635,0,100
Implementada,Compromiso,114,73.36842105263159,74,16.158651020261473,25,100
Implementada,Adherencia,111,72.61261261261261,75,18.75011329477101,0,100
Implementada,Autosuficiencia,115,66.84347826086956,71,22.604762463719677,0,100
Implementada,Bienestar,95,77.62105263157895,79,17.856507811456435,0,100
Implementada,Confort,88,70.39772727272727,73,21.118461593181827,0,100
Implementada,Derechos y deberes,27,73.85185185185185,76,20.946275056592732,25,100
Implementada,Presión social,28,45.142857142857146,52,31.28567804593103,0,100
Implementada,Apoyo social,28,68.10714285714286,70.5,23.287795700139345,0,100
Implementada,Socialización,25,39.2,35,29.37686164313676,0,95
Implementada,Acuerdo,27,66.92592592592592,75,27.041173628839992,8,100
