etapa,determinant,n,mean,median,sd,min,max
Implementada,Novedad,38,55.23684210526316,59,19.699683370382232,20,95
Implementada,Diversión,37,44.45945945945947,40,27.23110414641744,0,91
Implementada,Reconocimiento,39,25.051282051282055,20,22.764178598413316,0,86
Implementada,Tendencias,13,37.38461538461539,29,27.52132040660616,6,79
Implementada,Autoridad,15,51.13333333333333,39,29.026752848921646,6,100
Implementada,Aprobación,150,20.593333333333334,17,21.137484331108915,0,86
Implementada,Significado personal,146,65.5068493150685,67,20.910728668628447,0,100
La conoce / la consideraría,Beneficio económico,220,58.077272727272735,62.5,27.08853119326305,0,100
La conoce / la consideraría,Acceso a financiación,214,65.53271028037382,70,25.10141598871811,0,100
La conoce / la consideraría,Perfil de riesgo,212,63.72641509433963,66.5,22.017241420962925,5,100
La conoce / la consideraría,Valor añadido,218,62.78440366972476,65,20.38374555430073,0,100
La conoce / la consideraría,Frugalidad,211,58.63507109004738,62,23.607393966210566,0,100
La conoce / la consideraría,Protección climática,92,70.21739130434783,74.5,19.91676420547843,10,100
La conoce / la consideraría,Cumplimiento legal,91,76.18681318681318,80,21.90124912110524,10,100
La conoce / la consideraría,Confianza,89,76.10112359550561,79,17.95198453439583,15,100
La conoce / la consideraría,Seguridad,87,77.05747126436782,80,18.555608643636372,0,100
La conoce / la consideraría,Eficiencia de costes,72,68.20833333333334,70,22.571911686498748,0,100
La conoce / la consideraría,Conocimiento,73,78.56164383561644,80,16.853936484929918,25,100
La conoce / la consideraría,Competencia propia,71,62.4225352112676,70,24.6997177380234,0,100
La conoce / la consideraría,Adecuación técnica,77,77.57142857142857,80,14.832777157211279,22,100
La conoce / la consideraría,Preocupación ambiental,76,75.3157894736842,77,15.22997966846162,30,100
La conoce / la consideraría,Satisfacción personal,104,74.625,75,16.217087655890467,24,100
La conoce / la consideraría,Compromiso,108,73.89814814814815,74,16.457217156572817,25,100
La conoce / la consideraría,Adherencia,104,75.3173076923077,75,15.19661716513348,32,100
La conoce / la consideraría,Autosuficiencia,104,64.6923076923077,71,24.481051488886127,0,100
La conoce / la consideraría,Bienestar,72,75.65277777777777,76,18.056374725609004,10,100
La conoce / la consideraría,Confort,66,67.51515151515152,69.5,18.559047077860125,10,100
La conoce / la consideraría,Derechos y deberes,25,65.56,71,23.169807940507404,15,100
La conoce / la consideraría,Presión social,27,46.74074074074074,52,28.485613902989687,0,100
La conoce / la consideraría,Apoyo social,25,55.8,62,27.73084924772409,0,100
La conoce / la consideraría,Socialización,25,46.36,50,30.14807898799966,0,92
La conoce / la consideraría,Acuerdo,26,72.15384615384616,76,19.60549373556771,26,100
La conoce / la consideraría,Novedad,44,49.22727272727273,55.5,26.5985343505673,0,95
La conoce / la consideraría,Diversión,40,33.65,32.5,26.21073375742396,0,100
La conoce / la consideraría,Reconocimiento,47,22.25531914893617,23,19.70485272950757,0,75
La conoce / la consideraría,Tendencias,11,40.81818181818182,38,25.289595417159923,8,75
La conoce / la consideraría,Autoridad,10,36.9,28,21.262643297577092,18,70
La conoce / la consideraría,Aprobación,132,19.333333333333332,16,20.5012256817227,0,88
La conoce / la consideraría,Significado personal,129,63.201550387596896,70,23.579778096443555,0,100
"No la conoce, pero le genera curiosidad",Beneficio económico,166,59.5,63.5,26.363829675362325,0,100
"No la conoce, pero le genera curiosidad",Acceso a financiación,160,67.60625000000002,71,24.815317058055594,0,100
"No la conoce, pero le genera curiosidad",Perfil de riesgo,158,67.83544303797467,70,21.51310095871332,8,100
"No la conoce, pero le genera curiosidad",Valor añadido,161,59.63354037267081,60,21.776044590614294,0,100
"No la conoce, pero le genera curiosidad",Frugalidad,160,58.53749999999999,62.5,25.08398158338247,0,100
"No la conoce, pero le genera curiosidad",Protección climática,72,66.98611111111111,70.5,21.783501351766432,15,100
"No la conoce, pero le genera curiosidad",Cumplimiento legal,71,77.54929577464789,80,20.334199715464845,10,100
"No la conoce, pero le genera curiosidad",Confianza,70,74.21428571428571,77.5,20.677575094803604,0,100
"No la conoce, pero le genera curiosidad",Seguridad,71,71.80281690140845,75,22.91139436943353,0,100
"No la conoce, pero le genera curiosidad",Eficiencia de costes,67,69.2089552238806,72,20.714902638345816,0,100
"No la conoce, pero le genera curiosidad",Conocimiento,67,82.01492537313433,85,15.13924514481989,37,100
"No la conoce, pero le genera curiosidad",Competencia propia,63,62.523809523809526,71,24.3203466807694,0,100
"No la conoce, pero le genera curiosidad",Adecuación técnica,70,76.65714285714286,79,16.644523592805832,25,100
"No la conoce, pero le genera curiosidad",Preocupación ambiental,71,72.94366197183099,75,18.289643692494128,30,100
"No la conoce, pero le genera curiosidad",Satisfacción personal,85,73.34117647058824,75,18.510970325970586,25,100
"No la conoce, pero le genera curiosidad",Compromiso,89,72.53932584269663,73,17.38210690478684,25,100
"No la conoce, pero le genera curiosidad",Adherencia,87,75.643678160919535,76,14.931609215207867,32,100
"No la conoce, pero le genera curiosidad",Autosuficiencia,85,64.15294117647059,69,23.399484061443246,0,100
"No la conoce, pero le genera curiosidad",Bienestar,46,75.32608695652173,76.5,20.410296255486223,14,100
"No la conoce, pero le genera curiosidad",Confort,45,66.13333333333334,70,22.660137205714754,10,100
"No la conoce, pero le genera curiosidad",Derechos y deberes,20,70.6,76,22.464943449973923,34,100
"No la conoce, pero le genera curiosidad",Presión social,23,51.78260869565217,64,26.155056041265503,10,100
"No la conoce, pero le genera curiosidad",Apoyo social,20,64.8,65,21.4368104461756,25,100
"No la conoce, pero le genera curiosidad",Socialización,19,40.31578947368421,35,25.11319403460824,0,95
"No la conoce, pero le genera curiosidad",Acuerdo,21,78.76190476190476,80,16.139717351629063,50,100
"No la conoce, pero le genera curiosidad",Novedad,23,45.56521739130435,42,24.48343797708699,0,90
"No la conoce, pero le genera curiosidad",Diversión,22,31.68181818181818,25,23.992829015267127,0,72
"No la conoce, pero le genera curiosidad",Reconocimiento,23,15.652173913043478,10,20.91021650175334,0,85
"No la conoce, pero le genera curiosidad",Tendencias,9,42.44444444444444,38,22.192966853888144,9,73
"No la conoce, pero le genera curiosidad",Autoridad,9,38.888888888888886,33,14.48658383163923,23,63
"No la conoce, pero le genera curiosidad",Aprobación,100,23.19,20,23.824567152416435,0,100
"No la conoce, pero le genera curiosidad",Significado personal,98,61.01020408163265,65,23.35847708015899,0,100
