stage,dimension,determinant,n,mean,median,sd,min,max
General,Financial security,Economic profit,579,59.687392055267765,64,26.606072165181175,0,100
General,Financial security,Access to funding,559,66.54025044722718,70,25.130727894849716,0,100
General,Financial security,Risk profile,553,66.03435804701631,70,21.699794094941893,0,100
General,Financial security,Added value,569,61.16168717047453,64,21.196561838377534,0,100
General,Financial security,Frugality,557,59.31597845601436,64,24.32478041157775,0,100
General,Security,Climate protection,222,67.82432432432432,71,21.41109669677364,0,100
General,Security,Legal compliance,220,77.0909090909091,80,20.776939031455335,10,100
General,Security,Trust,220,74.9590909090909,79,20.302127991820562,0,100
General,Security,Safety,218,74.93119266055047,77,20.912586103999203,0,100
General,Competence,Cost efficiency,207,69.81159420289856,72,20.107919052234816,0,100
General,Competence,Knowledge,208,80.67307692307693,82.5,17.27019845682196,0,100
General,Competence,Own competence,196,63.54591836734694,70,24.23904317468145,0,100
General,Competence,Technical fit,215,77.06511627906977,79,16.134523322994323,22,100
General,Competence,Environmental concern,216,72.86111111111113,76,18.344485684770767,5,100
General,Autonomy,Self-satisfaction,302,73.3543046357616,75,17.458549810193144,0,100
General,Autonomy,Commitment,311,73.31511254019294,74,16.57467159904914,25,100
General,Autonomy,Adherence,302,74.41721854304636,75,16.526373814011713,0,100
General,Autonomy,Self-sufficiency,304,65.35526315789474,70,23.43431460317579,0,100
General,Materiality,Wellbeing,213,76.46009389671362,77,18.4417633603785,0,100
General,Materiality,Comfort,199,68.47738693467338,70,20.64804246856996,0,100
General,Relatedness,Rights and duties,72,70.06944444444443,74,22.13296972805018,15,100
General,Relatedness,Peer pressure,78,47.65384615384615,54.5,28.641458881020128,0,100
General,Relatedness,Social support,73,62.986301369863014,66,24.698455389561044,0,100
General,Relatedness,Socialising,69,42.10144927536232,47,28.3368108793119,0,95
General,Relatedness,Agreement,74,72.12162162162163,77,22.047863688455884,8,100
General,Stimulation,Novelty,105,50.6,55,23.90912281632587,0,95
General,Stimulation,Fun,99,37.25252525252526,36,26.476922348101887,0,100
General,Stimulation,Recognition,109,21.862385321100906,20,21.183269031246166,0,86
General,Popularity,Trends,33,39.90909090909091,35,24.73277637615169,6,79
General,Popularity,Authority,34,43.705882352941174,35,24.022122899356763,6,100
General,Meaning,Approval,382,20.837696335078533,17,21.656222225572918,0,100
General,Meaning,Personal significance,373,63.52815013404827,67,22.52256660585187,0,100
Implemented,Financial security,Economic profit,193,61.683937823834206,66,26.262667598946994,0,100
Implemented,Financial security,Access to funding,185,66.78378378378378,71,25.524641903478734,0,100
Implemented,Financial security,Risk profile,183,67.15300546448086,70,21.369295504721293,0,100
Implemented,Financial security,Added value,190,60.59473684210527,62.5,21.596809819388287,0,100
Implemented,Financial security,Frugality,186,60.75806451612904,66,24.53041277329526,0,100
Implemented,Security,Climate protection,58,65.06896551724138,67.5,23.134892057021098,0,100
Implemented,Security,Legal compliance,58,77.94827586206897,80,19.776312619769286,10,100
Implemented,Security,Trust,61,74.14754098360656,79,23.169546151197245,0,100
Implemented,Security,Safety,60,75.55,80,21.563799702907627,5,100
Implemented,Competence,Cost efficiency,68,72.10294117647058,74,16.495263640319674,27,100
Implemented,Competence,Knowledge,68,81.61764705882354,83.5,19.567738764384234,0,100
Implemented,Competence,Own competence,62,65.87096774193549,70,23.850960643929767,0,100
Implemented,Competence,Technical fit,68,76.91176470588235,77,17.207890670182234,22,100
Implemented,Competence,Environmental concern,69,70.07246376811594,75,21.194005007368105,5,100
Implemented,Autonomy,Self-satisfaction,113,72.19469026548673,74,17.816955411248635,0,100
Implemented,Autonomy,Commitment,114,73.36842105263159,74,16.158651020261473,25,100
Implemented,Autonomy,Adherence,111,72.61261261261261,75,18.75011329477101,0,100
Implemented,Autonomy,Self-sufficiency,115,66.84347826086956,71,22.604762463719677,0,100
Implemented,Materiality,Wellbeing,95,77.62105263157895,79,17.856507811456435,0,100
Implemented,Materiality,Comfort,88,70.39772727272727,73,21.118461593181827,0,100
Implemented,Relatedness,Rights and duties,27,73.85185185185185,76,20.946275056592732,25,100
Implemented,Relatedness,Peer pressure,28,45.142857142857146,52,31.28567804593103,0,100
Implemented,Relatedness,Social support,28,68.10714285714286,70.5,23.287795700139345,0,100
Implemented,Relatedness,Socialising,25,39.2,35,29.37686164313676,0,95
Implemented,Relatedness,Agreement,27,66.92592592592592,75,27.041173628839992,8,100
Implemented,Stimulation,Novelty,38,55.23684210526316,59,19.699683370382232,20,95
Implemented,Stimulation,Fun,37,44.45945945945947,40,27.23110414641744,0,91
Implemented,Stimulation,Recognition,39,25.051282051282055,20,22.764178598413316,0,86
Implemented,Popularity,Trends,13,37.38461538461539,29,27.52132040660616,6,79
Implemented,Popularity,Authority,15,51.13333333333333,39,29.026752848921646,6,100
Implemented,Meaning,Approval,150,20.593333333333334,17,21.137484331108915,0,86
Implemented,Meaning,Personal significance,146,65.5068493150685,67,20.910728668628447,0,100
Aware / would consider,Financial security,Economic profit,220,58.077272727272735,62.5,27.08853119326305,0,100
Aware / would consider,Financial security,Access to funding,214,65.53271028037382,70,25.10141598871811,0,100
Aware / would consider,Financial security,Risk profile,212,63.72641509433963,66.5,22.017241420962925,5,100
Aware / would consider,Financial security,Added value,218,62.78440366972476,65,20.38374555430073,0,100
Aware / would consider,Financial security,Frugality,211,58.63507109004738,62,23.607393966210566,0,100
Aware / would consider,Security,Climate protection,92,70.21739130434783,74.5,19.91676420547843,10,100
Aware / would consider,Security,Legal compliance,91,76.18681318681318,80,21.90124912110524,10,100
Aware / would consider,Security,Trust,89,76.10112359550561,79,17.95198453439583,15,100
Aware / would consider,Security,Safety,87,77.05747126436782,80,18.555608643636372,0,100
Aware / would consider,Competence,Cost efficiency,72,68.20833333333334,70,22.571911686498748,0,100
Aware / would consider,Competence,Knowledge,73,78.56164383561644,80,16.853936484929918,25,100
Aware / would consider,Competence,Own competence,71,62.4225352112676,70,24.6997177380234,0,100
Aware / would consider,Competence,Technical fit,77,77.57142857142857,80,14.832777157211279,22,100
Aware / would consider,Competence,Environmental concern,76,75.3157894736842,77,15.22997966846162,30,100
Aware / would consider,Autonomy,Self-satisfaction,104,74.625,75,16.217087655890467,24,100
Aware / would consider,Autonomy,Commitment,108,73.89814814814815,74,16.457217156572817,25,100
Aware / would consider,Autonomy,Adherence,104,75.3173076923077,75,15.19661716513348,32,100
Aware / would consider,Autonomy,Self-sufficiency,104,64.6923076923077,71,24.481051488886127,0,100
Aware / would consider,Materiality,Wellbeing,72,75.65277777777777,76,18.056374725609004,10,100
Aware / would consider,Materiality,Comfort,66,67.51515151515152,69.5,18.559047077860125,10,100
Aware / would consider,Relatedness,Rights and duties,25,65.56,71,23.169807940507404,15,100
Aware / would consider,Relatedness,Peer pressure,27,46.74074074074074,52,28.485613902989687,0,100
Aware / would consider,Relatedness,Social support,25,55.8,62,27.73084924772409,0,100
Aware / would consider,Relatedness,Socialising,25,46.36,50,30.14807898799966,0,92
Aware / would consider,Relatedness,Agreement,26,72.15384615384616,76,19.60549373556771,26,100
Aware / would consider,Stimulation,Novelty,44,49.22727272727273,55.5,26.5985343505673,0,95
Aware / would consider,Stimulation,Fun,40,33.65,32.5,26.21073375742396,0,100
Aware / would consider,Stimulation,Recognition,47,22.25531914893617,23,19.70485272950757,0,75
Aware / would consider,Popularity,Trends,11,40.81818181818182,38,25.289595417159923,8,75
Aware / would consider,Popularity,Authority,10,36.9,28,21.262643297577092,18,70
Aware / would consider,Meaning,Approval,132,19.333333333333332,16,20.5012256817227,0,88
Aware / would consider,Meaning,Personal significance,129,63.201550387596896,70,23.579778096443555,0,100
Unaware but curious,Financial security,Economic profit,166,59.5,63.5,26.363829675362325,0,100
Unaware but curious,Financial security,Access to funding,160,67.60625000000002,71,24.815317058055594,0,100
Unaware but curious,Financial security,Risk profile,158,67.83544303797467,70,21.51310095871332,8,100
Unaware but curious,Financial security,Added value,161,59.63354037267081,60,21.776044590614294,0,100
Unaware but curious,Financial security,Frugality,160,58.53749999999999,62.5,25.08398158338247,0,100
Unaware but curious,Security,Climate protection,72,66.98611111111111,70.5,21.783501351766432,15,100
Unaware but curious,Security,Legal compliance,71,77.54929577464789,80,20.334199715464845,10,100
Unaware but curious,Security,Trust,70,74.21428571428571,77.5,20.677575094803604,0,100
Unaware but curious,Security,Safety,71,71.80281690140845,75,22.91139436943353,0,100
Unaware but curious,Competence,Cost efficiency,67,69.2089552238806,72,20.714902638345816,0,100
Unaware but curious,Competence,Knowledge,67,82.01492537313433,85,15.13924514481989,37,100
Unaware but curious,Competence,Own competence,63,62.523809523809526,71,24.3203466807694,0,100
Unaware but curious,Competence,Technical fit,70,76.65714285714286,79,16.644523592805832,25,100
Unaware but curious,Competence,Environmental concern,71,72.94366197183099,75,18.289643692494128,30,100
