d_det,d_hamming,coverage_threshold,equal_candidate,equal_element,both_not_reached,same_result,difference_candidate_minus_element,abs_difference
10,10,80,2,2,FALSE,TRUE,0,0
10,10,85,2,2,FALSE,TRUE,0,0
10,10,90,2,2,FALSE,TRUE,0,0
11,0,80,NA,NA,TRUE,TRUE,NA,NA
11,0,85,NA,NA,TRUE,TRUE,NA,NA
11,0,90,NA,NA,TRUE,TRUE,NA,NA
11,2,80,NA,NA,TRUE,TRUE,NA,NA
11,2,85,NA,NA,TRUE,TRUE,NA,NA
11,2,90,NA,NA,TRUE,TRUE,NA,NA
11,4,80,6,7,FALSE,FALSE,-1,1
11,4,85,7,8,FALSE,FALSE,-1,1
11,4,90,10,12,FALSE,FALSE,-2,2
11,6,80,4,4,FALSE,TRUE,0,0
11,6,85,4,5,FALSE,FALSE,-1,1
11,6,90,5,5,FALSE,TRUE,0,0
11,8,80,2,2,FALSE,TRUE,0,0
11,8,85,2,2,FALSE,TRUE,0,0
11,8,90,2,3,FALSE,FALSE,-1,1
11,10,80,2,2,FALSE,TRUE,0,0
11,10,85,2,2,FALSE,TRUE,0,0
11,10,90,2,2,FALSE,TRUE,0,0
12,0,80,NA,NA,TRUE,TRUE,NA,NA
12,0,85,NA,NA,TRUE,TRUE,NA,NA
12,0,90,NA,NA,TRUE,TRUE,NA,NA
12,2,80,NA,NA,TRUE,TRUE,NA,NA
12,2,85,NA,NA,TRUE,TRUE,NA,NA
12,2,90,NA,NA,TRUE,TRUE,NA,NA
12,4,80,8,8,FALSE,TRUE,0,0
12,4,85,9,10,FALSE,FALSE,-1,1
12,4,90,11,12,FALSE,FALSE,-1,1
12,6,80,4,4,FALSE,TRUE,0,0
12,6,85,4,5,FALSE,FALSE,-1,1
12,6,90,4,6,FALSE,FALSE,-2,2
12,8,80,2,2,FALSE,TRUE,0,0
12,8,85,2,3,FALSE,FALSE,-1,1
12,8,90,2,3,FALSE,FALSE,-1,1
12,10,80,2,2,FALSE,TRUE,0,0
12,10,85,2,2,FALSE,TRUE,0,0
12,10,90,2,2,FALSE,TRUE,0,0
13,0,80,NA,NA,TRUE,TRUE,NA,NA
13,0,85,NA,NA,TRUE,TRUE,NA,NA
13,0,90,NA,NA,TRUE,TRUE,NA,NA
13,2,80,NA,NA,TRUE,TRUE,NA,NA
13,2,85,NA,NA,TRUE,TRUE,NA,NA
13,2,90,NA,NA,TRUE,TRUE,NA,NA
13,4,80,7,8,FALSE,FALSE,-1,1
13,4,85,9,10,FALSE,FALSE,-1,1
