d_det,d_hamming,min_common_determinants,min_common_pct
8,4,6,75
9,4,7,77.77777777777777
10,4,8,80
11,4,9,81.81818181818181
12,6,9,75
13,6,10,76.92307692307692
14,6,11,78.57142857142857
15,6,12,80
