analysis_sample,matrix_name,n_factors,n_runs,n_ok,n_warning,n_error,mean_n_rows_used,mean_n_unique_participants,mean_RMSR,sd_RMSR,mean_TLI,sd_TLI,mean_RMSEA,sd_RMSEA,mean_BIC,sd_BIC,mean_abs_factor_correlation,sd_abs_factor_correlation,mean_factor_distance,sd_factor_distance,matrix
COMPLETE,matrix_32_ext_0_1,2,100,100,0,0,1608,1013.29,0.02795483927905103,7.883809703945122e-4,0.8342823848611134,0.01014965242007026,0.04549663438172932,0.00135584872172301,-1320.965297887639,85.89818514462448,0.42715751913328,NA,0.5728424808667201,NA,EXT
COMPLETE,matrix_32_ext_0_1,3,100,100,0,0,1608,1013.29,0.02273721963704503,7.056976461625462e-4,0.8746791711891925,0.00946565355916575,0.0395432593487826,0.0014199457242579,-1557.4072581517648,72.82443332903375,0.36373525741141216,NA,0.6362647425885878,NA,EXT
COMPLETE,matrix_32_ext_0_1,4,100,100,0,0,1608,1013.29,0.01960824375669905,5.952740461064349e-4,0.896505917523452,0.00838420914765862,0.03592419272059954,0.0014428003570626,-1609.5500421404772,62.45643676601717,0.2952989923953863,NA,0.7047010076046137,NA,EXT
COMPLETE,matrix_32_ext_0_1,5,100,100,0,0,1608,1013.29,0.01746136013484309,5.419594006912967e-4,0.911584410591998,0.00793780052024518,0.03318954774136212,0.00147206203814277,-1594.1563999586783,54.299473803082506,0.29296926697590714,NA,0.7070307330240929,NA,EXT
COMPLETE,matrix_32_ext_0_1,6,100,100,0,0,1608,1013.29,0.01583929548487675,5.022178843663448e-4,0.9212573886396334,0.00781732201584312,0.03130592834116273,0.0015417367059755,-1531.9662145807222,49.07496081429918,0.26779157979824175,NA,0.7322084202017582,NA,EXT
COMPLETE,matrix_32_ext_0_1,7,100,100,0,0,1608,1013.29,0.01437310723573104,4.6763583737723975e-4,0.9303509507789895,0.00739019469945167,0.02943222830101626,0.00159025241580072,-1460.6514734392504,43.83964780766209,0.249829470374063,NA,0.750170529625937,NA,EXT
COMPLETE,matrix_32_ext_0_1,8,100,100,0,0,1608,1013.29,0.01305950411286697,4.397036952382672e-4,0.9380427038957886,0.00725657575227464,0.02774681835394917,0.00171354987026239,-1377.378849389792,40.5912466963572,0.23601984862732325,NA,0.7639801513726767,NA,EXT
COMPLETE,matrix_32_pos_0_1,2,100,100,0,0,1608,1013.29,0.04148594695320392,0.00109697374714347,0.6788652730156166,0.01448055223744556,0.06767447520596047,0.00144693039217745,426.7573140111497,136.37600093957394,0.24184702112852216,NA,0.7581529788714778,NA,POS
COMPLETE,matrix_32_pos_0_1,3,100,100,0,0,1608,1013.29,0.02918456594294979,8.760543324124859e-4,0.782433879071667,0.01286381809176918,0.05567895757726331,0.00158841188576164,-561.4081760697925,114.60932053504416,0.18860858535612143,NA,0.8113914146438785,NA,POS
COMPLETE,matrix_32_pos_0_1,4,100,100,0,0,1608,1013.29,0.02509352998431851,7.47022549722229e-4,0.8191537367095779,0.01205118401200791,0.05074688374865496,0.00166945815082201,-836.5225989586689,101.93615507377989,0.2230655010673089,NA,0.7769344989326911,NA,POS
COMPLETE,matrix_32_pos_0_1,5,100,100,0,0,1608,1013.29,0.02122008244297097,7.103104411436829e-4,0.8529185160035517,0.01144359689663741,0.04574316419122261,0.00171691322713132,-1042.4262796617518,87.05608899162692,0.21467803392370216,NA,0.7853219660762978,NA,POS
COMPLETE,matrix_32_pos_0_1,6,100,100,0,0,1608,1013.29,0.01835649877935533,7.121480939702987e-4,0.8809438333893921,0.01128860313525862,0.04112757070218737,0.00190022250853713,-1166.4173954079895,79.41764880254422,0.22463478990605384,NA,0.7753652100939462,NA,POS
COMPLETE,matrix_32_pos_0_1,7,100,100,0,0,1608,1013.29,0.01632295549610028,6.42811841694956e-4,0.8955743612602289,0.0107897731400854,0.03849954407149233,0.00194275391441974,-1169.865275532273,69.76886823294603,0.206314260246802,NA,0.793685739753198,NA,POS
COMPLETE,matrix_32_pos_0_1,8,100,100,0,0,1608,1013.29,0.01458200214819171,5.932591001190508e-4,0.9081440190587254,0.01037476809203869,0.03608966575516886,0.00195908429882639,-1147.4828149432187,60.8833345914472,0.19628691907106305,NA,0.8037130809289369,NA,POS
COMPLETE,matrix_32_raw_0_1,2,100,100,0,0,1608,1013.29,0.04674410700843055,0.00131664044705368,0.6365193335780738,0.01506940877350418,0.07408727298686493,0.00158306155459531,1060.007873374258,163.08615197502448,0.05022453720546488,NA,0.9497754627945352,NA,RAW
COMPLETE,matrix_32_raw_0_1,3,100,100,0,0,1608,1013.29,0.03194677376282818,0.00101854121356448,0.7594587126232784,0.01369278843372144,0.06024265840880578,0.001702590624714,-218.34195043970865,132.839752242698,0.1022499834452878,NA,0.8977500165547122,NA,RAW
COMPLETE,matrix_32_raw_0_1,4,100,100,0,0,1608,1013.29,0.02664519841155142,9.067529293708372e-4,0.8026219365099396,0.01352052268896898,0.05454610891351196,0.00178132330065747,-595.7168531206576,117.00951515479366,0.13138971225822088,NA,0.8686102877417792,NA,RAW
COMPLETE,matrix_32_raw_0_1,5,100,100,0,0,1608,1013.29,0.02153046799465963,7.797174212175551e-4,0.8502874233996282,0.01158212404342235,0.04748585526829266,0.00174734300309967,-951.9754515767504,92.3754140520778,0.15079278070796742,NA,0.8492072192920326,NA,RAW
COMPLETE,matrix_32_raw_0_1,6,100,100,0,0,1608,1013.29,0.01806333305833551,6.674616078605036e-4,0.8860276020953455,0.0103253183054394,0.04141012197700478,0.00182071556233627,-1154.605009402317,77.21150971664225,0.17419032693086986,NA,0.8258096730691301,NA,RAW
COMPLETE,matrix_32_raw_0_1,7,100,100,0,0,1608,1013.29,0.01596614211276207,5.867528466216023e-4,0.9021970459304224,0.00988638268930622,0.0383414201759554,0.00190137077978251,-1175.6640610968711,68.31387186239444,0.1673963506022184,NA,0.8326036493977816,NA,RAW
COMPLETE,matrix_32_raw_0_1,8,100,100,0,0,1608,1013.29,0.01415237249461305,5.458476477945596e-4,0.9152372789358972,0.0092770214489049,0.03567649973095528,0.00189357187538574,-1160.3685637700778,58.10220673785511,0.16252383493549874,NA,0.8374761650645013,NA,RAW
COMPLETE,matrix_32_z_abs,2,100,100,0,0,1608,1013.29,0.02736024191022428,7.607456288107663e-4,0.8081334365156646,0.01295579080306382,0.0424452949685446,0.00154055935220095,-1507.4324752852228,91.0617449942608,0.5522476796970313,NA,0.44775232030296874,NA,Z_ABS
COMPLETE,matrix_32_z_abs,3,100,100,0,0,1608,1013.29,0.02255444139444563,7.24946323530584e-4,0.856907176473557,0.0128009730775779,0.03662982513944736,0.00169625835801035,-1700.6677603880837,80.31616259488297,0.4022558574726851,NA,0.5977441425273149,NA,Z_ABS
COMPLETE,matrix_32_z_abs,4,100,100,0,0,1608,1013.29,0.02042807815472463,6.474730676476003e-4,0.8730223877371269,0.01217829443231605,0.03449278821796524,0.00172986935084199,-1669.6252036517096,71.43512438899555,0.3719118242999151,NA,0.6280881757000848,NA,Z_ABS
COMPLETE,matrix_32_z_abs,5,100,100,0,0,1608,1013.29,0.0185815413325624,6.612845490370322e-4,0.8858755459458707,0.0124956845169142,0.03268079944982071,0.00185654412025741,-1612.096171806753,67.18100278479618,0.32309769354430784,NA,0.6769023064556922,NA,Z_ABS
COMPLETE,matrix_32_z_abs,6,100,100,0,0,1608,1013.29,0.01693746036124813,6.348851729477402e-4,0.897187022190856,0.01239297559745223,0.03100185142693706,0.00193146287614996,-1540.9973996345198,61.29470196992776,0.2902538731969574,NA,0.7097461268030426,NA,Z_ABS
COMPLETE,matrix_32_z_abs,7,100,100,0,0,1608,1013.29,0.01544514118001428,5.872845733765828e-4,0.9073002282990876,0.01213581993077767,0.02942172495854194,0.00198234657170537,-1460.289340850805,55.21592144238048,0.2676899752805015,NA,0.7323100247194985,NA,Z_ABS
COMPLETE,matrix_32_z_abs,8,100,100,0,0,1608,1013.29,0.01406400132489413,5.646061547609184e-4,0.917294573122469,0.01203292009753262,0.02776957836149751,0.0020568261713246,-1376.2821436490913,49.74538564950608,0.2451547036076451,NA,0.7548452963923549,NA,Z_ABS
