analysis_sample,matrix_name,matrix,k,mean_smallest_cluster_share,min_observed_cluster_n
LATAM,matrix_32_z_abs,Z_ABS,4,0.11360197368421052,6
LATAM,matrix_32_z_abs,Z_ABS,5,0.07564144736842104,4
LATAM,matrix_32_z_abs,Z_ABS,6,0.06087171052631579,3
LATAM,matrix_32_z_abs,Z_ABS,7,0.03840460526315789,3
LATAM,matrix_32_z_abs,Z_ABS,8,0.03208881578947369,3
DIEGO,matrix_32_ext_0_1,EXT,2,0.4765738774256239,87
DIEGO,matrix_32_ext_0_1,EXT,3,0.3100992202159363,55
DIEGO,matrix_32_ext_0_1,EXT,4,0.23385641165952575,37
DIEGO,matrix_32_ext_0_1,EXT,5,0.18378502487336087,32
DIEGO,matrix_32_ext_0_1,EXT,6,0.1517669051440533,22
DIEGO,matrix_32_ext_0_1,EXT,7,0.12713357826906682,14
DIEGO,matrix_32_ext_0_1,EXT,8,0.11355846679147688,16
DIEGO,matrix_32_pos_0_1,POS,2,0.4283393023791904,77
DIEGO,matrix_32_pos_0_1,POS,3,0.26868856695210974,44
DIEGO,matrix_32_pos_0_1,POS,4,0.19503865410534985,27
DIEGO,matrix_32_pos_0_1,POS,5,0.1476750619949338,22
DIEGO,matrix_32_pos_0_1,POS,6,0.11855849916365248,11
DIEGO,matrix_32_pos_0_1,POS,7,0.09869695792049844,13
DIEGO,matrix_32_pos_0_1,POS,8,0.0871854551235937,9
DIEGO,matrix_32_raw_0_1,RAW,2,0.4727286500221075,80
DIEGO,matrix_32_raw_0_1,RAW,3,0.3156393403254376,46
DIEGO,matrix_32_raw_0_1,RAW,4,0.2381770061652572,31
DIEGO,matrix_32_raw_0_1,RAW,5,0.19179006203817603,22
DIEGO,matrix_32_raw_0_1,RAW,6,0.15801556167500697,13
DIEGO,matrix_32_raw_0_1,RAW,7,0.1367027580139023,16
DIEGO,matrix_32_raw_0_1,RAW,8,0.11720274228876557,12
DIEGO,matrix_32_z_abs,Z_ABS,2,0.4471795095471168,77
DIEGO,matrix_32_z_abs,Z_ABS,3,0.29346508457733694,50
DIEGO,matrix_32_z_abs,Z_ABS,4,0.21521875189651907,30
DIEGO,matrix_32_z_abs,Z_ABS,5,0.16616071511295283,17
DIEGO,matrix_32_z_abs,Z_ABS,6,0.12821599113210036,14
DIEGO,matrix_32_z_abs,Z_ABS,7,0.11456714740540452,12
DIEGO,matrix_32_z_abs,Z_ABS,8,0.09261334296468768,2
RENOVISOR,matrix_32_ext_0_1,EXT,2,0.4740682951727362,240
RENOVISOR,matrix_32_ext_0_1,EXT,3,0.24347196797850423,117
RENOVISOR,matrix_32_ext_0_1,EXT,4,0.15972633417007984,66
RENOVISOR,matrix_32_ext_0_1,EXT,5,0.12282003725751356,42
RENOVISOR,matrix_32_ext_0_1,EXT,6,0.1043785078373578,21
RENOVISOR,matrix_32_ext_0_1,EXT,7,0.09251645649462546,16
RENOVISOR,matrix_32_ext_0_1,EXT,8,0.08232442901750794,7
RENOVISOR,matrix_32_pos_0_1,POS,2,0.34327476072775387,110
RENOVISOR,matrix_32_pos_0_1,POS,3,0.17259607515467348,31
RENOVISOR,matrix_32_pos_0_1,POS,4,0.12829210874606065,18
RENOVISOR,matrix_32_pos_0_1,POS,5,0.08461731174907096,7
RENOVISOR,matrix_32_pos_0_1,POS,6,0.06242677312282208,8
RENOVISOR,matrix_32_pos_0_1,POS,7,0.05369487891919883,8
RENOVISOR,matrix_32_pos_0_1,POS,8,0.04426815351890381,6
RENOVISOR,matrix_32_raw_0_1,RAW,2,0.4345346472469673,215
RENOVISOR,matrix_32_raw_0_1,RAW,3,0.27902415910527656,108
RENOVISOR,matrix_32_raw_0_1,RAW,4,0.20920838328261956,13
RENOVISOR,matrix_32_raw_0_1,RAW,5,0.1390730225275289,13
RENOVISOR,matrix_32_raw_0_1,RAW,6,0.10779081168023232,7
RENOVISOR,matrix_32_raw_0_1,RAW,7,0.09149433140388574,7
RENOVISOR,matrix_32_raw_0_1,RAW,8,0.08122266953992466,5
RENOVISOR,matrix_32_z_abs,Z_ABS,2,0.32005444621556184,153
RENOVISOR,matrix_32_z_abs,Z_ABS,3,0.17819361997445785,21
RENOVISOR,matrix_32_z_abs,Z_ABS,4,0.1255908976801756,16
RENOVISOR,matrix_32_z_abs,Z_ABS,5,0.09645347626806676,5
RENOVISOR,matrix_32_z_abs,Z_ABS,6,0.06941235384170749,4
RENOVISOR,matrix_32_z_abs,Z_ABS,7,0.04957762817783793,5
RENOVISOR,matrix_32_z_abs,Z_ABS,8,0.04749759697172931,2
WHY_EUROPE,matrix_32_ext_0_1,EXT,2,0.4059468058320949,36
WHY_EUROPE,matrix_32_ext_0_1,EXT,3,0.2556461994098645,19
WHY_EUROPE,matrix_32_ext_0_1,EXT,4,0.19274769073961345,13
WHY_EUROPE,matrix_32_ext_0_1,EXT,5,0.14070538058142737,3
WHY_EUROPE,matrix_32_ext_0_1,EXT,6,0.11094886735510508,3
WHY_EUROPE,matrix_32_ext_0_1,EXT,7,0.09047653706548044,3
WHY_EUROPE,matrix_32_ext_0_1,EXT,8,0.08338268590624548,2
WHY_EUROPE,matrix_32_pos_0_1,POS,2,0.392548210232502,38
WHY_EUROPE,matrix_32_pos_0_1,POS,3,0.2532398812543646,5
WHY_EUROPE,matrix_32_pos_0_1,POS,4,0.16758124257131143,5
WHY_EUROPE,matrix_32_pos_0_1,POS,5,0.13278317638720272,3
WHY_EUROPE,matrix_32_pos_0_1,POS,6,0.10453828511644524,2
WHY_EUROPE,matrix_32_pos_0_1,POS,7,0.08667747607800176,2
WHY_EUROPE,matrix_32_pos_0_1,POS,8,0.07533641278739851,2
WHY_EUROPE,matrix_32_raw_0_1,RAW,2,0.468455895330581,35
WHY_EUROPE,matrix_32_raw_0_1,RAW,3,0.30100744040702443,10
WHY_EUROPE,matrix_32_raw_0_1,RAW,4,0.18876674070588648,7
WHY_EUROPE,matrix_32_raw_0_1,RAW,5,0.1319470127898516,2
WHY_EUROPE,matrix_32_raw_0_1,RAW,6,0.0975266538426564,1
WHY_EUROPE,matrix_32_raw_0_1,RAW,7,0.0815890445504358,1
WHY_EUROPE,matrix_32_raw_0_1,RAW,8,0.06152783223049653,1
WHY_EUROPE,matrix_32_z_abs,Z_ABS,2,0.35023251745647177,29
WHY_EUROPE,matrix_32_z_abs,Z_ABS,3,0.15877244748078492,1
WHY_EUROPE,matrix_32_z_abs,Z_ABS,4,0.10097809091759612,1
WHY_EUROPE,matrix_32_z_abs,Z_ABS,5,0.07355383212054864,1
WHY_EUROPE,matrix_32_z_abs,Z_ABS,6,0.05616407008439215,1
WHY_EUROPE,matrix_32_z_abs,Z_ABS,7,0.04646877050430675,1
WHY_EUROPE,matrix_32_z_abs,Z_ABS,8,0.03670250094422496,1
WHY_LATAM,matrix_32_ext_0_1,EXT,2,0.4779440789473684,242
WHY_LATAM,matrix_32_ext_0_1,EXT,3,0.2968421052631579,126
WHY_LATAM,matrix_32_ext_0_1,EXT,4,0.2230921052631579,81
WHY_LATAM,matrix_32_ext_0_1,EXT,5,0.15963815789473684,45
WHY_LATAM,matrix_32_ext_0_1,EXT,6,0.13837171052631578,30
WHY_LATAM,matrix_32_ext_0_1,EXT,7,0.11231907894736842,20
WHY_LATAM,matrix_32_ext_0_1,EXT,8,0.09730263157894736,3
WHY_LATAM,matrix_32_pos_0_1,POS,2,0.4000657894736842,207
WHY_LATAM,matrix_32_pos_0_1,POS,3,0.21363486842105264,69
WHY_LATAM,matrix_32_pos_0_1,POS,4,0.1468092105263158,42
WHY_LATAM,matrix_32_pos_0_1,POS,5,0.11088815789473684,35
WHY_LATAM,matrix_32_pos_0_1,POS,6,0.0868421052631579,16
WHY_LATAM,matrix_32_pos_0_1,POS,7,0.07351973684210526,17
WHY_LATAM,matrix_32_pos_0_1,POS,8,0.06605263157894736,6
WHY_LATAM,matrix_32_raw_0_1,RAW,2,0.45769736842105263,200
WHY_LATAM,matrix_32_raw_0_1,RAW,3,0.27761513157894735,95
WHY_LATAM,matrix_32_raw_0_1,RAW,4,0.14317434210526317,45
WHY_LATAM,matrix_32_raw_0_1,RAW,5,0.11958881578947368,39
WHY_LATAM,matrix_32_raw_0_1,RAW,6,0.09768092105263158,8
WHY_LATAM,matrix_32_raw_0_1,RAW,7,0.07922697368421053,6
WHY_LATAM,matrix_32_raw_0_1,RAW,8,0.06348684210526316,3
WHY_LATAM,matrix_32_z_abs,Z_ABS,2,0.3851315789473685,191
WHY_LATAM,matrix_32_z_abs,Z_ABS,3,0.15396381578947368,8
WHY_LATAM,matrix_32_z_abs,Z_ABS,4,0.1174342105263158,6
WHY_LATAM,matrix_32_z_abs,Z_ABS,5,0.06868421052631579,5
WHY_LATAM,matrix_32_z_abs,Z_ABS,6,0.05527960526315789,3
WHY_LATAM,matrix_32_z_abs,Z_ABS,7,0.04554276315789474,4
WHY_LATAM,matrix_32_z_abs,Z_ABS,8,0.03287828947368421,3
