analysis_sample,coverage_threshold,first_prototype_reaching_threshold,max_coverage_available
COMPLETE,80,4,97.57309523809424
COMPLETE,85,5,97.57309523809424
COMPLETE,90,6,97.57309523809424
DIEGO,80,NA,27.83714285714194
DIEGO,85,NA,27.83714285714194
DIEGO,90,NA,27.83714285714194
EUROPE,80,6,94.65738095237988
EUROPE,85,6,94.65738095237988
EUROPE,90,8,94.65738095237988
LATAM,80,4,94.84880952380828
LATAM,85,5,94.84880952380828
LATAM,90,6,94.84880952380828
RENOVISOR,80,6,94.0335714285704
RENOVISOR,85,6,94.0335714285704
RENOVISOR,90,10,94.0335714285704
WHY_EUROPE,80,12,80.09595238095099
WHY_EUROPE,85,NA,80.09595238095099
WHY_EUROPE,90,NA,80.09595238095099
WHY_LATAM,80,4,95.49785714285596
WHY_LATAM,85,5,95.49785714285596
WHY_LATAM,90,6,95.49785714285596
