d_det,d_hamming,min_common_pct,max_coverage_available,prototypes_for_80,prototypes_for_85,prototypes_for_90
8,4,75,97.57309523809424,4,5,6
9,4,77.77777777777777,95.96190476190374,5,5,7
10,4,80,94.98238095238014,6,6,9
11,4,81.81818181818181,92.28380952380846,6,7,10
12,6,75,99.25357142857013,4,4,4
13,6,76.92307692307692,99.54642857142738,3,4,5
14,6,78.57142857142857,99.482142857142,4,4,4
15,6,80,99.09642857142768,4,4,5
