d_det,d_hamming,min_common_determinants,min_common_pct,prototypes_for_80,prototypes_for_85,prototypes_for_90,coverage_with_6,coverage_with_7,coverage_with_8
8,0,8,100,NA,NA,NA,17.14571428571411,18.97333333333314,20.753095238095025
8,2,7,87.5,NA,NA,NA,61.22261904761845,66.05476190476126,69.03333333333268
8,4,6,75,4,5,6,90.52119047618952,93.00857142857046,94.92404761904665
8,6,5,62.5,3,3,3,99.03690476190364,99.67142857142744,99.79999999999886
8,8,4,50,1,2,2,99.99999999999967,NA,NA
8,10,3,37.5,1,1,1,NA,NA,NA
9,0,9,100,NA,NA,NA,16.418333333333152,17.792380952380753,19.039523809523597
9,2,8,88.88888888888889,NA,NA,NA,48.07333333333281,55.53333333333273,59.53904761904697
9,4,7,77.77777777777777,5,5,7,89.11880952380858,90.11714285714191,91.32928571428477
9,6,6,66.66666666666667,3,3,3,98.90357142857012,99.3595238095225,99.62142857142726
9,8,5,55.55555555555556,2,2,2,99.94999999999848,99.97499999999847,99.99999999999848
9,10,4,44.44444444444444,2,2,2,NA,NA,NA
10,0,10,100,NA,NA,NA,10.337380952380858,11.602619047618942,12.770476190476074
10,2,9,90,NA,NA,NA,44.959523809523425,49.73142857142814,56.92357142857093
10,4,8,80,6,6,9,86.89761904761829,88.57476190476113,89.89476190476114
10,6,7,70,3,3,4,97.9809523809512,98.7452380952369,99.04761904761784
10,8,6,60,2,2,2,99.89999999999868,99.97499999999869,99.99999999999866
10,10,5,50,2,2,2,99.99999999999925,NA,NA
11,0,11,100,NA,NA,NA,10.182857142857022,11.32023809523796,12.456904761904616
11,2,10,90.9090909090909,NA,NA,NA,44.31071428571378,49.40428571428514,52.69142857142796
11,4,9,81.81818181818181,6,7,10,80.32547619047527,85.04142857142759,86.84619047618948
11,6,8,72.72727272727273,4,4,5,98.35238095237963,98.57619047618914,98.7988095238082
11,8,7,63.63636363636363,2,2,2,99.89999999999836,99.97499999999836,99.99999999999837
11,10,6,54.54545454545455,2,2,2,NA,NA,NA
12,0,12,100,NA,NA,NA,10.496904761904643,11.61047619047606,12.61047619047605
12,2,11,91.66666666666669,NA,NA,NA,39.442619047618614,45.87452380952331,49.478095238094696
12,4,10,83.33333333333333,8,9,11,70.32642857142781,78.56690476190393,83.24404761904673
12,6,9,75,4,4,4,96.67785714285588,98.04928571428444,98.50642857142728
12,8,8,66.66666666666667,2,2,2,99.8499999999984,99.87499999999838,99.94999999999838
12,10,7,58.333333333333336,2,2,2,99.9999999999984,NA,NA
13,0,13,100,NA,NA,NA,10.791190476190364,12.207380952380824,13.543809523809385
13,2,12,92.3076923076923,NA,NA,NA,42.79761904761861,45.66904761904715,50.36047619047568
13,4,11,84.61538461538461,7,9,11,77.37785714285639,80.00404761904683,83.29833333333252
13,6,10,76.92307692307692,3,4,5,93.96690476190363,95.54214285714173,98.60404761904644
13,8,9,69.23076923076923,2,3,3,99.71785714285572,99.79642857142716,99.89999999999856
13,10,8,61.53846153846154,2,2,2,99.94999999999848,99.99999999999848,NA
14,0,14,100,NA,NA,NA,10.67142857142849,12.084761904761814,13.433571428571328
14,2,13,92.85714285714286,NA,NA,NA,44.61571428571395,47.365476190475825,52.11190476190436
14,4,12,85.71428571428571,7,8,10,79.64523809523747,81.61619047618983,85.21333333333266
14,6,11,78.57142857142857,4,4,4,95.66404761904678,96.76999999999916,98.8023809523801
14,8,10,71.42857142857143,3,3,4,99.38452380952282,99.59642857142757,99.624999999999
14,10,9,64.28571428571429,2,2,2,99.99999999999882,NA,NA
15,0,15,100,NA,NA,NA,13.742142857142737,15.481666666666532,17.044999999999856
15,2,14,93.33333333333331,NA,NA,NA,50.327142857142434,55.49904761904715,59.222619047618544
15,4,13,86.66666666666667,7,9,11,74.88357142857076,81.51738095238024,84.34095238095163
15,6,12,80,4,4,5,93.54785714285627,96.55238095238006,98.71904761904672
15,8,11,73.33333333333333,3,3,3,99.32738095237995,99.66785714285616,99.72142857142758
15,10,10,66.66666666666667,2,2,2,99.9499999999988,99.9749999999988,99.9999999999988
