participant_id,macro_archetype_5,self_profile,adoption_stage,stage,technology,FINANCIAL,SECURITY,COMPETENCE,AUTONOMY,PHYSIOLOGICAL,RELATEDNESS,STIMULATION,POPULARITY,MEANING
183,G1_Activist_Stubborn_Sentient,Activista,Done,Implementada,Renovación de envolvente,68.5,NA,NA,NA,69,NA,NA,NA,38.5
183,G1_Activist_Stubborn_Sentient,Activista,Considering,La conoce / la consideraría,Comunidad energética,NA,NA,NA,NA,NA,NA,16,NA,38.5
184,G2_EarlyAdopter_Influencer,Influyente,Done,Implementada,Electrodomésticos eficientes,NA,NA,65.2,NA,77.5,NA,NA,NA,37
184,G2_EarlyAdopter_Influencer,Influyente,Considering,La conoce / la consideraría,Bomba de calor,61.6,NA,NA,NA,77.5,NA,NA,NA,37
184,G2_EarlyAdopter_Influencer,Influyente,Knowledge,"No la conoce, pero le genera curiosidad",Comunidad energética,NA,NA,NA,NA,NA,60.333333333333336,NA,NA,37
185,G4_HomoEconomicus,Homo economicus,Done,Implementada,Electrodomésticos eficientes,NA,NA,81,82.5,NA,NA,NA,NA,50
185,G4_HomoEconomicus,Homo economicus,Considering,La conoce / la consideraría,Bomba de calor,88.75,NA,NA,NA,NA,NA,NA,NA,50
185,G4_HomoEconomicus,Homo economicus,Knowledge,"No la conoce, pero le genera curiosidad",Comunidad energética,NA,NA,81,82.5,NA,NA,NA,NA,50
186,G3_Fearful_Careful,Cuidadoso/a,Considering,La conoce / la consideraría,Comunidad energética,66,NA,NA,83.25,81.5,NA,NA,NA,NA
186,G3_Fearful_Careful,Cuidadoso/a,Knowledge,"No la conoce, pero le genera curiosidad",Bomba de calor,66,NA,NA,83.25,81.5,NA,NA,NA,NA
187,G3_Fearful_Careful,Temeroso/a,Knowledge,"No la conoce, pero le genera curiosidad",Renovación de envolvente,64,NA,NA,NA,NA,NA,NA,NA,NA
188,G4_HomoEconomicus,Homo economicus,Done,Implementada,Ventilación con recuperador,59,NA,NA,NA,100,NA,NA,NA,NA
188,G4_HomoEconomicus,Homo economicus,Considering,La conoce / la consideraría,Sistema de refrigeración,NA,NA,NA,NA,100,NA,NA,NA,NA
188,G4_HomoEconomicus,Homo economicus,Knowledge,"No la conoce, pero le genera curiosidad",Vehículo eléctrico,59,84.5,NA,NA,NA,NA,NA,NA,NA
189,G2_EarlyAdopter_Influencer,Influyente,Done,Implementada,Renovación de envolvente,NA,NA,NA,NA,NA,NA,NA,NA,35
189,G2_EarlyAdopter_Influencer,Influyente,Considering,La conoce / la consideraría,Renovación de envolvente,58,NA,84.25,NA,NA,NA,NA,NA,NA
189,G2_EarlyAdopter_Influencer,Influyente,Knowledge,"No la conoce, pero le genera curiosidad",Almacenamiento energético,NA,NA,84.25,NA,NA,NA,NA,NA,NA
190,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Renovación de envolvente,NA,NA,70,75.25,75.5,NA,NA,NA,NA
190,G3_Fearful_Careful,Temeroso/a,Considering,La conoce / la consideraría,Comunidad energética,NA,73.75,70,NA,NA,NA,NA,NA,50
190,G3_Fearful_Careful,Temeroso/a,Knowledge,"No la conoce, pero le genera curiosidad",Electrodomésticos eficientes,NA,NA,NA,75.25,75.5,NA,NA,NA,50
191,G2_EarlyAdopter_Influencer,Pionero,Done,Implementada,Renovación de envolvente,NA,86.25,NA,NA,NA,NA,NA,NA,80
191,G2_EarlyAdopter_Influencer,Pionero,Considering,La conoce / la consideraría,Bomba de calor,61.5,NA,NA,NA,NA,NA,NA,NA,NA
192,G1_Activist_Stubborn_Sentient,Sensible,Done,Implementada,Comunidad energética,NA,NA,NA,NA,NA,83,NA,NA,78
192,G1_Activist_Stubborn_Sentient,Sensible,Considering,La conoce / la consideraría,Vehículo eléctrico,82.6,84.5,NA,78,NA,NA,NA,NA,NA
193,G1_Activist_Stubborn_Sentient,Activista,Done,Implementada,Ventilación con recuperador,39.25,NA,NA,NA,NA,NA,NA,50.5,53.5
194,G1_Activist_Stubborn_Sentient,Activista,Done,Implementada,Comunidad energética,NA,NA,NA,54.5,NA,NA,NA,NA,NA
194,G1_Activist_Stubborn_Sentient,Activista,Considering,La conoce / la consideraría,Ventilación con recuperador,40.75,NA,NA,NA,NA,NA,NA,NA,NA
194,G1_Activist_Stubborn_Sentient,Activista,Knowledge,"No la conoce, pero le genera curiosidad",Renovación de envolvente,NA,NA,NA,54.5,NA,NA,NA,NA,NA
195,G1_Activist_Stubborn_Sentient,Activista,Done,Implementada,Renovación de envolvente,58.4,NA,NA,NA,100,83.2,NA,NA,NA
195,G1_Activist_Stubborn_Sentient,Activista,Considering,La conoce / la consideraría,Comunidad energética,NA,NA,NA,NA,100,83.2,NA,NA,NA
195,G1_Activist_Stubborn_Sentient,Activista,Knowledge,"No la conoce, pero le genera curiosidad",Comunidad energética,58.4,NA,NA,NA,NA,83.2,NA,NA,49
196,G3_Fearful_Careful,Cuidadoso/a,Done,Implementada,Medidas de microeficiencia,41,NA,NA,69.25,NA,NA,NA,NA,38
196,G3_Fearful_Careful,Cuidadoso/a,Considering,La conoce / la consideraría,Renovación de envolvente,41,NA,NA,NA,66,NA,NA,NA,38
196,G3_Fearful_Careful,Cuidadoso/a,Knowledge,"No la conoce, pero le genera curiosidad",Ventilación con recuperador,NA,NA,NA,NA,NA,NA,NA,NA,38
197,G1_Activist_Stubborn_Sentient,Activista,Done,Implementada,Comunidad energética,NA,NA,NA,NA,50.5,74,NA,NA,50
197,G1_Activist_Stubborn_Sentient,Activista,Considering,La conoce / la consideraría,Electrodomésticos eficientes,NA,NA,NA,NA,50.5,74,NA,NA,50
197,G1_Activist_Stubborn_Sentient,Activista,Knowledge,"No la conoce, pero le genera curiosidad",Cambio de tarifa eléctrica,NA,NA,NA,NA,50.5,74,NA,NA,50
198,G1_Activist_Stubborn_Sentient,Sensible,Done,Implementada,Renovación de envolvente,56.8,NA,NA,82,NA,NA,NA,NA,0
198,G1_Activist_Stubborn_Sentient,Sensible,Considering,La conoce / la consideraría,Ascensor,NA,73.5,NA,82,83,NA,NA,NA,NA
201,G2_EarlyAdopter_Influencer,Influyente,Done,Implementada,Renovación de envolvente,NA,90,NA,NA,72.5,NA,NA,NA,5
201,G2_EarlyAdopter_Influencer,Influyente,Considering,La conoce / la consideraría,Renovación de envolvente,NA,90,NA,NA,72.5,NA,NA,NA,5
203,G4_HomoEconomicus,Homo economicus,Considering,La conoce / la consideraría,Renovación de envolvente,NA,NA,NA,83.33333333333333,NA,NA,NA,NA,NA
203,G4_HomoEconomicus,Homo economicus,Knowledge,"No la conoce, pero le genera curiosidad",Renovación de envolvente,52,53.75,NA,NA,NA,NA,NA,NA,87.5
204,G1_Activist_Stubborn_Sentient,Sensible,Done,Implementada,Comunidad energética,75,85,46.5,NA,NA,NA,NA,NA,NA
204,G1_Activist_Stubborn_Sentient,Sensible,Considering,La conoce / la consideraría,Electrodomésticos eficientes,75,85,46.5,NA,NA,NA,NA,NA,NA
205,G1_Activist_Stubborn_Sentient,Sensible,Done,Implementada,Renovación de envolvente,NA,78.75,NA,81.25,90,NA,NA,NA,NA
205,G1_Activist_Stubborn_Sentient,Sensible,Considering,La conoce / la consideraría,Vehículo eléctrico,50,NA,NA,81.25,90,NA,NA,NA,NA
205,G1_Activist_Stubborn_Sentient,Sensible,Knowledge,"No la conoce, pero le genera curiosidad",Comunidad energética,50,NA,NA,NA,90,52,NA,NA,NA
206,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Comunidad energética,NA,NA,NA,NA,NA,72,41.666666666666664,70,NA
206,G3_Fearful_Careful,Temeroso/a,Considering,La conoce / la consideraría,Electrodomésticos eficientes,NA,80,89,76.66666666666667,NA,NA,NA,NA,NA
207,G3_Fearful_Careful,Temeroso/a,Considering,La conoce / la consideraría,Electrodomésticos eficientes,67.75,90,NA,NA,NA,NA,NA,NA,65
208,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Renovación de envolvente,NA,NA,NA,50,NA,NA,23.333333333333332,NA,40
208,G3_Fearful_Careful,Temeroso/a,Considering,La conoce / la consideraría,Comunidad energética,NA,NA,NA,50,NA,NA,23.333333333333332,NA,40
208,G3_Fearful_Careful,Temeroso/a,Knowledge,"No la conoce, pero le genera curiosidad",Comunidad energética,NA,NA,NA,50,NA,NA,23.333333333333332,NA,40
210,G2_EarlyAdopter_Influencer,Influyente,Done,Implementada,Vehículo eléctrico,NA,50,NA,NA,NA,NA,NA,NA,NA
210,G2_EarlyAdopter_Influencer,Influyente,Knowledge,"No la conoce, pero le genera curiosidad",Electrodomésticos eficientes,NA,NA,50,50,NA,NA,NA,NA,50
211,G3_Fearful_Careful,Temeroso/a,Considering,La conoce / la consideraría,Electrodomésticos eficientes,NA,76,NA,NA,NA,NA,NA,NA,NA
213,G1_Activist_Stubborn_Sentient,Activista,Done,Implementada,Renovación de envolvente,NA,NA,NA,54.75,NA,NA,19.666666666666668,NA,40.5
213,G1_Activist_Stubborn_Sentient,Activista,Considering,La conoce / la consideraría,Renovación de envolvente,NA,NA,NA,NA,NA,NA,NA,NA,40.5
214,G2_EarlyAdopter_Influencer,Influyente,Done,Implementada,Cambio de tarifa eléctrica,67.2,NA,NA,NA,NA,NA,NA,NA,NA
214,G2_EarlyAdopter_Influencer,Influyente,Considering,La conoce / la consideraría,Renovación de envolvente,67.2,NA,NA,NA,83.5,66.25,NA,NA,NA
216,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Bomba de calor,80.33333333333333,NA,NA,NA,75,NA,NA,NA,47.5
216,G3_Fearful_Careful,Temeroso/a,Considering,La conoce / la consideraría,Comunidad energética,NA,77.5,NA,NA,75,NA,NA,NA,47.5
216,G3_Fearful_Careful,Temeroso/a,Knowledge,"No la conoce, pero le genera curiosidad",Vehículo eléctrico,NA,NA,81.66666666666667,NA,NA,NA,NA,NA,47.5
217,G1_Activist_Stubborn_Sentient,Activista,Done,Implementada,Renovación de envolvente,66.75,85.5,NA,69.25,NA,NA,NA,NA,NA
217,G1_Activist_Stubborn_Sentient,Activista,Considering,La conoce / la consideraría,Bomba de calor,66.75,85.5,NA,69.25,NA,NA,NA,NA,NA
217,G1_Activist_Stubborn_Sentient,Activista,Knowledge,"No la conoce, pero le genera curiosidad",Sistema de refrigeración,66.75,85.5,NA,69.25,NA,NA,NA,NA,NA
218,G1_Activist_Stubborn_Sentient,Sensible,Done,Implementada,Vehículo eléctrico,63.333333333333336,NA,NA,88.25,NA,NA,NA,NA,50
218,G1_Activist_Stubborn_Sentient,Sensible,Considering,La conoce / la consideraría,Electrodomésticos eficientes,NA,87.5,NA,88.25,NA,NA,NA,NA,50
218,G1_Activist_Stubborn_Sentient,Sensible,Knowledge,"No la conoce, pero le genera curiosidad",Bomba de calor,NA,NA,95,NA,NA,NA,26.666666666666668,NA,50
219,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Vehículo eléctrico,NA,NA,NA,NA,NA,NA,47.333333333333336,NA,47.5
219,G3_Fearful_Careful,Temeroso/a,Considering,La conoce / la consideraría,Sistema de refrigeración,65.2,NA,NA,NA,NA,NA,NA,NA,47.5
219,G3_Fearful_Careful,Temeroso/a,Knowledge,"No la conoce, pero le genera curiosidad",Electrodomésticos eficientes,65.2,NA,NA,NA,NA,NA,NA,NA,47.5
22,G3_Fearful_Careful,Cuidadoso/a,Done,Implementada,Agua caliente sanitaria,43.2,NA,NA,NA,NA,NA,NA,38.5,37.5
22,G3_Fearful_Careful,Cuidadoso/a,Considering,La conoce / la consideraría,Kits solares de balcón,NA,NA,NA,NA,NA,40.2,48.666666666666664,38.5,NA
22,G3_Fearful_Careful,Cuidadoso/a,Knowledge,"No la conoce, pero le genera curiosidad",Bomba de calor,NA,NA,62,NA,NA,40.2,NA,NA,37.5
220,G2_EarlyAdopter_Influencer,Influyente,Done,Implementada,Calefacción fósil o biomasa,NA,NA,NA,75,NA,NA,NA,NA,NA
220,G2_EarlyAdopter_Influencer,Influyente,Considering,La conoce / la consideraría,Renovación de envolvente,56.2,67.33333333333333,NA,75,NA,NA,NA,NA,NA
220,G2_EarlyAdopter_Influencer,Influyente,Knowledge,"No la conoce, pero le genera curiosidad",Almacenamiento energético,56.2,67.33333333333333,NA,75,NA,NA,NA,NA,NA
221,G3_Fearful_Careful,Temeroso/a,Done,Implementada,Renovación de envolvente,91,NA,NA,90.75,NA,NA,NA,NA,42
221,G3_Fearful_Careful,Temeroso/a,Considering,La conoce / la consideraría,Cambio de tarifa eléctrica,91,NA,NA,90.75,NA,NA,NA,NA,42
