bootstrap_id,consensus_factor,reference_factor,original_factor,alignment_similarity_pct
1,1,MR1,MR3,100
1,2,MR2,MR2,75
1,3,MR3,MR5,62.5
1,4,MR4,MR1,87.5
1,5,MR5,MR4,75
1,6,MR6,MR6,100
2,1,MR1,MR4,100
2,2,MR2,MR3,87.5
2,3,MR3,MR2,50
2,4,MR4,MR1,87.5
2,5,MR5,MR5,62.5
2,6,MR6,MR6,87.5
3,1,MR1,MR6,100
3,2,MR2,MR1,75
3,3,MR3,MR5,75
3,4,MR4,MR2,100
3,5,MR5,MR4,87.5
3,6,MR6,MR3,100
4,1,MR1,MR2,100
4,2,MR2,MR3,75
4,3,MR3,MR6,75
4,4,MR4,MR5,87.5
4,5,MR5,MR4,87.5
4,6,MR6,MR1,87.5
5,1,MR1,MR6,100
5,2,MR2,MR1,75
5,3,MR3,MR3,87.5
5,4,MR4,MR5,100
5,5,MR5,MR2,87.5
5,6,MR6,MR4,100
6,1,MR1,MR3,100
6,2,MR2,MR4,62.5
6,3,MR3,MR2,62.5
6,4,MR4,MR6,87.5
6,5,MR5,MR1,75
6,6,MR6,MR5,100
7,1,MR1,MR1,100
7,2,MR2,MR4,62.5
7,3,MR3,MR6,75
7,4,MR4,MR2,87.5
7,5,MR5,MR3,87.5
7,6,MR6,MR5,100
8,1,MR1,MR2,100
8,2,MR2,MR1,75
8,3,MR3,MR6,75
8,4,MR4,MR3,87.5
8,5,MR5,MR5,62.5
8,6,MR6,MR4,87.5
9,1,MR1,MR6,100
9,2,MR2,MR3,75
9,3,MR3,MR5,62.5
9,4,MR4,MR1,87.5
9,5,MR5,MR2,87.5
9,6,MR6,MR4,100
10,1,MR1,MR6,100
10,2,MR2,MR3,87.5
10,3,MR3,MR4,75
10,4,MR4,MR5,75
10,5,MR5,MR1,100
10,6,MR6,MR2,87.5
11,1,MR1,MR6,100
11,2,MR2,MR4,75
11,3,MR3,MR1,75
11,4,MR4,MR2,100
11,5,MR5,MR5,87.5
11,6,MR6,MR3,100
12,1,MR1,MR4,100
12,2,MR2,MR3,87.5
12,3,MR3,MR2,87.5
12,4,MR4,MR5,87.5
12,5,MR5,MR6,75
12,6,MR6,MR1,100
13,1,MR1,MR6,100
13,2,MR2,MR2,62.5
13,3,MR3,MR5,62.5
13,4,MR4,MR1,100
13,5,MR5,MR3,87.5
13,6,MR6,MR4,100
14,1,MR1,MR3,100
14,2,MR2,MR5,75
14,3,MR3,MR2,87.5
14,4,MR4,MR4,100
14,5,MR5,MR1,100
14,6,MR6,MR6,100
15,1,MR1,MR3,100
15,2,MR2,MR6,75
15,3,MR3,MR2,87.5
15,4,MR4,MR1,87.5
15,5,MR5,MR5,87.5
15,6,MR6,MR4,100
16,1,MR1,MR2,100
16,2,MR2,MR1,75
16,3,MR3,MR5,75
16,4,MR4,MR6,87.5
16,5,MR5,MR4,75
16,6,MR6,MR3,87.5
17,1,MR1,MR5,100
17,2,MR2,MR1,75
17,3,MR3,MR6,50
17,4,MR4,MR3,100
17,5,MR5,MR4,75
17,6,MR6,MR2,100
18,1,MR1,MR4,100
18,2,MR2,MR6,87.5
18,3,MR3,MR1,100
18,4,MR4,MR5,100
18,5,MR5,MR3,100
18,6,MR6,MR2,87.5
19,1,MR1,MR5,100
19,2,MR2,MR3,75
19,3,MR3,MR1,75
19,4,MR4,MR4,75
19,5,MR5,MR2,87.5
19,6,MR6,MR6,100
20,1,MR1,MR4,100
20,2,MR2,MR2,62.5
20,3,MR3,MR1,87.5
20,4,MR4,MR3,87.5
20,5,MR5,MR5,75
20,6,MR6,MR6,100
21,1,MR1,MR2,100
21,2,MR2,MR3,75
21,3,MR3,MR6,87.5
21,4,MR4,MR5,75
21,5,MR5,MR4,100
21,6,MR6,MR1,100
22,1,MR1,MR3,100
22,2,MR2,MR5,100
22,3,MR3,MR6,75
22,4,MR4,MR1,87.5
22,5,MR5,MR4,87.5
22,6,MR6,MR2,87.5
23,1,MR1,MR2,100
23,2,MR2,MR3,75
23,3,MR3,MR6,75
23,4,MR4,MR5,87.5
23,5,MR5,MR4,75
23,6,MR6,MR1,100
24,1,MR1,MR1,100
24,2,MR2,MR2,100
24,3,MR3,MR3,75
24,4,MR4,MR6,75
24,5,MR5,MR4,75
24,6,MR6,MR5,100
25,1,MR1,MR2,100
25,2,MR2,MR3,75
25,3,MR3,MR1,75
25,4,MR4,MR5,87.5
25,5,MR5,MR4,75
25,6,MR6,MR6,100
26,1,MR1,MR6,100
26,2,MR2,MR5,75
26,3,MR3,MR1,87.5
26,4,MR4,MR2,100
26,5,MR5,MR4,100
26,6,MR6,MR3,87.5
27,1,MR1,MR3,100
27,2,MR2,MR5,87.5
27,3,MR3,MR2,100
27,4,MR4,MR4,75
27,5,MR5,MR1,87.5
27,6,MR6,MR6,100
28,1,MR1,MR3,100
28,2,MR2,MR1,100
28,3,MR3,MR6,87.5
28,4,MR4,MR2,87.5
28,5,MR5,MR5,87.5
28,6,MR6,MR4,87.5
29,1,MR1,MR4,100
29,2,MR2,MR6,87.5
29,3,MR3,MR5,87.5
29,4,MR4,MR2,100
29,5,MR5,MR1,87.5
29,6,MR6,MR3,87.5
30,1,MR1,MR3,100
30,2,MR2,MR5,75
30,3,MR3,MR2,75
30,4,MR4,MR1,75
30,5,MR5,MR4,87.5
30,6,MR6,MR6,100
31,1,MR1,MR3,100
31,2,MR2,MR1,75
31,3,MR3,MR5,87.5
31,4,MR4,MR2,87.5
31,5,MR5,MR6,100
31,6,MR6,MR4,100
32,1,MR1,MR2,100
32,2,MR2,MR3,75
32,3,MR3,MR6,87.5
32,4,MR4,MR4,100
32,5,MR5,MR5,100
32,6,MR6,MR1,100
33,1,MR1,MR5,100
33,2,MR2,MR2,75
33,3,MR3,MR4,87.5
33,4,MR4,MR6,75
33,5,MR5,MR3,100
33,6,MR6,MR1,100
34,1,MR1,MR3,100
34,2,MR2,MR5,75
34,3,MR3,MR2,87.5
34,4,MR4,MR4,87.5
34,5,MR5,MR1,87.5
34,6,MR6,MR6,87.5
35,1,MR1,MR6,100
35,2,MR2,MR1,62.5
35,3,MR3,MR5,87.5
35,4,MR4,MR4,87.5
35,5,MR5,MR2,75
35,6,MR6,MR3,100
36,1,MR1,MR6,100
36,2,MR2,MR2,75
36,3,MR3,MR5,87.5
36,4,MR4,MR4,87.5
36,5,MR5,MR1,87.5
36,6,MR6,MR3,87.5
37,1,MR1,MR3,100
37,2,MR2,MR5,75
37,3,MR3,MR1,87.5
37,4,MR4,MR2,87.5
37,5,MR5,MR6,75
37,6,MR6,MR4,100
38,1,MR1,MR4,100
38,2,MR2,MR3,75
38,3,MR3,MR6,75
38,4,MR4,MR1,75
38,5,MR5,MR5,75
38,6,MR6,MR2,100
39,1,MR1,MR2,100
39,2,MR2,MR3,87.5
39,3,MR3,MR6,87.5
39,4,MR4,MR5,75
39,5,MR5,MR4,87.5
39,6,MR6,MR1,87.5
40,1,MR1,MR6,100
40,2,MR2,MR2,62.5
40,3,MR3,MR4,87.5
40,4,MR4,MR3,87.5
40,5,MR5,MR1,87.5
40,6,MR6,MR5,100
41,1,MR1,MR4,100
41,2,MR2,MR2,75
41,3,MR3,MR5,87.5
41,4,MR4,MR3,100
41,5,MR5,MR1,87.5
41,6,MR6,MR6,100
42,1,MR1,MR2,100
42,2,MR2,MR3,75
42,3,MR3,MR6,75
42,4,MR4,MR4,87.5
42,5,MR5,MR5,87.5
42,6,MR6,MR1,100
43,1,MR1,MR6,100
43,2,MR2,MR5,87.5
43,3,MR3,MR3,75
43,4,MR4,MR2,100
43,5,MR5,MR1,87.5
43,6,MR6,MR4,100
44,1,MR1,MR1,100
44,2,MR2,MR3,75
44,3,MR3,MR4,62.5
44,4,MR4,MR6,100
44,5,MR5,MR2,87.5
44,6,MR6,MR5,87.5
45,1,MR1,MR5,100
45,2,MR2,MR4,75
45,3,MR3,MR1,75
45,4,MR4,MR6,87.5
45,5,MR5,MR3,100
45,6,MR6,MR2,100
46,1,MR1,MR1,100
46,2,MR2,MR2,62.5
46,3,MR3,MR6,75
46,4,MR4,MR4,75
46,5,MR5,MR3,62.5
46,6,MR6,MR5,100
47,1,MR1,MR1,100
47,2,MR2,MR2,62.5
47,3,MR3,MR4,75
47,4,MR4,MR3,87.5
47,5,MR5,MR5,87.5
47,6,MR6,MR6,100
48,1,MR1,MR3,100
48,2,MR2,MR5,62.5
48,3,MR3,MR1,50
48,4,MR4,MR4,87.5
48,5,MR5,MR6,75
48,6,MR6,MR2,87.5
49,1,MR1,MR1,100
49,2,MR2,MR4,75
49,3,MR3,MR6,75
49,4,MR4,MR3,87.5
49,5,MR5,MR2,75
49,6,MR6,MR5,100
50,1,MR1,MR1,100
50,2,MR2,MR2,75
50,3,MR3,MR3,87.5
50,4,MR4,MR4,87.5
50,5,MR5,MR6,87.5
50,6,MR6,MR5,100
51,1,MR1,MR1,100
51,2,MR2,MR4,75
51,3,MR3,MR2,87.5
51,4,MR4,MR6,100
51,5,MR5,MR3,87.5
51,6,MR6,MR5,100
52,1,MR1,MR3,100
52,2,MR2,MR2,75
52,3,MR3,MR6,75
52,4,MR4,MR1,62.5
52,5,MR5,MR5,87.5
52,6,MR6,MR4,100
53,1,MR1,MR1,100
53,2,MR2,MR4,75
53,3,MR3,MR5,75
53,4,MR4,MR3,100
53,5,MR5,MR2,87.5
53,6,MR6,MR6,100
54,1,MR1,MR6,100
54,2,MR2,MR3,62.5
54,3,MR3,MR5,75
54,4,MR4,MR1,100
54,5,MR5,MR2,87.5
54,6,MR6,MR4,100
55,1,MR1,MR3,100
55,2,MR2,MR4,62.5
55,3,MR3,MR6,75
55,4,MR4,MR2,100
55,5,MR5,MR5,75
55,6,MR6,MR1,100
56,1,MR1,MR1,100
56,2,MR2,MR2,87.5
56,3,MR3,MR3,62.5
56,4,MR4,MR6,87.5
56,5,MR5,MR5,100
56,6,MR6,MR4,100
57,1,MR1,MR1,100
57,2,MR2,MR5,75
57,3,MR3,MR6,87.5
57,4,MR4,MR2,87.5
57,5,MR5,MR4,87.5
57,6,MR6,MR3,100
58,1,MR1,MR2,100
58,2,MR2,MR3,87.5
58,3,MR3,MR6,87.5
58,4,MR4,MR5,75
58,5,MR5,MR4,87.5
58,6,MR6,MR1,100
59,1,MR1,MR3,100
59,2,MR2,MR5,62.5
59,3,MR3,MR4,62.5
59,4,MR4,MR1,87.5
59,5,MR5,MR2,62.5
59,6,MR6,MR6,100
60,1,MR1,MR2,100
60,2,MR2,MR4,75
60,3,MR3,MR3,75
