"D","assigned_pct","unassigned_pct"
0,0.0110815602836879,99.9889184397163
1,0.0941932624113475,99.9058067375886
2,1.81183510638298,98.188164893617
3,2.73160460992908,97.2683953900709
4,22.0412234042553,77.9587765957447
5,23.6092641843972,76.3907358156028
6,52.9366134751773,47.0633865248227
7,54.5046542553192,45.4953457446808
8,76.4128989361702,23.5871010638298
9,77.7371453900709,22.2628546099291
10,93.4175531914894,6.58244680851064
11,94.1212322695035,5.87876773049645
12,97.2351507092199,2.76484929078014
13,97.6894946808511,2.31050531914894
14,99.0913120567376,0.908687943262411
15,99.2021276595745,0.797872340425532
16,99.7894503546099,0.210549645390071
17,99.8282358156028,0.171764184397163
18,100,0
19,100,0
20,100,0
