kmeans_prototype,kmeans_determinants,incremental_covered_pct,cumulative_covered_pct,efa_match,common_km_efa,similarity_km_efa_pct,jaccard_km_efa_pct,common_determinants_km_efa,efa_determinants,expert_match,expert_n_active,common_km_expert,km_determinants_found_in_expert_pct,expert_determinants_found_in_km_pct,jaccard_km_expert_pct,common_determinants_km_expert,expert_determinants
KM1,det_08_trust; det_11_knowledge; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_32_own_significance,24.11809523809453,24.11809523809453,EFA6,6,75,60,det_08_trust; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_32_own_significance,det_04_added_value; det_06_climate_protection; det_08_trust; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_32_own_significance,Activist,6,6,75,100,75,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
KM2,det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_19_wellbeing; det_20_coziness,7.721904761904535,31.839999999999065,EFA4,5,62.5,45.45454545454545,det_09_safety; det_10_cost_efficiency; det_15_self_satisfaction; det_19_wellbeing; det_20_coziness,det_09_safety; det_10_cost_efficiency; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_21_rights_and_duties; det_29_trends,Careful,12,6,75,50,42.857142857142854,det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_16_commitment; det_17_adherence; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
KM3,det_04_added_value; det_06_climate_protection; det_08_trust; det_11_knowledge; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_26_novelty,6.0423809523807694,37.88238095237984,EFA5,2,25,14.285714285714286,det_04_added_value; det_08_trust,det_04_added_value; det_07_legal; det_08_trust; det_12_own_competence; det_21_rights_and_duties; det_22_peer_pressure; det_23_support; det_25_agreement,Activist,6,4,50,66.66666666666667,40,det_08_trust; det_15_self_satisfaction; det_16_commitment; det_17_adherence,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
KM4,det_04_added_value; det_08_trust; det_11_knowledge; det_13_technical_fit; det_14_environmental_concerns; det_17_adherence; det_26_novelty; det_27_fun,4.039999999999871,41.92238095237971,EFA1,2,25,14.285714285714286,det_13_technical_fit; det_17_adherence,det_01_profits; det_02_credit_score; det_05_frugality; det_07_legal; det_10_cost_efficiency; det_13_technical_fit; det_17_adherence; det_18_autonomy,Activist,6,4,50,66.66666666666667,40,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_17_adherence,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
KM5,det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_26_novelty; det_27_fun,3.409761904761797,45.3321428571415,EFA3,4,50,33.333333333333336,det_10_cost_efficiency; det_11_knowledge; det_14_environmental_concerns; det_26_novelty,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_17_adherence; det_26_novelty,Activist,6,4,50,66.66666666666667,40,det_08_trust; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
KM6,det_06_climate_protection; det_08_trust; det_11_knowledge; det_17_adherence; det_19_wellbeing; det_20_coziness; det_27_fun; det_32_own_significance,2.4928571428570656,47.82499999999857,EFA2,0,0,0,,det_05_frugality; det_18_autonomy; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,Careful,12,5,62.5,41.666666666666664,33.333333333333336,det_06_climate_protection; det_08_trust; det_11_knowledge; det_17_adherence; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
