"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,1,1,0.000125
2,3,5,0.000625
3,40,259,0.032375
4,98,535,0.066875
5,555,7737,0.967125
6,1023,11797,1.474625
7,2862,73145,9.143125
8,4115,87538,10.94225
9,7370,181394,22.67425
10,9482,217850,27.23125
11,14453,346098,43.26225
12,16806,446640,55.83
13,23088,605664,75.708
14,24652,761215,95.151875
15,29251,792437,99.054625
16,29681,794002,99.25025
17,31592,799166,99.89575
18,31666,799250,99.90625
19,32076,799864,99.983
20,32089,799882,99.98525
