"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,1,25,0.003125
2,41,1541,0.192625
3,83,2842,0.35525
4,673,29483,3.685375
5,1005,34000,4.25
6,3880,118898,14.86225
7,4767,125709,15.713625
8,10346,214060,26.7575
9,11592,225765,28.220625
10,16780,274252,34.2815
11,17923,295373,36.921625
12,20982,341082,42.63525
13,22042,372034,46.50425
14,24032,412298,51.53725
15,25145,544408,68.051
16,26994,586598,73.32475
17,28223,616764,77.0955
18,29805,653793,81.724125
19,30644,700479,87.559875
20,31425,768654,96.08175
