"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,1,1,0.000125
3,8,14,0.00175
4,82,402,0.05025
5,271,2055,0.256875
6,1112,15605,1.950625
7,2285,40978,5.12225
8,5307,124873,15.609125
9,7757,209321,26.165125
10,12117,357218,44.65225
11,14693,428458,53.55725
12,18090,528894,66.11175
13,19527,657724,82.2155
14,22091,725236,90.6545
15,22492,726502,90.81275
16,26459,776316,97.0395
17,26538,776429,97.053625
18,30295,795988,99.4985
19,30312,796007,99.500875
20,31883,799494,99.93675
