"D","n_patterns_covered","freq_covered","pct_covered"
0,1,215,0.026875
1,5,326,0.04075
2,91,27165,3.395625
3,153,31204,3.9005
4,1115,334102,41.76275
5,1398,347730,43.46625
6,4994,675943,84.492875
7,5313,678309,84.788625
8,11168,780252,97.5315
9,11312,780549,97.568625
10,15560,795882,99.48525
11,15651,796101,99.512625
12,17258,798535,99.816875
13,17337,798714,99.83925
14,17747,799452,99.9315
15,17775,799513,99.939125
16,17919,799709,99.963625
17,17923,799723,99.965375
18,18005,799820,99.9775
19,18012,799832,99.979
20,18036,799938,99.99225
