consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_28_recognition,100,1,0.7184519771572544
1,det_24_socialising,100,1,0.7133155741610752
1,det_31_approval,100,1,0.6768495099649385
1,det_30_authority,100,1,0.6292027496309202
1,det_29_trends,100,1,0.5500071246490343
1,det_22_peer_pressure,100,1,0.514169682422583
1,det_27_fun,99,0.99,0.35177487314895733
1,det_25_agreement,71,0.71,0.2577345132553099
2,det_05_frugality,75,0.75,0.26710539558227353
2,det_26_novelty,75,0.75,0.24743028661328087
2,det_14_environmental_concerns,59,0.59,0.24038076602230932
2,det_01_profits,51,0.51,0.20449479169721585
2,det_07_legal,43,0.43,0.1634596926593392
2,det_09_safety,38,0.38,0.17926697686331203
2,det_32_own_significance,38,0.38,0.17159049715207245
2,det_17_adherence,34,0.34,0.15948454142378798
3,det_19_wellbeing,95,0.95,0.6400824126305801
3,det_20_coziness,92,0.92,0.6549363001660112
3,det_09_safety,89,0.89,0.3915610567441186
3,det_18_autonomy,73,0.73,0.2671127236920934
3,det_32_own_significance,61,0.61,0.22566235574693758
3,det_15_self_satisfaction,61,0.61,0.2034513524027902
3,det_26_novelty,52,0.52,0.20460366746338726
3,det_01_profits,42,0.42,0.17571546226173296
4,det_06_climate_protection,100,1,0.6747015901765736
4,det_04_added_value,99,0.99,0.48622242718072467
4,det_14_environmental_concerns,95,0.95,0.5095373712776607
4,det_23_support,93,0.93,0.31500644186822907
4,det_27_fun,75,0.75,0.22956181446405569
4,det_07_legal,72,0.72,0.2374697853094593
4,det_32_own_significance,72,0.72,0.22703458117104294
4,det_21_rights_and_duties,49,0.49,0.19841894339702115
5,det_15_self_satisfaction,90,0.9,0.3551705503081682
5,det_03_risk_profile,85,0.85,0.36928539438763625
5,det_13_technical_fit,78,0.78,0.3661818844534894
5,det_10_cost_efficiency,72,0.72,0.3845393636629644
5,det_02_credit_score,68,0.68,0.29075886002576806
5,det_01_profits,63,0.63,0.3105369344489351
5,det_16_commitment,47,0.47,0.25409862762340807
5,det_18_autonomy,39,0.39,0.22858893125903
6,det_11_knowledge,95,0.95,0.45030315486390565
6,det_12_own_competence,92,0.92,0.4081105386370924
6,det_16_commitment,84,0.84,0.3752637674342457
6,det_21_rights_and_duties,82,0.82,0.37772543894858907
6,det_08_trust,82,0.82,0.34497941526158976
6,det_17_adherence,73,0.73,0.29809867479479385
6,det_07_legal,47,0.47,0.2584386018876349
6,det_10_cost_efficiency,35,0.35,0.2241719938665876
