"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Careful",56040,0.7005
2,"Activist",6907,0.0863375
3,"Stubborn",1214,0.015175
4,"Early Adopter",404,0.00505
5,"Fearful",206,0.002575
6,"Influencer",146,0.001825
7,"Homo Economicus",25,0.0003125
8,"Uninterested",0,0
