"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,1,31,0.003875
2,38,1560,0.195
3,81,2994,0.37425
4,653,30433,3.804125
5,951,35131,4.391375
6,3812,117148,14.6435
7,4624,123451,15.431375
8,10083,210101,26.262625
9,11273,221433,27.679125
10,16574,271631,33.953875
11,17694,292293,36.536625
12,20812,337867,42.233375
13,21862,368717,46.089625
14,23877,410738,51.34225
15,25035,543035,67.879375
16,26847,585792,73.224
17,28072,616552,77.069
18,29544,654017,81.752125
19,30349,700840,87.605
20,31081,766051,95.756375
