"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,4,118,0.01475
3,78,14617,1.827125
4,217,17272,2.159
5,1017,81862,10.23275
6,1830,90574,11.32175
7,4558,157487,19.685875
8,6307,179413,22.426625
9,11183,268610,33.57625
10,13265,302222,37.77775
11,19609,400694,50.08675
12,21259,446437,55.804625
13,26583,516637,64.579625
14,27627,684973,85.621625
15,30139,758431,94.803875
16,30631,791257,98.907125
17,31431,798577,99.822125
18,31573,799398,99.92475
19,31769,799855,99.981875
20,31794,799923,99.990375
