"K","archetypes_used"
1,"Fearful"
2,"Fearful | Stubborn"
3,"Fearful | Stubborn | Careful"
4,"Fearful | Stubborn | Careful | Homo.Economicus"
5,"Fearful | Stubborn | Careful | Homo.Economicus | Cluster8"
6,"Fearful | Stubborn | Careful | Homo.Economicus | Cluster8 | Early.Adopter"
7,"Fearful | Stubborn | Careful | Homo.Economicus | Cluster8 | Early.Adopter | Uninterested"
8,"Fearful | Stubborn | Careful | Homo.Economicus | Cluster8 | Early.Adopter | Uninterested | Influencer"
