"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Fearful",592820,7.41025
2,"Stubborn",339182,4.239775
3,"Careful",302757,3.7844625
4,"Homo.Economicus",205249,2.5656125
5,"Cluster8",62273,0.7784125
6,"Early.Adopter",39865,0.4983125
7,"Uninterested",8001,0.1000125
8,"Influencer",398,0.004975
