"","Early Adopter","Uninterested","Homo Economicus","Fearful","Stubborn","Influencer","Careful","Activist"
"pattern_8",6,6,9,9,3,5,12,6
"pattern_4",9,9,14,14,8,6,17,11
"pattern_83",9,11,14,14,8,6,17,13
"pattern_37",6,8,7,9,3,7,12,6
"pattern_19",5,9,6,8,2,6,11,7
"pattern_35",8,10,13,13,7,5,16,12
"pattern_60",15,15,10,6,12,16,7,11
"pattern_92",10,10,15,15,9,7,18,12
"pattern_46",15,17,10,8,12,14,9,11
"pattern_138",15,15,10,6,12,14,9,11
"pattern_47",10,10,15,15,9,5,18,14
"pattern_16",11,11,14,14,10,8,17,13
"pattern_23",8,8,11,11,5,5,14,8
"pattern_152",6,10,7,7,3,7,10,8
"pattern_139",7,7,8,8,4,6,11,7
"pattern_79",15,17,12,8,12,14,7,11
"pattern_7",7,11,12,12,6,4,15,11
"pattern_298",13,15,12,10,12,14,15,13
"pattern_157",15,17,10,8,12,14,11,11
"pattern_59",10,10,15,15,9,7,18,12
"pattern_267",13,15,8,8,12,18,7,9
"pattern_70",10,8,15,15,9,5,18,12
"pattern_21",7,9,10,10,4,4,13,9
"pattern_55",10,12,13,15,9,9,18,12
"pattern_113",11,13,12,16,10,10,19,13
"pattern_80",10,10,13,13,9,7,16,12
"pattern_122",15,15,12,10,12,18,9,13
"pattern_371",8,10,13,13,7,5,16,10
"pattern_13",15,17,10,8,12,16,9,11
"pattern_26",13,15,12,12,12,14,17,13
"pattern_111",13,15,12,10,12,14,15,13
"pattern_75",15,15,10,6,12,16,9,11
"pattern_220",7,9,8,8,4,8,11,7
"pattern_17",15,15,10,6,12,18,7,11
"pattern_67",9,9,14,14,8,4,17,13
"pattern_348",13,17,10,8,12,16,7,9
"pattern_373",15,13,8,8,12,18,9,11
"pattern_480",15,15,10,8,12,18,7,13
"pattern_151",10,8,13,13,7,5,16,10
"pattern_354",13,17,10,8,12,18,5,11
"pattern_406",9,9,12,12,6,4,15,9
"pattern_485",10,12,13,13,9,7,16,14
"pattern_212",13,15,10,6,12,18,5,9
"pattern_57",13,15,14,12,12,14,17,15
"pattern_440",15,15,10,10,12,18,9,13
"pattern_119",15,15,10,6,12,18,7,11
"pattern_140",13,17,10,8,12,18,7,9
"pattern_36",15,15,8,8,12,18,9,11
"pattern_81",15,15,8,6,12,18,7,11
"pattern_68",13,15,10,6,12,18,5,9
"pattern_172",13,15,10,10,12,18,7,11
"pattern_6",4,10,7,9,1,7,10,6
"pattern_143",12,10,13,13,9,7,16,12
"pattern_106",15,17,10,8,12,18,7,11
"pattern_173",15,17,12,10,12,14,11,11
"pattern_319",13,17,10,8,12,16,9,9
"pattern_289",11,9,12,12,8,6,15,11
"pattern_369",15,17,12,8,12,16,7,11
"pattern_295",9,11,16,16,10,6,17,13
"pattern_159",6,8,7,7,3,5,10,8
"pattern_42",10,14,11,15,9,9,18,14
