analysis_sample,method,matrix_name,d_det,n_signature_instances,matrix
EUROPE,EFA,matrix_32_ext_0_1,8,3000,EXT
EUROPE,EFA,matrix_32_ext_0_1,9,3000,EXT
EUROPE,EFA,matrix_32_ext_0_1,10,3000,EXT
EUROPE,EFA,matrix_32_ext_0_1,11,3000,EXT
EUROPE,EFA,matrix_32_ext_0_1,12,3000,EXT
EUROPE,EFA,matrix_32_ext_0_1,13,3000,EXT
EUROPE,EFA,matrix_32_ext_0_1,14,3000,EXT
EUROPE,EFA,matrix_32_ext_0_1,15,3000,EXT
EUROPE,EFA,matrix_32_pos_0_1,8,3000,POS
EUROPE,EFA,matrix_32_pos_0_1,9,3000,POS
EUROPE,EFA,matrix_32_pos_0_1,10,3000,POS
EUROPE,EFA,matrix_32_pos_0_1,11,3000,POS
EUROPE,EFA,matrix_32_pos_0_1,12,3000,POS
EUROPE,EFA,matrix_32_pos_0_1,13,3000,POS
EUROPE,EFA,matrix_32_pos_0_1,14,3000,POS
EUROPE,EFA,matrix_32_pos_0_1,15,3000,POS
EUROPE,EFA,matrix_32_raw_0_1,8,3000,RAW
EUROPE,EFA,matrix_32_raw_0_1,9,3000,RAW
EUROPE,EFA,matrix_32_raw_0_1,10,3000,RAW
EUROPE,EFA,matrix_32_raw_0_1,11,3000,RAW
EUROPE,EFA,matrix_32_raw_0_1,12,3000,RAW
EUROPE,EFA,matrix_32_raw_0_1,13,3000,RAW
EUROPE,EFA,matrix_32_raw_0_1,14,3000,RAW
EUROPE,EFA,matrix_32_raw_0_1,15,3000,RAW
EUROPE,EFA,matrix_32_z_abs,8,3000,Z_ABS
EUROPE,EFA,matrix_32_z_abs,9,3000,Z_ABS
EUROPE,EFA,matrix_32_z_abs,10,3000,Z_ABS
EUROPE,EFA,matrix_32_z_abs,11,3000,Z_ABS
EUROPE,EFA,matrix_32_z_abs,12,3000,Z_ABS
EUROPE,EFA,matrix_32_z_abs,13,3000,Z_ABS
EUROPE,EFA,matrix_32_z_abs,14,3000,Z_ABS
EUROPE,EFA,matrix_32_z_abs,15,3000,Z_ABS
EUROPE,KMEANS,matrix_32_ext_0_1,8,3000,EXT
EUROPE,KMEANS,matrix_32_ext_0_1,9,3000,EXT
EUROPE,KMEANS,matrix_32_ext_0_1,10,3000,EXT
EUROPE,KMEANS,matrix_32_ext_0_1,11,3000,EXT
EUROPE,KMEANS,matrix_32_ext_0_1,12,3000,EXT
EUROPE,KMEANS,matrix_32_ext_0_1,13,3000,EXT
EUROPE,KMEANS,matrix_32_ext_0_1,14,3000,EXT
EUROPE,KMEANS,matrix_32_ext_0_1,15,3000,EXT
EUROPE,KMEANS,matrix_32_pos_0_1,8,3000,POS
EUROPE,KMEANS,matrix_32_pos_0_1,9,3000,POS
EUROPE,KMEANS,matrix_32_pos_0_1,10,3000,POS
EUROPE,KMEANS,matrix_32_pos_0_1,11,3000,POS
EUROPE,KMEANS,matrix_32_pos_0_1,12,3000,POS
EUROPE,KMEANS,matrix_32_pos_0_1,13,3000,POS
EUROPE,KMEANS,matrix_32_pos_0_1,14,3000,POS
EUROPE,KMEANS,matrix_32_pos_0_1,15,3000,POS
EUROPE,KMEANS,matrix_32_raw_0_1,8,3000,RAW
EUROPE,KMEANS,matrix_32_raw_0_1,9,3000,RAW
EUROPE,KMEANS,matrix_32_raw_0_1,10,3000,RAW
EUROPE,KMEANS,matrix_32_raw_0_1,11,3000,RAW
EUROPE,KMEANS,matrix_32_raw_0_1,12,3000,RAW
EUROPE,KMEANS,matrix_32_raw_0_1,13,3000,RAW
