analysis_sample,method,matrix_name,d_det,n_signature_instances,matrix
EUROPE,KMEANS,matrix_32_raw_0_1,14,3000,RAW
EUROPE,KMEANS,matrix_32_raw_0_1,15,3000,RAW
EUROPE,KMEANS,matrix_32_z_abs,8,3000,Z_ABS
EUROPE,KMEANS,matrix_32_z_abs,9,3000,Z_ABS
EUROPE,KMEANS,matrix_32_z_abs,10,3000,Z_ABS
EUROPE,KMEANS,matrix_32_z_abs,11,3000,Z_ABS
EUROPE,KMEANS,matrix_32_z_abs,12,3000,Z_ABS
EUROPE,KMEANS,matrix_32_z_abs,13,3000,Z_ABS
EUROPE,KMEANS,matrix_32_z_abs,14,3000,Z_ABS
EUROPE,KMEANS,matrix_32_z_abs,15,3000,Z_ABS
LATAM,EFA,matrix_32_ext_0_1,8,3000,EXT
LATAM,EFA,matrix_32_ext_0_1,9,3000,EXT
LATAM,EFA,matrix_32_ext_0_1,10,3000,EXT
LATAM,EFA,matrix_32_ext_0_1,11,3000,EXT
LATAM,EFA,matrix_32_ext_0_1,12,3000,EXT
LATAM,EFA,matrix_32_ext_0_1,13,3000,EXT
LATAM,EFA,matrix_32_ext_0_1,14,3000,EXT
LATAM,EFA,matrix_32_ext_0_1,15,3000,EXT
LATAM,EFA,matrix_32_pos_0_1,8,3000,POS
LATAM,EFA,matrix_32_pos_0_1,9,3000,POS
LATAM,EFA,matrix_32_pos_0_1,10,3000,POS
LATAM,EFA,matrix_32_pos_0_1,11,3000,POS
LATAM,EFA,matrix_32_pos_0_1,12,3000,POS
LATAM,EFA,matrix_32_pos_0_1,13,3000,POS
LATAM,EFA,matrix_32_pos_0_1,14,3000,POS
LATAM,EFA,matrix_32_pos_0_1,15,3000,POS
LATAM,EFA,matrix_32_raw_0_1,8,3000,RAW
LATAM,EFA,matrix_32_raw_0_1,9,3000,RAW
LATAM,EFA,matrix_32_raw_0_1,10,3000,RAW
LATAM,EFA,matrix_32_raw_0_1,11,3000,RAW
LATAM,EFA,matrix_32_raw_0_1,12,3000,RAW
LATAM,EFA,matrix_32_raw_0_1,13,3000,RAW
LATAM,EFA,matrix_32_raw_0_1,14,3000,RAW
LATAM,EFA,matrix_32_raw_0_1,15,3000,RAW
LATAM,EFA,matrix_32_z_abs,8,3000,Z_ABS
LATAM,EFA,matrix_32_z_abs,9,3000,Z_ABS
LATAM,EFA,matrix_32_z_abs,10,3000,Z_ABS
LATAM,EFA,matrix_32_z_abs,11,3000,Z_ABS
LATAM,EFA,matrix_32_z_abs,12,3000,Z_ABS
LATAM,EFA,matrix_32_z_abs,13,3000,Z_ABS
LATAM,EFA,matrix_32_z_abs,14,3000,Z_ABS
LATAM,EFA,matrix_32_z_abs,15,3000,Z_ABS
LATAM,KMEANS,matrix_32_ext_0_1,8,3000,EXT
LATAM,KMEANS,matrix_32_ext_0_1,9,3000,EXT
LATAM,KMEANS,matrix_32_ext_0_1,10,3000,EXT
LATAM,KMEANS,matrix_32_ext_0_1,11,3000,EXT
LATAM,KMEANS,matrix_32_ext_0_1,12,3000,EXT
LATAM,KMEANS,matrix_32_ext_0_1,13,3000,EXT
LATAM,KMEANS,matrix_32_ext_0_1,14,3000,EXT
LATAM,KMEANS,matrix_32_ext_0_1,15,3000,EXT
LATAM,KMEANS,matrix_32_pos_0_1,8,3000,POS
LATAM,KMEANS,matrix_32_pos_0_1,9,3000,POS
LATAM,KMEANS,matrix_32_pos_0_1,10,3000,POS
LATAM,KMEANS,matrix_32_pos_0_1,11,3000,POS
LATAM,KMEANS,matrix_32_pos_0_1,12,3000,POS
LATAM,KMEANS,matrix_32_pos_0_1,13,3000,POS
LATAM,KMEANS,matrix_32_pos_0_1,14,3000,POS
LATAM,KMEANS,matrix_32_pos_0_1,15,3000,POS
LATAM,KMEANS,matrix_32_raw_0_1,8,3000,RAW
LATAM,KMEANS,matrix_32_raw_0_1,9,3000,RAW
LATAM,KMEANS,matrix_32_raw_0_1,10,3000,RAW
LATAM,KMEANS,matrix_32_raw_0_1,11,3000,RAW
LATAM,KMEANS,matrix_32_raw_0_1,12,3000,RAW
LATAM,KMEANS,matrix_32_raw_0_1,13,3000,RAW
LATAM,KMEANS,matrix_32_raw_0_1,14,3000,RAW
LATAM,KMEANS,matrix_32_raw_0_1,15,3000,RAW
LATAM,KMEANS,matrix_32_z_abs,8,3000,Z_ABS
LATAM,KMEANS,matrix_32_z_abs,9,3000,Z_ABS
LATAM,KMEANS,matrix_32_z_abs,10,3000,Z_ABS
LATAM,KMEANS,matrix_32_z_abs,11,3000,Z_ABS
LATAM,KMEANS,matrix_32_z_abs,12,3000,Z_ABS
LATAM,KMEANS,matrix_32_z_abs,13,3000,Z_ABS
LATAM,KMEANS,matrix_32_z_abs,14,3000,Z_ABS
LATAM,KMEANS,matrix_32_z_abs,15,3000,Z_ABS
RENOVISOR,EFA,matrix_32_ext_0_1,8,3000,EXT
RENOVISOR,EFA,matrix_32_ext_0_1,9,3000,EXT
RENOVISOR,EFA,matrix_32_ext_0_1,10,3000,EXT
RENOVISOR,EFA,matrix_32_ext_0_1,11,3000,EXT
RENOVISOR,EFA,matrix_32_ext_0_1,12,3000,EXT
RENOVISOR,EFA,matrix_32_ext_0_1,13,3000,EXT
RENOVISOR,EFA,matrix_32_ext_0_1,14,3000,EXT
RENOVISOR,EFA,matrix_32_ext_0_1,15,3000,EXT
RENOVISOR,EFA,matrix_32_pos_0_1,8,3000,POS
RENOVISOR,EFA,matrix_32_pos_0_1,9,3000,POS
RENOVISOR,EFA,matrix_32_pos_0_1,10,3000,POS
RENOVISOR,EFA,matrix_32_pos_0_1,11,3000,POS
RENOVISOR,EFA,matrix_32_pos_0_1,12,3000,POS
RENOVISOR,EFA,matrix_32_pos_0_1,13,3000,POS
RENOVISOR,EFA,matrix_32_pos_0_1,14,3000,POS
RENOVISOR,EFA,matrix_32_pos_0_1,15,3000,POS
RENOVISOR,EFA,matrix_32_raw_0_1,8,3000,RAW
RENOVISOR,EFA,matrix_32_raw_0_1,9,3000,RAW
RENOVISOR,EFA,matrix_32_raw_0_1,10,3000,RAW
RENOVISOR,EFA,matrix_32_raw_0_1,11,3000,RAW
RENOVISOR,EFA,matrix_32_raw_0_1,12,3000,RAW
RENOVISOR,EFA,matrix_32_raw_0_1,13,3000,RAW
RENOVISOR,EFA,matrix_32_raw_0_1,14,3000,RAW
RENOVISOR,EFA,matrix_32_raw_0_1,15,3000,RAW
RENOVISOR,EFA,matrix_32_z_abs,8,3000,Z_ABS
RENOVISOR,EFA,matrix_32_z_abs,9,3000,Z_ABS
RENOVISOR,EFA,matrix_32_z_abs,10,3000,Z_ABS
RENOVISOR,EFA,matrix_32_z_abs,11,3000,Z_ABS
RENOVISOR,EFA,matrix_32_z_abs,12,3000,Z_ABS
RENOVISOR,EFA,matrix_32_z_abs,13,3000,Z_ABS
RENOVISOR,EFA,matrix_32_z_abs,14,3000,Z_ABS
RENOVISOR,EFA,matrix_32_z_abs,15,3000,Z_ABS
RENOVISOR,KMEANS,matrix_32_ext_0_1,8,3000,EXT
RENOVISOR,KMEANS,matrix_32_ext_0_1,9,3000,EXT
RENOVISOR,KMEANS,matrix_32_ext_0_1,10,3000,EXT
RENOVISOR,KMEANS,matrix_32_ext_0_1,11,3000,EXT
RENOVISOR,KMEANS,matrix_32_ext_0_1,12,3000,EXT
RENOVISOR,KMEANS,matrix_32_ext_0_1,13,3000,EXT
RENOVISOR,KMEANS,matrix_32_ext_0_1,14,3000,EXT
RENOVISOR,KMEANS,matrix_32_ext_0_1,15,3000,EXT
RENOVISOR,KMEANS,matrix_32_pos_0_1,8,3000,POS
RENOVISOR,KMEANS,matrix_32_pos_0_1,9,3000,POS
RENOVISOR,KMEANS,matrix_32_pos_0_1,10,3000,POS
RENOVISOR,KMEANS,matrix_32_pos_0_1,11,3000,POS
RENOVISOR,KMEANS,matrix_32_pos_0_1,12,3000,POS
RENOVISOR,KMEANS,matrix_32_pos_0_1,13,3000,POS
RENOVISOR,KMEANS,matrix_32_pos_0_1,14,3000,POS
RENOVISOR,KMEANS,matrix_32_pos_0_1,15,3000,POS
RENOVISOR,KMEANS,matrix_32_raw_0_1,8,3000,RAW
RENOVISOR,KMEANS,matrix_32_raw_0_1,9,3000,RAW
RENOVISOR,KMEANS,matrix_32_raw_0_1,10,3000,RAW
RENOVISOR,KMEANS,matrix_32_raw_0_1,11,3000,RAW
RENOVISOR,KMEANS,matrix_32_raw_0_1,12,3000,RAW
RENOVISOR,KMEANS,matrix_32_raw_0_1,13,3000,RAW
RENOVISOR,KMEANS,matrix_32_raw_0_1,14,3000,RAW
RENOVISOR,KMEANS,matrix_32_raw_0_1,15,3000,RAW
RENOVISOR,KMEANS,matrix_32_z_abs,8,3000,Z_ABS
RENOVISOR,KMEANS,matrix_32_z_abs,9,3000,Z_ABS
RENOVISOR,KMEANS,matrix_32_z_abs,10,3000,Z_ABS
RENOVISOR,KMEANS,matrix_32_z_abs,11,3000,Z_ABS
RENOVISOR,KMEANS,matrix_32_z_abs,12,3000,Z_ABS
RENOVISOR,KMEANS,matrix_32_z_abs,13,3000,Z_ABS
RENOVISOR,KMEANS,matrix_32_z_abs,14,3000,Z_ABS
RENOVISOR,KMEANS,matrix_32_z_abs,15,3000,Z_ABS
WHY_EUROPE,EFA,matrix_32_ext_0_1,8,3000,EXT
WHY_EUROPE,EFA,matrix_32_ext_0_1,9,3000,EXT
WHY_EUROPE,EFA,matrix_32_ext_0_1,10,3000,EXT
WHY_EUROPE,EFA,matrix_32_ext_0_1,11,3000,EXT
WHY_EUROPE,EFA,matrix_32_ext_0_1,12,3000,EXT
WHY_EUROPE,EFA,matrix_32_ext_0_1,13,3000,EXT
WHY_EUROPE,EFA,matrix_32_ext_0_1,14,3000,EXT
WHY_EUROPE,EFA,matrix_32_ext_0_1,15,3000,EXT
WHY_EUROPE,EFA,matrix_32_pos_0_1,8,3000,POS
WHY_EUROPE,EFA,matrix_32_pos_0_1,9,3000,POS
WHY_EUROPE,EFA,matrix_32_pos_0_1,10,3000,POS
WHY_EUROPE,EFA,matrix_32_pos_0_1,11,3000,POS
WHY_EUROPE,EFA,matrix_32_pos_0_1,12,3000,POS
WHY_EUROPE,EFA,matrix_32_pos_0_1,13,3000,POS
WHY_EUROPE,EFA,matrix_32_pos_0_1,14,3000,POS
WHY_EUROPE,EFA,matrix_32_pos_0_1,15,3000,POS
WHY_EUROPE,EFA,matrix_32_raw_0_1,8,3000,RAW
WHY_EUROPE,EFA,matrix_32_raw_0_1,9,3000,RAW
WHY_EUROPE,EFA,matrix_32_raw_0_1,10,3000,RAW
WHY_EUROPE,EFA,matrix_32_raw_0_1,11,3000,RAW
WHY_EUROPE,EFA,matrix_32_raw_0_1,12,3000,RAW
WHY_EUROPE,EFA,matrix_32_raw_0_1,13,3000,RAW
WHY_EUROPE,EFA,matrix_32_raw_0_1,14,3000,RAW
WHY_EUROPE,EFA,matrix_32_raw_0_1,15,3000,RAW
WHY_EUROPE,EFA,matrix_32_z_abs,8,3000,Z_ABS
WHY_EUROPE,EFA,matrix_32_z_abs,9,3000,Z_ABS
WHY_EUROPE,EFA,matrix_32_z_abs,10,3000,Z_ABS
WHY_EUROPE,EFA,matrix_32_z_abs,11,3000,Z_ABS
WHY_EUROPE,EFA,matrix_32_z_abs,12,3000,Z_ABS
WHY_EUROPE,EFA,matrix_32_z_abs,13,3000,Z_ABS
WHY_EUROPE,EFA,matrix_32_z_abs,14,3000,Z_ABS
WHY_EUROPE,EFA,matrix_32_z_abs,15,3000,Z_ABS
WHY_EUROPE,KMEANS,matrix_32_ext_0_1,8,3000,EXT
WHY_EUROPE,KMEANS,matrix_32_ext_0_1,9,3000,EXT
WHY_EUROPE,KMEANS,matrix_32_ext_0_1,10,3000,EXT
WHY_EUROPE,KMEANS,matrix_32_ext_0_1,11,3000,EXT
WHY_EUROPE,KMEANS,matrix_32_ext_0_1,12,3000,EXT
WHY_EUROPE,KMEANS,matrix_32_ext_0_1,13,3000,EXT
WHY_EUROPE,KMEANS,matrix_32_ext_0_1,14,3000,EXT
WHY_EUROPE,KMEANS,matrix_32_ext_0_1,15,3000,EXT
WHY_EUROPE,KMEANS,matrix_32_pos_0_1,8,3000,POS
WHY_EUROPE,KMEANS,matrix_32_pos_0_1,9,3000,POS
WHY_EUROPE,KMEANS,matrix_32_pos_0_1,10,3000,POS
WHY_EUROPE,KMEANS,matrix_32_pos_0_1,11,3000,POS
WHY_EUROPE,KMEANS,matrix_32_pos_0_1,12,3000,POS
WHY_EUROPE,KMEANS,matrix_32_pos_0_1,13,3000,POS
WHY_EUROPE,KMEANS,matrix_32_pos_0_1,14,3000,POS
WHY_EUROPE,KMEANS,matrix_32_pos_0_1,15,3000,POS
